type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1137,146,67:41,G4,G4,0.051,P5,117,4/4,C Major
note,1533,125,48:27,C3,C3,0.4082,P1,117,4/4,C Major
note,1549,101,36:38,C2,C2,0.3572,M3,117,4/4,C Major
note,1573,47,64:48,E4,E4,0.3572,m3,117,4/4,C Major
note,1574,64,67:49,G4,G4,0.3062,P4,117,4/4,C Major
note,1742,34,72:47,C5,C5,0.4593,m6,117,4/4,C Major
note,1747,39,64:31,E4,E4,0.4082,M3,117,4/4,C Major
note,1857,25,68:50,G#4,Ab4,0.5103,m3,117,4/4,C Major
note,1873,38,65:24,F4,F4,0.5103,M6,117,4/4,C Major
note,1955,20,74:56,D5,D5,0.4593,M6,117,4/4,C Major
note,1964,25,65:39,F4,F4,0.4082,M6,117,4/4,C Major
note,2065,145,56:53,G#3,Ab3,0.5103,M6,117,4/4,C Major
note,2070,25,65:41,F4,F4,0.4593,m3,117,4/4,C Major
note,2076,42,62:24,D4,D4,0.4082,P1,117,4/4,C Major
note,2149,27,62:41,D4,D4,0.4593,M6,117,4/4,C Major
note,2159,26,71:44,B4,B4,0.4082,M3,117,4/4,C Major
note,2232,151,55:52,G3,G3,0.5103,P5,117,4/4,C Major
note,2256,31,62:42,D4,D4,0.4593,m2,117,4/4,C Major
note,2404,30,63:72,D#4,Eb4,0.6634,M6,117,4/4,C Major
note,2408,166,54:55,F#3,Gb3,0.6124,d5,117,4/4,C Major
note,2408,25,60:44,C4,C4,0.6124,P1,117,4/4,C Major
note,2496,21,60:65,C4,C4,0.6124,M6,117,4/4,C Major
note,2501,30,69:55,A4,A4,0.5613,M3,117,4/4,C Major
note,2583,31,53:60,F3,F3,0.6634,M6,117,4/4,C Major
note,2595,30,62:46,D4,D4,0.6124,d5,117,4/4,C Major
note,2600,31,68:43,G#4,Ab4,0.5613,m3,117,4/4,C Major
note,2687,21,71:50,B4,B4,0.6124,M6,117,4/4,C Major
note,2691,32,62:43,D4,D4,0.5613,M2,117,4/4,C Major
note,2746,36,36:44,C2,C2,0.6124,M3,117,4/4,C Major
note,2755,24,64:61,E4,E4,0.6124,m3,117,4/4,C Major
note,2761,24,67:51,G4,G4,0.5613,m3,117,4/4,C Major
note,2848,24,64:56,E4,E4,0.5613,m6,117,4/4,C Major
note,2850,25,72:57,C5,C5,0.5103,P1,117,4/4,C Major
note,2928,357,48:57,C3,C3,0.5613,m6,117,4/4,C Major
note,2938,23,68:59,G#4,Ab4,0.5613,m3,117,4/4,C Major
note,2943,25,65:46,F4,F4,0.5103,M6,117,4/4,C Major
note,3033,18,74:60,D5,D5,0.5613,M6,117,4/4,C Major
note,3037,27,65:62,F4,F4,0.5103,M6,117,4/4,C Major
note,3114,162,56:59,G#3,Ab3,0.6124,M6,117,4/4,C Major
note,3128,45,65:64,F4,F4,0.5613,m3,117,4/4,C Major
note,3135,24,62:56,D4,D4,0.5103,P1,117,4/4,C Major
note,3214,21,62:61,D4,D4,0.5613,P5,117,4/4,C Major
note,3294,158,55:59,G3,G3,0.6634,P5,117,4/4,C Major
note,3296,51,62:69,D4,D4,0.6124,m3,117,4/4,C Major
note,3315,24,59:55,B3,B3,0.5613,P1,117,4/4,C Major
note,3391,21,59:59,B3,B3,0.6124,m6,117,4/4,C Major
note,3394,29,67:55,G4,G4,0.5613,M3,117,4/4,C Major
note,3462,31,63:68,D#4,Eb4,0.6634,M6,117,4/4,C Major
note,3465,129,54:60,F#3,Gb3,0.6124,d5,117,4/4,C Major
note,3472,20,60:56,C4,C4,0.5613,P1,117,4/4,C Major
note,3554,19,60:59,C4,C4,0.6124,M6,117,4/4,C Major
note,3554,20,69:54,A4,A4,0.6124,M3,117,4/4,C Major
note,3626,134,53:49,F3,F3,0.6634,m3,117,4/4,C Major
note,3628,30,68:56,G#4,Ab4,0.6124,d5,117,4/4,C Major
note,3641,33,62:36,D4,D4,0.5613,P1,117,4/4,C Major
note,3703,26,62:63,D4,D4,0.6124,M6,117,4/4,C Major
note,3719,19,71:56,B4,B4,0.5613,P5,117,4/4,C Major
note,3790,155,52:52,E3,E3,0.6634,m3,117,4/4,C Major
