type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512819,117,,,,,,
note,1918,39,84:58,C6,C6,0.4564,M2,117,4/4,C Major
note,1980,27,86:54,D6,D6,0.4108,M2,117,4/4,C Major
note,2018,56,84:71,C6,C6,0.4108,M2,117,4/4,C Major
note,2088,53,86:74,D6,D6,0.4108,M2,117,4/4,C Major
note,2132,81,84:67,C6,C6,0.4108,m2,117,4/4,C Major
note,2204,62,83:77,B5,B5,0.4564,m2,117,4/4,C Major
note,2270,114,84:71,C6,C6,0.4564,P1,117,4/4,C Major
note,2345,193,48:88,C3,C3,0.4564,P5,117,4/4,C Major
note,2347,860,41:81,F2,F2,0.4108,M3,117,4/4,C Major
note,2365,132,93:82,A6,A6,0.3651,M2,117,4/4,C Major
note,2461,73,91:81,G6,G6,0.4108,M2,117,4/4,C Major
note,2524,44,89:71,F6,F6,0.4564,P4,117,4/4,C Major
note,2577,31,84:71,C6,C6,0.4564,m3,117,4/4,C Major
note,2678,101,81:64,A5,A5,0.4564,M2,117,4/4,C Major
note,2681,57,83:69,B5,B5,0.4108,M3,117,4/4,C Major
note,2741,78,79:78,G5,G5,0.4108,M2,117,4/4,C Major
note,2795,65,77:73,F5,F5,0.4564,P4,117,4/4,C Major
note,2872,48,72:67,C5,C5,0.4108,m2,117,4/4,C Major
note,2929,46,47:62,B2,B2,0.4564,m2,117,4/4,C Major
note,2967,30,48:78,C3,C3,0.4108,M6,117,4/4,C Major
note,2972,114,69:72,A4,A4,0.3651,M2,117,4/4,C Major
note,3048,74,67:72,G4,G4,0.3651,M2,117,4/4,C Major
note,3119,48,65:64,F4,F4,0.4564,P4,117,4/4,C Major
note,3177,48,60:64,C4,C4,0.4564,P1,117,4/4,C Major
note,3253,35,48:71,C3,C3,0.4564,M6,117,4/4,C Major
note,3275,72,57:75,A3,A3,0.4108,M2,117,4/4,C Major
note,3354,59,55:59,G3,G3,0.4108,M2,117,4/4,C Major
note,3405,72,53:75,F3,F3,0.4108,P4,117,4/4,C Major
note,3490,76,48:65,C3,C3,0.4564,P5,117,4/4,C Major
note,3547,38,41:66,F2,F2,0.4564,P1,117,4/4,C Major
note,3557,35,29:60,F1,F1,0.4108,P1,117,4/4,C Major
note,3584,80,53:68,F3,F3,0.4108,M2,117,4/4,C Major
note,3654,76,55:53,G3,G3,0.4108,M2,117,4/4,C Major
note,3716,34,57:67,A3,A3,0.4108,m3,117,4/4,C Major
note,3818,47,60:63,C4,C4,0.4564,M2,117,4/4,C Major
note,3873,29,62:12,D4,D4,0.4564,P1,117,4/4,C Major
note,3890,237,50:77,D3,D3,0.4108,m3,117,4/4,C Major
note,3896,111,65:75,F4,F4,0.4108,M2,117,4/4,C Major
note,3998,77,67:63,G4,G4,0.4108,M2,117,4/4,C Major
note,4048,29,69:71,A4,A4,0.3651,M6,117,4/4,C Major
note,4123,88,48:73,C3,C3,0.4108,P1,117,4/4,C Major
