type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1918,28,84:53,C6,C6,0.4564,M2,117,4/4,C Major
note,1956,30,86:55,D6,D6,0.4108,M2,117,4/4,C Major
note,2012,37,84:61,C6,C6,0.4108,m2,117,4/4,C Major
note,2086,26,83:56,B5,B5,0.4108,m2,117,4/4,C Major
note,2132,70,84:70,C6,C6,0.4108,M6,117,4/4,C Major
note,2227,77,93:86,A6,A6,0.3651,M6,117,4/4,C Major
note,2239,49,48:58,C3,C3,0.3651,P5,117,4/4,C Major
note,2248,929,41:49,F2,F2,0.3195,M2,117,4/4,C Major
note,2298,78,91:70,G6,G6,0.3195,M2,117,4/4,C Major
note,2383,33,89:66,F6,F6,0.3651,P4,117,4/4,C Major
note,2452,46,84:69,C6,C6,0.4108,m3,117,4/4,C Major
note,2551,53,81:72,A5,A5,0.4108,M2,117,4/4,C Major
note,2611,76,79:69,G5,G5,0.3651,M2,117,4/4,C Major
note,2715,30,77:53,F5,F5,0.4564,P4,117,4/4,C Major
note,2762,43,72:61,C5,C5,0.4564,m2,117,4/4,C Major
note,2849,33,47:64,B2,B2,0.4564,m7,117,4/4,C Major
note,2859,31,69:72,A4,A4,0.4108,M6,117,4/4,C Major
note,2876,33,48:59,C3,C3,0.3651,P5,117,4/4,C Major
note,2908,84,67:58,G4,G4,0.3195,M2,117,4/4,C Major
note,3005,35,65:65,F4,F4,0.4564,P4,117,4/4,C Major
note,3092,40,60:53,C4,C4,0.4564,P1,117,4/4,C Major
note,3174,37,48:62,C3,C3,0.4564,M6,117,4/4,C Major
note,3175,36,57:63,A3,A3,0.4108,M2,117,4/4,C Major
note,3238,51,55:59,G3,G3,0.3651,M2,117,4/4,C Major
note,3324,44,53:59,F3,F3,0.3651,P4,117,4/4,C Major
note,3414,58,48:49,C3,C3,0.4108,P5,117,4/4,C Major
note,3479,40,29:59,F1,F1,0.4108,P1,117,4/4,C Major
note,3481,43,41:55,F2,F2,0.3651,P1,117,4/4,C Major
note,3484,79,53:59,F3,F3,0.3195,M2,117,4/4,C Major
note,3559,44,55:53,G3,G3,0.3195,M2,117,4/4,C Major
note,3635,38,57:43,A3,A3,0.3651,m3,117,4/4,C Major
note,3745,46,60:54,C4,C4,0.4108,P4,117,4/4,C Major
note,3826,103,65:62,F4,F4,0.4564,m3,117,4/4,C Major
note,3838,236,50:80,D3,D3,0.4108,P4,117,4/4,C Major
note,3902,76,67:58,G4,G4,0.3651,M2,117,4/4,C Major
note,3971,39,69:53,A4,A4,0.3651,M6,117,4/4,C Major
note,4067,144,48:80,C3,C3,0.4108,P1,117,4/4,C Major
note,4080,50,72:71,C5,C5,0.4108,P4,117,4/4,C Major
note,4145,101,77:70,F5,F5,0.3651,m6,117,4/4,C Major
note,4147,149,57:89,A3,A3,0.3195,m7,117,4/4,C Major
note,4227,87,79:69,G5,G5,0.3195,M2,117,4/4,C Major
