type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1502,51,84:78,C6,C6,0.5103,M2,117,4/4,C Major
note,1570,42,86:75,D6,D6,0.5103,M2,117,4/4,C Major
note,1623,48,84:73,C6,C6,0.5103,M2,117,4/4,C Major
note,1667,65,86:67,D6,D6,0.4593,M2,117,4/4,C Major
note,1713,57,84:67,C6,C6,0.4593,m2,117,4/4,C Major
note,1763,27,83:58,B5,B5,0.4593,m2,117,4/4,C Major
note,1791,80,84:69,C6,C6,0.4082,P5,117,4/4,C Major
note,1838,834,41:72,F2,F2,0.4082,P5,117,4/4,C Major
note,1841,135,48:72,C3,C3,0.3572,M6,117,4/4,C Major
note,1858,109,93:89,A6,A6,0.3572,M2,117,4/4,C Major
note,1938,65,91:81,G6,G6,0.3572,M2,117,4/4,C Major
note,1996,45,89:74,F6,F6,0.4593,P4,117,4/4,C Major
note,2053,21,84:77,C6,C6,0.4593,m3,117,4/4,C Major
note,2118,99,81:74,A5,A5,0.4593,M2,117,4/4,C Major
note,2181,78,79:70,G5,G5,0.4593,M2,117,4/4,C Major
note,2236,49,77:75,F5,F5,0.4082,P4,117,4/4,C Major
note,2300,27,72:69,C5,C5,0.4593,m2,117,4/4,C Major
note,2361,26,47:73,B2,B2,0.4593,m7,117,4/4,C Major
note,2372,95,69:76,A4,A4,0.4082,M6,117,4/4,C Major
note,2375,53,48:69,C3,C3,0.3572,P5,117,4/4,C Major
note,2434,73,67:73,G4,G4,0.3572,M2,117,4/4,C Major
note,2485,55,65:68,F4,F4,0.3572,P4,117,4/4,C Major
note,2564,26,60:60,C4,C4,0.4593,P1,117,4/4,C Major
note,2642,22,48:68,C3,C3,0.4593,M6,117,4/4,C Major
note,2649,82,57:67,A3,A3,0.4082,M2,117,4/4,C Major
note,2711,52,55:59,G3,G3,0.4082,M2,117,4/4,C Major
note,2768,42,53:60,F3,F3,0.3572,P4,117,4/4,C Major
note,2837,66,48:65,C3,C3,0.3572,P4,117,4/4,C Major
note,2924,62,53:58,F3,F3,0.4593,P1,117,4/4,C Major
note,2926,30,29:72,F1,F1,0.4082,P1,117,4/4,C Major
note,2928,37,41:65,F2,F2,0.3572,M2,117,4/4,C Major
note,2992,53,55:58,G3,G3,0.3062,M2,117,4/4,C Major
note,3075,21,57:58,A3,A3,0.3572,m3,117,4/4,C Major
note,3161,61,60:55,C4,C4,0.4593,m7,117,4/4,C Major
note,3230,220,50:82,D3,D3,0.4593,m3,117,4/4,C Major
note,3237,61,65:70,F4,F4,0.4082,M2,117,4/4,C Major
note,3308,73,67:68,G4,G4,0.4082,M2,117,4/4,C Major
note,3382,45,69:71,A4,A4,0.4082,M6,117,4/4,C Major
note,3450,81,48:80,C3,C3,0.4593,P1,117,4/4,C Major
note,3460,71,72:77,C5,C5,0.4082,m3,117,4/4,C Major
note,3522,30,57:85,A3,A3,0.4082,m6,117,4/4,C Major
note,3535,61,77:82,F5,F5,0.3572,M2,117,4/4,C Major
note,3598,61,79:70,G5,G5,0.3572,M2,117,4/4,C Major
note,3665,42,81:73,A5,A5,0.4082,m3,117,4/4,C Major
note,3755,65,84:64,C6,C6,0.5103,P5,117,4/4,C Major
note,3814,66,53:76,F3,F3,0.5103,P1,117,4/4,C Major
note,3825,58,89:71,F6,F6,0.4593,M2,117,4/4,C Major
note,3895,51,91:71,G6,G6,0.4593,M2,117,4/4,C Major
note,3963,84,93:71,A6,A6,0.4593,M2,117,4/4,C Major
note,4025,73,91:66,G6,G6,0.4593,m7,117,4/4,C Major
note,4028,70,45:62,A2,A2,0.4082,m6,117,4/4,C Major
note,4103,40,89:66,F6,F6,0.4593,P1,117,4/4,C Major
note,4104,792,41:67,F2,F2,0.4082,P5,117,4/4,C Major
note,4104,87,48:68,C3,C3,0.4082,P1,117,4/4,C Major
note,4172,24,84:67,C6,C6,0.3572,m3,117,4/4,C Major
note,4239,98,81:74,A5,A5,0.4593,M2,117,4/4,C Major
note,4299,78,79:74,G5,G5,0.4593,M2,117,4/4,C Major
note,4351,51,77:75,F5,F5,0.4082,P4,117,4/4,C Major
note,4418,24,72:69,C5,C5,0.4082,m3,117,4/4,C Major
