type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1505,65,84:73,C6,C6,0.4082,M2,117,4/4,C Major
note,1572,56,86:78,D6,D6,0.4593,M2,117,4/4,C Major
note,1634,49,84:69,C6,C6,0.4593,m2,117,4/4,C Major
note,1700,50,83:69,B5,B5,0.4593,m2,117,4/4,C Major
note,1743,63,84:75,C6,C6,0.4082,M6,117,4/4,C Major
note,1826,89,93:83,A6,A6,0.4593,M6,117,4/4,C Major
note,1848,105,48:78,C3,C3,0.4082,P5,117,4/4,C Major
note,1853,486,41:73,F2,F2,0.3572,M2,117,4/4,C Major
note,1906,65,91:79,G6,G6,0.3572,M2,117,4/4,C Major
note,1938,50,89:78,F6,F6,0.4082,P4,117,4/4,C Major
note,2010,24,84:68,C6,C6,0.4593,m3,117,4/4,C Major
note,2079,50,81:74,A5,A5,0.4593,M2,117,4/4,C Major
note,2132,63,79:70,G5,G5,0.4593,M2,117,4/4,C Major
note,2203,21,77:54,F5,F5,0.5103,P4,117,4/4,C Major
note,2247,27,72:62,C5,C5,0.5103,m2,117,4/4,C Major
note,2299,29,47:68,B2,B2,0.5103,m2,117,4/4,C Major
note,2314,27,48:68,C3,C3,0.4593,M6,117,4/4,C Major
note,2323,50,69:77,A4,A4,0.4082,M2,117,4/4,C Major
note,2361,52,67:62,G4,G4,0.4082,M2,117,4/4,C Major
note,2439,25,65:48,F4,F4,0.5103,P4,117,4/4,C Major
note,2479,29,60:61,C4,C4,0.5103,P1,117,4/4,C Major
note,2550,29,48:64,C3,C3,0.5103,M6,117,4/4,C Major
note,2563,50,57:72,A3,A3,0.4593,M2,117,4/4,C Major
note,2603,47,55:61,G3,G3,0.4593,M2,117,4/4,C Major
note,2660,40,53:63,F3,F3,0.4593,P4,117,4/4,C Major
note,2717,23,48:58,C3,C3,0.5613,P4,117,4/4,C Major
note,2789,32,53:66,F3,F3,0.5613,P1,117,4/4,C Major
note,2791,29,41:66,F2,F2,0.5613,P1,117,4/4,C Major
note,2792,35,29:57,F1,F1,0.5103,M2,117,4/4,C Major
note,2833,36,55:54,G3,G3,0.5103,M2,117,4/4,C Major
note,2872,27,57:66,A3,A3,0.4593,m3,117,4/4,C Major
note,2958,37,60:63,C4,C4,0.5613,m7,117,4/4,C Major
note,3024,143,50:73,D3,D3,0.5613,M2,117,4/4,C Major
note,3045,24,64:54,E4,E4,0.5103,m2,117,4/4,C Major
note,3045,28,65:50,F4,F4,0.5103,M2,117,4/4,C Major
note,3072,50,67:65,G4,G4,0.4593,M2,117,4/4,C Major
note,3127,19,69:62,A4,A4,0.5613,M6,117,4/4,C Major
note,3174,71,48:67,C3,C3,0.5613,P1,117,4/4,C Major
note,3198,46,72:76,C5,C5,0.5103,m3,117,4/4,C Major
note,3262,35,57:72,A3,A3,0.5103,m6,117,4/4,C Major
note,3267,53,77:80,F5,F5,0.4593,M2,117,4/4,C Major
note,3319,45,79:76,G5,G5,0.5103,M2,117,4/4,C Major
note,3369,24,81:65,A5,A5,0.6124,m3,117,4/4,C Major
note,3456,40,84:51,C6,C6,0.6124,m2,117,4/4,C Major
note,3459,29,83:40,B5,B5,0.5613,d5,117,4/4,C Major
note,3502,48,89:83,F6,F6,0.5613,P1,117,4/4,C Major
note,3509,99,53:75,F3,F3,0.5103,M2,117,4/4,C Major
note,3546,52,91:76,G6,G6,0.5103,M2,117,4/4,C Major
note,3612,58,93:79,A6,A6,0.5103,P1,117,4/4,C Major
note,3664,71,45:38,A2,A2,0.5103,m7,117,4/4,C Major
note,3664,60,91:77,G6,G6,0.5103,M2,117,4/4,C Major
note,3722,46,89:82,F6,F6,0.4593,P4,117,4/4,C Major
note,3728,29,48:70,C3,C3,0.4082,P5,117,4/4,C Major
note,3730,24,41:74,F2,F2,0.3572,P5,117,4/4,C Major
note,3783,23,84:68,C6,C6,0.3572,m3,117,4/4,C Major
note,3857,61,81:77,A5,A5,0.4593,M2,117,4/4,C Major
note,3906,60,79:75,G5,G5,0.4593,M2,117,4/4,C Major
note,3964,26,77:75,F5,F5,0.4593,P4,117,4/4,C Major
note,4014,32,72:65,C5,C5,0.4593,m3,117,4/4,C Major
