type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,594,31,84:56,C6,C6,0.4593,M2,120,4/4,C Major
note,645,28,86:66,D6,D6,0.4082,M2,120,4/4,C Major
note,704,24,84:70,C6,C6,0.5103,M2,120,4/4,C Major
note,731,36,86:76,D6,D6,0.4593,M2,120,4/4,C Major
note,793,16,84:72,C6,C6,0.4593,M2,120,4/4,C Major
note,826,26,86:58,D6,D6,0.4593,m3,120,4/4,C Major
note,881,28,83:83,B5,B5,0.4593,m2,120,4/4,C Major
note,883,24,84:54,C6,C6,0.4082,P1,120,4/4,C Major
note,949,68,84:85,C6,C6,0.3572,M6,120,4/4,C Major
note,1040,116,93:87,A6,A6,0.4082,M3,120,4/4,C Major
note,1048,820,41:77,F2,F2,0.3572,P5,120,4/4,C Major
note,1053,149,48:83,C3,C3,0.3062,P5,120,4/4,C Major
note,1131,70,91:82,G6,G6,0.3572,M2,120,4/4,C Major
note,1194,46,89:84,F6,F6,0.4082,P4,120,4/4,C Major
note,1257,29,84:82,C6,C6,0.4082,m3,120,4/4,C Major
note,1336,71,81:72,A5,A5,0.4593,M2,120,4/4,C Major
note,1391,54,79:77,G5,G5,0.4593,M2,120,4/4,C Major
note,1445,45,77:79,F5,F5,0.4593,P4,120,4/4,C Major
note,1515,25,72:73,C5,C5,0.4593,m2,120,4/4,C Major
note,1553,32,47:74,B2,B2,0.4593,m2,120,4/4,C Major
note,1571,27,48:82,C3,C3,0.4593,M6,120,4/4,C Major
note,1589,63,69:78,A4,A4,0.4082,M2,120,4/4,C Major
note,1646,38,67:77,G4,G4,0.4082,M2,120,4/4,C Major
note,1689,40,65:69,F4,F4,0.3572,P4,120,4/4,C Major
note,1752,37,60:76,C4,C4,0.4593,P1,120,4/4,C Major
note,1820,33,48:78,C3,C3,0.4593,M6,120,4/4,C Major
note,1845,57,57:68,A3,A3,0.4593,M2,120,4/4,C Major
note,1907,40,55:68,G3,G3,0.4593,M2,120,4/4,C Major
note,1954,44,53:70,F3,F3,0.4082,P4,120,4/4,C Major
note,2019,42,48:58,C3,C3,0.4593,P5,120,4/4,C Major
note,2088,30,29:67,F1,F1,0.4593,P1,120,4/4,C Major
note,2095,32,41:61,F2,F2,0.4082,P1,120,4/4,C Major
note,2106,48,53:56,F3,F3,0.3572,M2,120,4/4,C Major
note,2156,59,55:65,G3,G3,0.3572,M2,120,4/4,C Major
note,2212,25,57:72,A3,A3,0.4082,m3,120,4/4,C Major
note,2291,48,60:73,C4,C4,0.4593,P4,120,4/4,C Major
note,2371,76,65:66,F4,F4,0.4593,m3,120,4/4,C Major
note,2373,192,50:75,D3,D3,0.4082,P4,120,4/4,C Major
note,2441,58,67:70,G4,G4,0.4082,M2,120,4/4,C Major
note,2499,28,69:69,A4,A4,0.4082,M6,120,4/4,C Major
note,2573,88,48:75,C3,C3,0.4593,P1,120,4/4,C Major
note,2574,70,72:79,C5,C5,0.4082,m3,120,4/4,C Major
note,2668,64,57:84,A3,A3,0.4082,m6,120,4/4,C Major
note,2668,85,77:72,F5,F5,0.4082,M2,120,4/4,C Major
note,2745,60,79:73,G5,G5,0.3572,M2,120,4/4,C Major
note,2801,23,81:71,A5,A5,0.4082,m3,120,4/4,C Major
note,2879,62,84:82,C6,C6,0.5103,P5,120,4/4,C Major
note,2939,31,53:84,F3,F3,0.5103,P1,120,4/4,C Major
note,2950,75,89:80,F6,F6,0.4593,M2,120,4/4,C Major
note,3013,66,91:80,G6,G6,0.4593,M2,120,4/4,C Major
note,3086,95,93:80,A6,A6,0.4593,P1,120,4/4,C Major
note,3141,72,45:70,A2,A2,0.4593,m7,120,4/4,C Major
note,3151,66,91:79,G6,G6,0.4082,M2,120,4/4,C Major
note,3215,785,41:66,F2,F2,0.4082,P1,120,4/4,C Major
note,3217,43,89:83,F6,F6,0.3572,P4,120,4/4,C Major
note,3218,189,48:70,C3,C3,0.3062,P1,120,4/4,C Major
note,3293,24,84:76,C6,C6,0.3062,m3,120,4/4,C Major
note,3364,83,81:71,A5,A5,0.4593,M2,120,4/4,C Major
note,3431,49,79:68,G5,G5,0.4593,M2,120,4/4,C Major
