type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,957,131,42:33,F#2,Gb2,0.3195,P1,120,4/4,C Major
note,961,200,66:37,F#4,Gb4,0.2739,P1,120,4/4,C Major
note,965,121,30:32,F#1,Gb1,0.2282,P1,120,4/4,C Major
note,967,134,54:29,F#3,Gb3,0.1826,m2,120,4/4,C Major
note,1280,147,29:42,F1,F1,0.3651,P1,120,4/4,C Major
note,1309,175,65:29,F4,F4,0.3651,P1,120,4/4,C Major
note,1317,54,53:15,F3,F3,0.3195,m2,120,4/4,C Major
note,1490,82,66:55,F#4,Gb4,0.4564,P1,120,4/4,C Major
note,1503,47,30:31,F#1,Gb1,0.4108,P1,120,4/4,C Major
note,1512,52,42:25,F#2,Gb2,0.3651,m2,120,4/4,C Major
note,1640,72,67:60,G4,G4,0.5021,P1,120,4/4,C Major
note,1651,49,31:43,G1,G1,0.4564,m2,120,4/4,C Major
note,1783,74,68:62,G#4,Ab4,0.5477,P1,120,4/4,C Major
note,1802,42,44:38,G#2,Ab2,0.5021,P1,120,4/4,C Major
note,1819,59,32:21,G#1,Ab1,0.4564,m2,120,4/4,C Major
note,1908,69,69:69,A4,A4,0.5934,P1,120,4/4,C Major
note,1928,46,33:46,A1,A1,0.5477,M7,120,4/4,C Major
note,2040,58,68:63,G#4,Ab4,0.639,P1,120,4/4,C Major
note,2045,42,32:51,G#1,Ab1,0.5934,P1,120,4/4,C Major
note,2066,43,44:34,G#2,Ab2,0.5477,P1,120,4/4,C Major
note,2079,42,56:39,G#3,Ab3,0.5021,m2,120,4/4,C Major
note,2181,45,31:60,G1,G1,0.639,P1,120,4/4,C Major
note,2183,55,67:64,G4,G4,0.5934,P1,120,4/4,C Major
note,2241,51,55:3,G3,G3,0.7303,m2,120,4/4,C Major
note,2312,42,68:69,G#4,Ab4,0.6847,P1,120,4/4,C Major
note,2320,38,32:42,G#1,Ab1,0.639,P1,120,4/4,C Major
note,2327,40,44:44,G#2,Ab2,0.5934,P1,120,4/4,C Major
note,2333,48,56:39,G#3,Ab3,0.5934,M7,120,4/4,C Major
note,2425,43,33:65,A1,A1,0.6847,P1,120,4/4,C Major
note,2437,48,69:74,A4,A4,0.639,P1,120,4/4,C Major
note,2486,67,57:7,A3,A3,0.7303,m2,120,4/4,C Major
note,2561,56,70:73,A#4,Bb4,0.7303,P1,120,4/4,C Major
note,2566,35,46:62,A#2,Bb2,0.6847,P1,120,4/4,C Major
note,2567,45,34:55,A#1,Bb1,0.639,P1,120,4/4,C Major
note,2581,35,58:51,A#3,Bb3,0.5934,m2,120,4/4,C Major
note,2682,68,71:77,B4,B4,0.7303,P1,120,4/4,C Major
note,2694,47,35:56,B1,B1,0.6847,P1,120,4/4,C Major
note,2697,36,47:51,B2,B2,0.639,P1,120,4/4,C Major
note,2712,43,59:39,B3,B3,0.5934,M7,120,4/4,C Major
