type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,852,276,36:93,C2,C2,0.2739,m3,120,4/4,C Major
note,896,249,51:112,D#3,Eb3,0.3195,m6,120,4/4,C Major
note,1098,86,43:61,G2,G2,0.4564,P1,120,4/4,C Major
note,1111,91,55:73,G3,G3,0.4108,P5,120,4/4,C Major
note,1179,47,48:65,C3,C3,0.5021,m3,120,4/4,C Major
note,1219,36,63:67,D#4,Eb4,0.5021,m3,120,4/4,C Major
note,1356,55,48:55,C3,C3,0.639,m3,120,4/4,C Major
note,1356,91,63:61,D#4,Eb4,0.639,m6,120,4/4,C Major
note,1411,56,55:61,G3,G3,0.639,m2,120,4/4,C Major
note,1440,40,68:70,G#4,Ab4,0.5934,m6,120,4/4,C Major
note,1480,41,60:64,C4,C4,0.5477,m3,120,4/4,C Major
note,1526,32,75:65,D#5,Eb5,0.5934,m3,120,4/4,C Major
note,1609,69,60:67,C4,C4,0.5934,m3,120,4/4,C Major
note,1627,47,75:76,D#5,Eb5,0.639,m6,120,4/4,C Major
note,1649,69,67:67,G4,G4,0.5934,P1,120,4/4,C Major
note,1669,72,79:76,G5,G5,0.5477,P5,120,4/4,C Major
note,1718,74,72:85,C5,C5,0.5477,m3,120,4/4,C Major
note,1726,102,87:94,D#6,Eb6,0.5021,m6,120,4/4,C Major
note,1796,45,79:69,G5,G5,0.5021,P1,120,4/4,C Major
note,1803,46,67:61,G4,G4,0.4564,m6,120,4/4,C Major
note,1845,23,75:80,D#5,Eb5,0.5021,m3,120,4/4,C Major
note,1849,43,60:60,C4,C4,0.4564,P1,120,4/4,C Major
note,1972,49,60:64,C4,C4,0.5021,m6,120,4/4,C Major
note,2000,34,68:63,G#4,Ab4,0.4564,m2,120,4/4,C Major
note,2040,40,55:64,G3,G3,0.4108,m6,120,4/4,C Major
note,2091,24,63:70,D#4,Eb4,0.4108,m3,120,4/4,C Major
note,2098,28,48:47,C3,C3,0.3651,m3,120,4/4,C Major
note,2196,88,63:64,D#4,Eb4,0.4108,m3,120,4/4,C Major
note,2213,49,48:69,C3,C3,0.4108,P4,120,4/4,C Major
note,2284,133,43:73,G2,G2,0.3651,P1,120,4/4,C Major
note,2307,50,55:26,G3,G3,0.3195,P5,120,4/4,C Major
note,2417,179,36:83,C2,C2,0.5021,M2,120,4/4,C Major
note,2446,161,50:92,D3,D3,0.5021,M6,120,4/4,C Major
note,2567,91,41:55,F2,F2,0.5477,m3,120,4/4,C Major
note,2617,85,56:68,G#3,Ab3,0.5477,m6,120,4/4,C Major
note,2665,42,48:64,C3,C3,0.5477,M2,120,4/4,C Major
note,2682,42,62:70,D4,D4,0.5934,M2,120,4/4,C Major
note,2798,45,48:60,C3,C3,0.639,P1,120,4/4,C Major
note,2826,39,60:40,C4,C4,0.639,P5,120,4/4,C Major
note,2848,41,53:57,F3,F3,0.5934,M6,120,4/4,C Major
