type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,797,156,36:85,C2,C2,0.4564,m3,120,4/4,C Major
note,797,132,51:103,D#3,Eb3,0.4564,M3,120,4/4,C Major
note,929,70,55:77,G3,G3,0.5477,P1,120,4/4,C Major
note,933,81,43:67,G2,G2,0.5021,P4,120,4/4,C Major
note,1007,44,48:73,C3,C3,0.5934,m3,120,4/4,C Major
note,1012,39,63:78,D#4,Eb4,0.5477,m3,120,4/4,C Major
note,1123,92,48:76,C3,C3,0.5934,m3,120,4/4,C Major
note,1159,25,63:49,D#4,Eb4,0.639,M3,120,4/4,C Major
note,1207,45,67:78,G4,G4,0.639,P1,120,4/4,C Major
note,1211,58,55:72,G3,G3,0.5934,P4,120,4/4,C Major
note,1292,36,60:72,C4,C4,0.639,m3,120,4/4,C Major
note,1292,19,75:73,D#5,Eb5,0.639,P1,120,4/4,C Major
note,1382,2,75:73,D#5,Eb5,0.639,m3,120,4/4,C Major
note,1391,183,60:68,C4,C4,0.5934,m6,120,4/4,C Major
note,1449,21,80:69,G#5,Ab5,0.639,m2,120,4/4,C Major
note,1453,80,67:70,G4,G4,0.5934,P1,120,4/4,C Major
note,1475,73,79:81,G5,G5,0.5477,P5,120,4/4,C Major
note,1522,65,72:100,C5,C5,0.5934,m3,120,4/4,C Major
note,1526,114,87:94,D#6,Eb6,0.5477,m6,120,4/4,C Major
note,1607,79,79:80,G5,G5,0.5477,P1,120,4/4,C Major
note,1611,68,67:67,G4,G4,0.5477,P5,120,4/4,C Major
note,1675,57,60:70,C4,C4,0.5021,m3,120,4/4,C Major
note,1704,41,63:24,D#4,Eb4,0.5477,P1,120,4/4,C Major
note,1704,28,75:78,D#5,Eb5,0.5477,m3,120,4/4,C Major
note,1793,72,60:74,C4,C4,0.4564,m3,120,4/4,C Major
note,1797,89,75:68,D#5,Eb5,0.4108,m6,120,4/4,C Major
note,1877,68,67:67,G4,G4,0.4564,P1,120,4/4,C Major
note,1886,80,55:71,G3,G3,0.4108,P5,120,4/4,C Major
note,1958,51,48:71,C3,C3,0.4108,m3,120,4/4,C Major
note,1982,27,63:74,D#4,Eb4,0.4108,m3,120,4/4,C Major
note,2061,100,48:72,C3,C3,0.4564,m3,120,4/4,C Major
note,2088,54,63:55,D#4,Eb4,0.4108,m6,120,4/4,C Major
note,2156,73,55:68,G3,G3,0.3651,P1,120,4/4,C Major
note,2165,108,43:75,G2,G2,0.3651,P5,120,4/4,C Major
note,2280,126,50:97,D3,D3,0.4564,M2,120,4/4,C Major
note,2286,159,36:83,C2,C2,0.4108,P4,120,4/4,C Major
note,2431,85,41:66,F2,F2,0.5477,m3,120,4/4,C Major
note,2440,102,56:73,G#3,Ab3,0.5021,d5,120,4/4,C Major
note,2533,39,62:71,D4,D4,0.5477,M2,120,4/4,C Major
note,2540,35,48:61,C3,C3,0.5934,M2,120,4/4,C Major
