type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1130,175,52:62,E3,E3,0.1021,P5,117,4/4,C Major
note,1487,95,45:69,A2,A2,0.3572,P5,117,4/4,C Major
note,1636,41,76:68,E5,E5,0.5613,P1,117,4/4,C Major
note,1651,23,64:51,E4,E4,0.5103,P4,117,4/4,C Major
note,1653,24,69:47,A4,A4,0.4593,M6,117,4/4,C Major
note,1655,25,60:57,C4,C4,0.4082,m6,117,4/4,C Major
note,1662,30,52:45,E3,E3,0.4082,M3,117,4/4,C Major
note,1775,37,48:67,C3,C3,0.3572,M6,117,4/4,C Major
note,1907,55,81:73,A5,A5,0.5613,P1,117,4/4,C Major
note,1910,41,69:69,A4,A4,0.5103,P5,117,4/4,C Major
note,1915,37,76:67,E5,E5,0.4593,P1,117,4/4,C Major
note,1918,33,64:55,E4,E4,0.4082,P5,117,4/4,C Major
note,1951,36,57:35,A3,A3,0.4082,m7,117,4/4,C Major
note,2043,28,47:59,B2,B2,0.4082,m7,117,4/4,C Major
note,2166,53,81:76,A5,A5,0.5613,P5,117,4/4,C Major
note,2176,29,74:67,D5,D5,0.5613,P4,117,4/4,C Major
note,2182,28,69:66,A4,A4,0.5103,M3,117,4/4,C Major
note,2185,26,53:65,F3,F3,0.4593,M6,117,4/4,C Major
note,2190,28,62:66,D4,D4,0.4082,m7,117,4/4,C Major
note,2308,32,52:64,E3,E3,0.4082,M3,117,4/4,C Major
note,2425,59,80:66,G#5,Ab5,0.5103,P1,117,4/4,C Major
note,2440,34,68:63,G#4,Ab4,0.5103,m6,117,4/4,C Major
note,2442,29,76:65,E5,E5,0.4593,P1,117,4/4,C Major
note,2443,21,64:56,E4,E4,0.4082,P4,117,4/4,C Major
note,2445,20,59:64,B3,B3,0.3572,M7,117,4/4,C Major
note,2560,35,48:69,C3,C3,0.4082,M3,117,4/4,C Major
note,2680,57,76:80,E5,E5,0.5103,P5,117,4/4,C Major
note,2695,24,57:71,A3,A3,0.5103,P5,117,4/4,C Major
note,2695,25,64:66,E4,E4,0.5103,P4,117,4/4,C Major
note,2697,26,69:72,A4,A4,0.4082,P1,117,4/4,C Major
note,2814,25,45:69,A2,A2,0.4593,m3,117,4/4,C Major
note,2932,65,84:86,C6,C6,0.5613,m6,117,4/4,C Major
note,2938,40,76:70,E5,E5,0.5613,P1,117,4/4,C Major
note,2947,30,64:68,E4,E4,0.5103,m6,117,4/4,C Major
note,2947,35,72:75,C5,C5,0.5103,m3,117,4/4,C Major
note,2948,27,57:66,A3,A3,0.4082,P5,117,4/4,C Major
note,3066,32,50:68,D3,D3,0.3572,m7,117,4/4,C Major
note,3191,54,84:82,C6,C6,0.5613,P5,117,4/4,C Major
note,3197,42,77:71,F5,F5,0.5103,m6,117,4/4,C Major
note,3203,37,57:69,A3,A3,0.5103,m3,117,4/4,C Major
note,3203,38,72:64,C5,C5,0.5103,P5,117,4/4,C Major
note,3206,30,65:66,F4,F4,0.4082,m3,117,4/4,C Major
note,3322,39,50:67,D3,D3,0.3572,M6,117,4/4,C Major
note,3454,46,83:68,B5,B5,0.6124,m3,117,4/4,C Major
note,3464,28,56:70,G#3,Ab3,0.5613,M6,117,4/4,C Major
note,3469,20,65:57,F4,F4,0.5103,P1,117,4/4,C Major
note,3469,31,77:57,F5,F5,0.5103,d5,117,4/4,C Major
note,3470,30,71:60,B4,B4,0.4082,M7,117,4/4,C Major
note,3585,36,48:68,C3,C3,0.4082,M6,117,4/4,C Major
note,3711,51,81:80,A5,A5,0.6124,M3,117,4/4,C Major
note,3712,31,77:76,F5,F5,0.5613,m6,117,4/4,C Major
note,3716,26,69:75,A4,A4,0.5103,M3,117,4/4,C Major
note,3717,30,65:72,F4,F4,0.4593,m6,117,4/4,C Major
note,3731,33,57:50,A3,A3,0.4082,M6,117,4/4,C Major
note,3837,44,48:71,C3,C3,0.3572,M3,117,4/4,C Major
note,3965,52,88:88,E6,E6,0.5613,P1,117,4/4,C Major
note,3972,29,64:63,E4,E4,0.5103,P5,117,4/4,C Major
note,3975,39,57:74,A3,A3,0.4593,P5,117,4/4,C Major
note,3975,26,76:77,E5,E5,0.4593,P4,117,4/4,C Major
