type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,577,24,71:46,B4,B4,0.3572,P5,120,4/4,C Major
note,775,34,40:40,E2,E2,0.4593,P5,120,4/4,C Major
note,797,40,47:51,B2,B2,0.4082,M3,120,4/4,C Major
note,800,21,63:58,D#4,Eb4,0.3572,m6,120,4/4,C Major
note,800,37,71:44,B4,B4,0.3572,P5,120,4/4,C Major
note,845,30,64:63,E4,E4,0.2552,M6,120,4/4,C Major
note,891,45,55:3,G3,G3,0.4082,M6,120,4/4,C Major
note,1033,45,76:64,E5,E5,0.4593,m7,120,4/4,C Major
note,1045,20,66:56,F#4,Gb4,0.4082,m2,120,4/4,C Major
note,1072,28,67:63,G4,G4,0.5613,P1,120,4/4,C Major
note,1242,58,79:63,G5,G5,0.6124,P1,120,4/4,C Major
note,1243,38,43:37,G2,G2,0.5613,m3,120,4/4,C Major
note,1243,30,70:62,A#4,Bb4,0.5613,m2,120,4/4,C Major
note,1267,28,71:66,B4,B4,0.4593,P5,120,4/4,C Major
note,1291,37,52:28,E3,E3,0.4593,P5,120,4/4,C Major
note,1304,30,59:41,B3,B3,0.4593,P5,120,4/4,C Major
note,1430,58,52:45,E3,E3,0.4593,P5,120,4/4,C Major
note,1432,29,45:39,A2,A2,0.4082,M2,120,4/4,C Major
note,1443,41,71:63,B4,B4,0.3572,m6,120,4/4,C Major
note,1454,46,79:67,G5,G5,0.3062,P5,120,4/4,C Major
note,1472,19,60:69,C4,C4,0.2552,M6,120,4/4,C Major
note,1491,25,69:72,A4,A4,0.2552,M6,120,4/4,C Major
note,1671,78,78:65,F#5,Gb5,0.4593,m7,120,4/4,C Major
note,1684,28,68:55,G#4,Ab4,0.4082,m2,120,4/4,C Major
note,1717,27,69:68,A4,A4,0.5103,m3,120,4/4,C Major
note,1873,31,72:63,C5,C5,0.5613,m3,120,4/4,C Major
note,1886,32,57:39,A3,A3,0.5103,P1,120,4/4,C Major
note,1886,42,81:70,A5,A5,0.5103,P4,120,4/4,C Major
note,1892,24,64:76,E4,E4,0.4082,P5,120,4/4,C Major
note,1912,20,71:58,B4,B4,0.3572,P1,120,4/4,C Major
note,2035,31,47:46,B2,B2,0.4593,m7,120,4/4,C Major
note,2072,52,57:51,A3,A3,0.4593,M2,120,4/4,C Major
note,2077,38,71:50,B4,B4,0.4082,m6,120,4/4,C Major
note,2091,33,79:66,G5,G5,0.3572,M3,120,4/4,C Major
note,2111,19,63:71,D#4,Eb4,0.3062,d5,120,4/4,C Major
note,2111,26,69:71,A4,A4,0.3062,M6,120,4/4,C Major
note,2310,74,78:61,F#5,Gb5,0.4593,m7,120,4/4,C Major
note,2313,24,68:51,G#4,Ab4,0.4082,m2,120,4/4,C Major
note,2352,22,69:54,A4,A4,0.5103,m7,120,4/4,C Major
note,2441,46,35:36,B1,B1,0.5103,m6,120,4/4,C Major
note,2515,50,79:65,G5,G5,0.4593,m6,120,4/4,C Major
note,2516,23,71:49,B4,B4,0.4082,m6,120,4/4,C Major
note,2549,36,51:37,D#3,Eb3,0.3572,d5,120,4/4,C Major
note,2565,21,69:57,A4,A4,0.3062,P4,120,4/4,C Major
note,2665,30,40:49,E2,E2,0.4082,P5,120,4/4,C Major
note,2712,53,47:45,B2,B2,0.3572,m7,120,4/4,C Major
note,2720,55,69:34,A4,A4,0.3062,M6,120,4/4,C Major
note,2735,81,78:61,F#5,Gb5,0.3062,M7,120,4/4,C Major
note,2789,31,67:51,G4,G4,0.3572,M6,120,4/4,C Major
note,2951,42,76:62,E5,E5,0.4593,m7,120,4/4,C Major
note,2953,35,66:56,F#4,Gb4,0.4082,m2,120,4/4,C Major
note,2988,31,67:65,G4,G4,0.5103,m2,120,4/4,C Major
note,3117,35,42:43,F#2,Gb2,0.6124,M2,120,4/4,C Major
note,3155,27,68:46,G#4,Ab4,0.5613,d5,120,4/4,C Major
note,3156,47,74:61,D5,D5,0.5103,P4,120,4/4,C Major
note,3177,25,69:63,A4,A4,0.4593,P1,120,4/4,C Major
note,3193,32,57:42,A3,A3,0.4593,P5,120,4/4,C Major
note,3194,33,50:13,D3,D3,0.4082,P5,120,4/4,C Major
