type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1135,286,58:39,A#3,Bb3,0.2041,P1,117,4/4,C Major
note,1154,105,46:37,A#2,Bb2,0.2041,m2,117,4/4,C Major
note,1458,70,45:37,A2,A2,0.4082,P1,117,4/4,C Major
note,1473,56,57:24,A3,A3,0.3572,m2,117,4/4,C Major
note,1538,78,58:40,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,1560,27,46:9,A#2,Bb2,0.2552,m3,117,4/4,C Major
note,1576,64,61:47,C#4,Db4,0.2041,P1,117,4/4,C Major
note,1586,30,49:44,C#3,Db3,0.2041,M3,117,4/4,C Major
note,1625,36,65:54,F4,F4,0.2552,P1,117,4/4,C Major
note,1626,26,53:52,F3,F3,0.2041,m6,117,4/4,C Major
note,1969,110,45:20,A2,A2,0.4082,P1,117,4/4,C Major
note,1977,63,57:32,A3,A3,0.3572,M7,117,4/4,C Major
note,2009,66,46:40,A#2,Bb2,0.3062,P1,117,4/4,C Major
note,2020,107,58:39,A#3,Bb3,0.2552,m3,117,4/4,C Major
note,2053,80,61:42,C#4,Db4,0.2041,P1,117,4/4,C Major
note,2066,42,49:40,C#3,Db3,0.1531,M3,117,4/4,C Major
note,2093,67,65:47,F4,F4,0.1021,P1,117,4/4,C Major
note,2099,45,53:45,F3,F3,0.051,P5,117,4/4,C Major
note,3008,33,46:102,A#2,Bb2,0.1531,P1,117,4/4,C Major
note,3012,23,34:89,A#1,Bb1,0.1021,P1,117,4/4,C Major
note,3023,15,58:81,A#3,Bb3,0.051,P1,117,4/4,C Major
note,3619,489,94:98,A#6,Bb6,0.4593,P1,117,4/4,C Major
note,3621,533,82:96,A#5,Bb5,0.4082,P1,117,4/4,C Major
note,3623,22,70:79,A#4,Bb4,0.3572,P1,117,4/4,C Major
note,3630,19,58:63,A#3,Bb3,0.3062,m6,117,4/4,C Major
note,3630,465,90:85,F#6,Gb6,0.3062,P1,117,4/4,C Major
note,3631,24,66:75,F#4,Gb4,0.2041,m3,117,4/4,C Major
note,3643,22,63:58,D#4,Eb4,0.1531,m3,117,4/4,C Major
note,3645,25,60:49,C4,C4,0.1021,m7,117,4/4,C Major
note,3726,39,70:13,A#4,Bb4,0.051,P1,117,4/4,C Major
note,4405,25,70:63,A#4,Bb4,0.8675,P4,117,4/4,C Major
note,4409,98,87:75,D#6,Eb6,0.8675,P1,117,4/4,C Major
note,4411,37,75:71,D#5,Eb5,0.8165,M6,117,4/4,C Major
note,4415,61,84:70,C6,C6,0.9696,M2,117,4/4,C Major
note,4420,30,58:40,A#3,Bb3,0.9696,P4,117,4/4,C Major
note,4420,25,63:47,D#4,Eb4,0.9696,m3,117,4/4,C Major
note,4420,27,66:47,F#4,Gb4,0.9696,P1,117,4/4,C Major
note,4545,28,66:62,F#4,Gb4,0.8675,M3,117,4/4,C Major
note,4546,27,70:64,A#4,Bb4,0.8165,P5,117,4/4,C Major
note,4549,28,63:55,D#4,Eb4,0.7655,M2,117,4/4,C Major
note,4554,113,89:79,F6,F6,0.7144,P1,117,4/4,C Major
note,4563,19,77:58,F5,F5,0.6634,P5,117,4/4,C Major
note,4624,17,70:74,A#4,Bb4,0.6124,m6,117,4/4,C Major
note,4627,196,90:89,F#6,Gb6,0.5613,P1,117,4/4,C Major
note,4633,21,66:68,F#4,Gb4,0.5103,P1,117,4/4,C Major
note,4637,73,78:80,F#5,Gb5,0.4593,m3,117,4/4,C Major
note,4650,28,63:46,D#4,Eb4,0.4082,M2,117,4/4,C Major
note,4791,35,89:84,F6,F6,0.3572,P1,117,4/4,C Major
note,4796,27,65:74,F4,F4,0.3572,P1,117,4/4,C Major
note,4797,24,77:91,F5,F5,0.3062,P5,117,4/4,C Major
note,4799,34,58:62,A#3,Bb3,0.2552,P1,117,4/4,C Major
note,4799,27,70:73,A#4,Bb4,0.2552,m3,117,4/4,C Major
note,4804,25,85:80,C#6,Db6,0.2041,P1,117,4/4,C Major
note,4815,29,61:54,C#4,Db4,0.1531,M3,117,4/4,C Major
note,5177,40,45:30,A2,A2,0.4082,P1,117,4/4,C Major
note,5188,42,57:36,A3,A3,0.3572,M7,117,4/4,C Major
