type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,4:0,E Major,,,,,,
time_signature,0,0,3:4,3/4,,,,,,
tempo,0,0,181818,330,,,,,,
note,0,359,42:49,F#2,Gb2,0.1826,P1,330,3/4,E Major
note,0,359,54:49,F#3,Gb3,0.1826,M6,330,3/4,E Major
note,360,359,45:49,A2,A2,0.1826,P1,330,3/4,E Major
note,360,359,57:49,A3,A3,0.1826,P4,330,3/4,E Major
note,720,359,40:59,E2,E2,0.1826,P1,330,3/4,E Major
note,720,359,52:59,E3,E3,0.1826,M7,330,3/4,E Major
note,1080,359,41:70,F2,F2,0.1826,P1,330,3/4,E Major
note,1080,359,53:70,F3,F3,0.1826,m3,330,3/4,E Major
note,1440,479,50:81,D3,D3,0.0913,P1,330,3/4,E Major
note,1440,479,62:81,D4,D4,0.0913,M6,330,3/4,E Major
note,2880,359,41:96,F2,F2,0.1826,P1,330,3/4,E Major
note,2880,359,53:96,F3,F3,0.1826,M6,330,3/4,E Major
note,3240,359,44:96,G#2,Ab2,0.1826,P1,330,3/4,E Major
note,3240,359,56:96,G#3,Ab3,0.1826,P4,330,3/4,E Major
note,3600,359,39:96,D#2,Eb2,0.1826,P1,330,3/4,E Major
note,3600,359,51:96,D#3,Eb3,0.1826,M7,330,3/4,E Major
note,3960,359,40:96,E2,E2,0.1826,P1,330,3/4,E Major
note,3960,359,52:96,E3,E3,0.1826,m3,330,3/4,E Major
note,4320,479,49:96,C#3,Db3,0.0913,P1,330,3/4,E Major
note,4320,479,61:96,C#4,Db4,0.0913,m2,330,3/4,E Major
note,5520,239,48:96,C3,C3,0.1826,P1,330,3/4,E Major
note,5520,239,60:96,C4,C4,0.1826,P1,330,3/4,E Major
note,5760,1439,48:96,C3,C3,0.1826,P1,330,3/4,E Major
note,5760,1439,60:96,C4,C4,0.1826,P4,330,3/4,E Major
note,6120,359,43:96,G2,G2,0.1826,P1,330,3/4,E Major
note,6120,359,55:96,G3,G3,0.1826,P4,330,3/4,E Major
note,6480,359,38:96,D2,D2,0.1826,P1,330,3/4,E Major
note,6480,359,50:96,D3,D3,0.1826,M7,330,3/4,E Major
note,6840,359,39:96,D#2,Eb2,0.1826,P1,330,3/4,E Major
note,6840,359,51:96,D#3,Eb3,0.1826,M3,330,3/4,E Major
note,7200,479,47:96,B2,B2,0.0913,P1,330,3/4,E Major
note,7200,479,59:96,B3,B3,0.0913,m6,330,3/4,E Major
note,8400,239,51:96,D#3,Eb3,0.639,m3,330,3/4,E Major
note,8400,239,54:96,F#3,Gb3,0.639,P4,330,3/4,E Major
note,8400,239,59:96,B3,B3,0.639,M3,330,3/4,E Major
note,8400,239,63:96,D#4,Eb4,0.639,m3,330,3/4,E Major
note,8400,239,66:96,F#4,Gb4,0.639,P1,330,3/4,E Major
note,8400,239,78:96,F#5,Gb5,0.639,P1,330,3/4,E Major
note,8400,239,90:96,F#6,Gb6,0.639,m3,330,3/4,E Major
note,8640,2879,51:96,D#3,Eb3,0.3195,m3,330,3/4,E Major
note,8640,2879,54:96,F#3,Gb3,0.3195,P4,330,3/4,E Major
note,8640,2879,59:96,B3,B3,0.3195,M3,330,3/4,E Major
note,8640,2879,63:96,D#4,Eb4,0.3195,m3,330,3/4,E Major
note,8640,2879,66:96,F#4,Gb4,0.3195,P1,330,3/4,E Major
note,8640,2879,78:96,F#5,Gb5,0.3195,P1,330,3/4,E Major
note,8640,2879,90:96,F#6,Gb6,0.3195,m3,330,3/4,E Major
note,11520,359,39:49,D#2,Eb2,0.1826,P1,330,3/4,E Major
note,11520,359,51:49,D#3,Eb3,0.1826,M6,330,3/4,E Major
note,11880,359,42:49,F#2,Gb2,0.1826,P1,330,3/4,E Major
note,11880,359,54:49,F#3,Gb3,0.1826,M3,330,3/4,E Major
note,12240,359,38:49,D2,D2,0.1826,P1,330,3/4,E Major
note,12240,359,50:49,D3,D3,0.1826,M7,330,3/4,E Major
note,12600,359,39:49,D#2,Eb2,0.1826,P1,330,3/4,E Major
note,12600,359,51:49,D#3,Eb3,0.1826,M3,330,3/4,E Major
note,12960,479,47:49,B2,B2,0.0913,P1,330,3/4,E Major
note,12960,479,59:49,B3,B3,0.0913,M6,330,3/4,E Major
note,14400,359,38:49,D2,D2,0.1826,P1,330,3/4,E Major
note,14400,359,50:49,D3,D3,0.1826,m6,330,3/4,E Major
note,14760,359,42:49,F#2,Gb2,0.1826,P1,330,3/4,E Major
note,14760,359,54:49,F#3,Gb3,0.1826,P4,330,3/4,E Major
note,15120,359,37:49,C#2,Db2,0.1826,P1,330,3/4,E Major
note,15120,359,49:49,C#3,Db3,0.1826,M7,330,3/4,E Major
note,15480,359,38:49,D2,D2,0.1826,P1,330,3/4,E Major
note,15480,359,50:49,D3,D3,0.1826,m3,330,3/4,E Major
note,15840,479,47:49,B2,B2,0.0913,P1,330,3/4,E Major
note,15840,479,59:49,B3,B3,0.0913,m2,330,3/4,E Major
note,17040,239,46:49,A#2,Bb2,0.1826,P1,330,3/4,E Major
note,17040,239,58:49,A#3,Bb3,0.1826,P1,330,3/4,E Major
note,17280,1439,46:49,A#2,Bb2,0.1826,P1,330,3/4,E Major
note,17280,1439,58:49,A#3,Bb3,0.1826,P5,330,3/4,E Major
note,17640,359,39:49,D#2,Eb2,0.1826,P1,330,3/4,E Major
note,17640,359,51:49,D#3,Eb3,0.1826,M3,330,3/4,E Major
note,18000,359,35:49,B1,B1,0.1826,P1,330,3/4,E Major
note,18000,359,47:49,B2,B2,0.1826,M7,330,3/4,E Major
note,18360,359,36:49,C2,C2,0.1826,P1,330,3/4,E Major
note,18360,359,48:49,C3,C3,0.1826,m3,330,3/4,E Major
note,18720,479,45:49,A2,A2,0.0913,P1,330,3/4,E Major
note,18720,479,57:49,A3,A3,0.0913,d5,330,3/4,E Major
note,19920,239,51:49,D#3,Eb3,0.639,m3,330,3/4,E Major
note,19920,239,54:49,F#3,Gb3,0.639,m3,330,3/4,E Major
note,19920,239,57:49,A3,A3,0.639,d5,330,3/4,E Major
note,19920,239,63:49,D#4,Eb4,0.639,m3,330,3/4,E Major
note,19920,0,66:49,F#4,Gb4,0.639,P1,330,3/4,E Major
note,19920,239,66:49,F#4,Gb4,0.639,P1,330,3/4,E Major
note,19920,239,78:49,F#5,Gb5,0.639,m3,330,3/4,E Major
note,20160,2879,51:49,D#3,Eb3,0.3195,m3,330,3/4,E Major
note,20160,2879,54:49,F#3,Gb3,0.3195,m3,330,3/4,E Major
note,20160,2879,57:49,A3,A3,0.3195,d5,330,3/4,E Major
note,20160,2879,63:49,D#4,Eb4,0.3195,m3,330,3/4,E Major
note,20160,0,66:49,F#4,Gb4,0.3195,P1,330,3/4,E Major
note,20160,2879,66:49,F#4,Gb4,0.3195,P1,330,3/4,E Major
note,20160,2879,78:49,F#5,Gb5,0.3195,d5,330,3/4,E Major
note,23040,479,36:49,C2,C2,0.1826,P1,330,3/4,E Major
note,23040,479,48:49,C3,C3,0.1826,d5,330,3/4,E Major
note,23520,479,30:49,F#1,Gb1,0.1826,P1,330,3/4,E Major
note,23520,479,42:49,F#2,Gb2,0.1826,M6,330,3/4,E Major
note,24000,479,33:49,A1,A1,0.1826,P1,330,3/4,E Major
note,24000,479,45:49,A2,A2,0.1826,P1,330,3/4,E Major
note,24480,479,45:49,A2,A2,0.0913,P1,330,3/4,E Major
note,24480,479,57:49,A3,A3,0.0913,m3,330,3/4,E Major
note,25680,239,54:49,F#3,Gb3,0.5477,m3,330,3/4,E Major
note,25680,239,57:49,A3,A3,0.5477,P4,330,3/4,E Major
note,25680,239,62:49,D4,D4,0.5477,M3,330,3/4,E Major
note,25680,0,66:49,F#4,Gb4,0.5477,P1,330,3/4,E Major
note,25680,239,66:49,F#4,Gb4,0.5477,P1,330,3/4,E Major
note,25680,239,78:49,F#5,Gb5,0.5477,P1,330,3/4,E Major
note,25920,2879,54:49,F#3,Gb3,0.2739,m3,330,3/4,E Major
note,25920,2879,57:49,A3,A3,0.2739,P4,330,3/4,E Major
note,25920,2879,62:49,D4,D4,0.2739,M3,330,3/4,E Major
note,25920,0,66:49,F#4,Gb4,0.2739,P1,330,3/4,E Major
note,25920,2879,66:49,F#4,Gb4,0.2739,P1,330,3/4,E Major
note,25920,2879,78:49,F#5,Gb5,0.2739,M6,330,3/4,E Major
note,28800,2879,33:96,A1,A1,0.0913,P1,330,3/4,E Major
note,28800,2879,45:96,A2,A2,0.0913,m3,330,3/4,E Major
note,31680,479,30:96,F#1,Gb1,0.1826,P1,330,3/4,E Major
note,31680,479,42:96,F#2,Gb2,0.1826,M7,330,3/4,E Major
note,32160,479,31:96,G1,G1,0.1826,P1,330,3/4,E Major
note,32160,479,43:96,G2,G2,0.1826,m7,330,3/4,E Major
note,32640,479,33:96,A1,A1,0.1826,P1,330,3/4,E Major
note,32640,479,45:96,A2,A2,0.1826,M6,330,3/4,E Major
note,33120,1439,24:115,C1,C1,0.0913,P1,330,3/4,E Major
note,33120,1439,36:115,C2,C2,0.0913,M7,330,3/4,E Major
note,34560,479,25:112,C#1,Db1,0.1826,P1,330,3/4,E Major
note,34560,479,37:112,C#2,Db2,0.1826,P1,330,3/4,E Major
note,34560,1439,73:127,C#5,Db5,0.1826,P1,330,3/4,E Major
note,34560,1439,85:127,C#6,Db6,0.1826,M3,330,3/4,E Major
note,36000,1439,45:127,A2,A2,0.1826,P1,330,3/4,E Major
note,36000,1439,57:127,A3,A3,0.1826,P1,330,3/4,E Major
note,36000,1439,69:127,A4,A4,0.1826,P1,330,3/4,E Major
note,36000,1439,81:127,A5,A5,0.1826,m2,330,3/4,E Major
note,37440,479,44:112,G#2,Ab2,0.3651,P1,330,3/4,E Major
note,37440,479,56:112,G#3,Ab3,0.3651,P1,330,3/4,E Major
note,37440,479,68:112,G#4,Ab4,0.3651,P1,330,3/4,E Major
note,37440,479,80:112,G#5,Ab5,0.3651,M2,330,3/4,E Major
note,37920,479,42:112,F#2,Gb2,0.3651,P1,330,3/4,E Major
note,37920,479,54:112,F#3,Gb3,0.3651,P1,330,3/4,E Major
note,37920,479,66:112,F#4,Gb4,0.3651,P1,330,3/4,E Major
note,37920,479,78:112,F#5,Gb5,0.3651,M2,330,3/4,E Major
note,38400,479,40:112,E2,E2,0.3651,P1,330,3/4,E Major
note,38400,479,52:112,E3,E3,0.3651,P1,330,3/4,E Major
note,38400,479,64:112,E4,E4,0.3651,P1,330,3/4,E Major
note,38400,479,76:112,E5,E5,0.3651,P5,330,3/4,E Major
note,38880,479,45:112,A2,A2,0.3651,P1,330,3/4,E Major
note,38880,479,57:112,A3,A3,0.3651,P1,330,3/4,E Major
note,38880,479,69:112,A4,A4,0.3651,P1,330,3/4,E Major
note,38880,479,81:112,A5,A5,0.3651,m2,330,3/4,E Major
note,39360,479,44:112,G#2,Ab2,0.3651,P1,330,3/4,E Major
note,39360,479,56:112,G#3,Ab3,0.3651,P1,330,3/4,E Major
note,39360,479,68:112,G#4,Ab4,0.3651,P1,330,3/4,E Major
note,39360,479,80:112,G#5,Ab5,0.3651,m2,330,3/4,E Major
note,39840,479,43:112,G2,G2,0.3651,P1,330,3/4,E Major
note,39840,479,55:112,G3,G3,0.3651,P1,330,3/4,E Major
