type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1919,717,49:99,C#3,Db3,0.0913,P1,117,4/4,C Major
note,1922,1288,37:92,C#2,Db2,0.0456,m3,117,4/4,C Major
note,4310,347,40:93,E2,E2,0.0913,P1,117,4/4,C Major
note,4312,342,28:87,E1,E1,0.0456,P1,117,4/4,C Major
note,4848,2186,40:93,E2,E2,0.0913,P1,117,4/4,C Major
note,4850,2160,28:87,E1,E1,0.0456,M6,117,4/4,C Major
note,6670,1128,61:94,C#4,Db4,0.1369,P1,117,4/4,C Major
note,6676,95,49:87,C#3,Db3,0.0913,P5,117,4/4,C Major
note,6682,249,56:85,G#3,Ab3,0.0456,m3,117,4/4,C Major
note,7574,412,29:96,F1,F1,0.1369,P1,117,4/4,C Major
note,7932,124,41:97,F2,F2,0.2282,m6,117,4/4,C Major
note,8054,59,49:87,C#3,Db3,0.1826,P1,117,4/4,C Major
note,8161,2664,49:75,C#3,Db3,0.1826,M2,117,4/4,C Major
note,8263,6524,51:75,D#3,Eb3,0.1369,d5,117,4/4,C Major
note,8327,6462,57:80,A3,A3,0.0913,M3,117,4/4,C Major
note,8627,106,61:105,C#4,Db4,0.0456,m2,117,4/4,C Major
note,12448,2294,60:59,C4,C4,0.0913,P1,117,4/4,C Major
note,12466,2350,48:41,C3,C3,0.0456,M2,117,4/4,C Major
note,15271,69,46:91,A#2,Bb2,0.3651,P1,117,4/4,C Major
note,15279,76,34:80,A#1,Bb1,0.3195,P5,117,4/4,C Major
note,15429,96,53:56,F3,F3,0.3195,M3,117,4/4,C Major
note,15561,35,49:48,C#3,Db3,0.4564,M6,117,4/4,C Major
note,15561,35,58:39,A#3,Bb3,0.4564,P4,117,4/4,C Major
note,15593,112,41:42,F2,F2,0.3651,P5,117,4/4,C Major
note,15705,66,34:53,A#1,Bb1,0.4108,P1,117,4/4,C Major
note,15742,39,46:36,A#2,Bb2,0.3651,P5,117,4/4,C Major
note,15822,81,53:54,F3,F3,0.3651,P4,117,4/4,C Major
note,15932,31,58:38,A#3,Bb3,0.5021,M6,117,4/4,C Major
note,15938,30,49:47,C#3,Db3,0.4564,P1,117,4/4,C Major
note,15938,35,61:46,C#4,Db4,0.4564,m6,117,4/4,C Major
note,15999,96,41:53,F2,F2,0.3651,P5,117,4/4,C Major
note,16120,46,34:51,A#1,Bb1,0.4108,P1,117,4/4,C Major
note,16127,32,46:48,A#2,Bb2,0.3651,P5,117,4/4,C Major
note,16224,92,53:59,F3,F3,0.3651,P4,117,4/4,C Major
note,16333,34,58:40,A#3,Bb3,0.4564,M6,117,4/4,C Major
note,16346,40,49:41,C#3,Db3,0.4564,P1,117,4/4,C Major
note,16354,39,61:36,C#4,Db4,0.4108,m6,117,4/4,C Major
note,16405,133,41:57,F2,F2,0.3651,P5,117,4/4,C Major
note,16519,58,34:69,A#1,Bb1,0.4108,P1,117,4/4,C Major
