type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,-5:0,Db Major,,,,,,
time_signature,0,0,2:2,2/2,,,,,,
tempo,0,0,555556,108,,,,,,
note,0,1679,37:96,Db2,Db2,0.0913,P1,108,2/2,Db Major
note,0,1679,49:96,Db3,Db3,0.0913,M6,108,2/2,Db Major
note,1680,239,28:96,E1,E1,0.1826,P1,108,2/2,Db Major
note,1680,239,40:96,E2,E2,0.1826,P1,108,2/2,Db Major
note,1920,1919,28:96,E1,E1,0.0913,P1,108,2/2,Db Major
note,1920,1919,40:96,E2,E2,0.0913,M6,108,2/2,Db Major
note,2880,959,49:96,Db3,Db3,0.1369,P5,108,2/2,Db Major
note,2880,959,56:96,Ab3,Ab3,0.1369,P4,108,2/2,Db Major
note,2880,959,61:96,Db4,Db4,0.1369,m6,108,2/2,Db Major
note,3840,3839,29:80,F1,F1,0.2282,P1,108,2/2,Db Major
note,3840,3839,41:80,F2,F2,0.2282,m6,108,2/2,Db Major
note,3840,239,49:120,Db3,Db3,0.2282,P1,108,2/2,Db Major
note,4080,239,49:120,Db3,Db3,0.1369,M2,108,2/2,Db Major
note,4320,239,51:120,Eb3,Eb3,0.2739,d5,108,2/2,Db Major
note,4560,239,57:120,A3,A3,0.2282,m6,108,2/2,Db Major
note,4800,959,49:120,Db3,Db3,0.1826,M2,108,2/2,Db Major
note,4800,2879,51:120,Eb3,Eb3,0.1826,d5,108,2/2,Db Major
note,4800,2879,57:120,A3,A3,0.1826,M3,108,2/2,Db Major
note,4800,959,61:120,Db4,Db4,0.1826,m2,108,2/2,Db Major
note,5760,1919,48:80,C3,C3,0.0913,P1,108,2/2,Db Major
note,5760,1919,60:80,C4,C4,0.0913,M2,108,2/2,Db Major
tempo,7680,0,277778,216,,,,,,
note,7680,239,34:49,Bb1,Bb1,0.2739,P1,216,2/2,Db Major
note,7680,239,46:49,Bb2,Bb2,0.2739,P5,216,2/2,Db Major
