type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,389,522,58:36,A#3,Bb3,0.2552,P4,117,4/4,C Major
note,400,1101,53:28,F3,F3,0.2041,P1,117,4/4,C Major
note,419,396,41:29,F2,F2,0.1531,P4,117,4/4,C Major
note,428,569,46:31,A#2,Bb2,0.1021,P1,117,4/4,C Major
note,458,288,34:25,A#1,Bb1,0.051,P1,117,4/4,C Major
note,1457,394,58:35,A#3,Bb3,0.2552,M3,117,4/4,C Major
note,1464,676,54:34,F#3,Gb3,0.2041,P4,117,4/4,C Major
note,1472,302,49:35,C#3,Db3,0.1531,P5,117,4/4,C Major
note,1483,376,42:31,F#2,Gb2,0.1021,P4,117,4/4,C Major
note,1492,350,37:26,C#2,Db2,0.051,M6,117,4/4,C Major
note,2292,77,58:44,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,2508,1415,58:41,A#3,Bb3,0.2552,P4,117,4/4,C Major
note,2518,332,41:34,F2,F2,0.2041,P4,117,4/4,C Major
note,2518,473,46:34,A#2,Bb2,0.2041,P5,117,4/4,C Major
note,2518,531,53:22,F3,F3,0.2041,P5,117,4/4,C Major
note,2531,272,34:28,A#1,Bb1,0.051,m6,117,4/4,C Major
note,3481,633,54:31,F#3,Gb3,0.2041,P1,117,4/4,C Major
note,3486,443,42:31,F#2,Gb2,0.1531,P5,117,4/4,C Major
note,3507,352,49:26,C#3,Db3,0.1021,P1,117,4/4,C Major
note,3526,396,37:28,C#2,Db2,0.051,M6,117,4/4,C Major
note,4500,560,58:39,A#3,Bb3,0.2552,P4,117,4/4,C Major
note,4521,414,41:28,F2,F2,0.2041,P4,117,4/4,C Major
note,4521,510,46:28,A#2,Bb2,0.2041,P5,117,4/4,C Major
note,4522,1012,53:29,F3,F3,0.1021,P5,117,4/4,C Major
note,4544,334,34:27,A#1,Bb1,0.051,P1,117,4/4,C Major
note,5513,446,58:46,A#3,Bb3,0.2552,M3,117,4/4,C Major
note,5534,389,42:34,F#2,Gb2,0.2041,P1,117,4/4,C Major
note,5540,817,54:33,F#3,Gb3,0.1531,P4,117,4/4,C Major
note,5549,308,49:29,C#3,Db3,0.1021,P1,117,4/4,C Major
note,5581,367,37:24,C#2,Db2,0.051,M6,117,4/4,C Major
note,6336,101,58:44,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,6549,1474,58:44,A#3,Bb3,0.2552,P4,117,4/4,C Major
note,6577,391,41:24,F2,F2,0.2041,P1,117,4/4,C Major
note,6579,543,53:32,F3,F3,0.1531,P5,117,4/4,C Major
note,6587,503,46:26,A#2,Bb2,0.1021,P1,117,4/4,C Major
note,6599,310,34:28,A#1,Bb1,0.051,m6,117,4/4,C Major
note,7520,1006,54:35,F#3,Gb3,0.2041,P1,117,4/4,C Major
note,7523,512,42:33,F#2,Gb2,0.1531,P5,117,4/4,C Major
note,7535,379,49:29,C#3,Db3,0.1021,P1,117,4/4,C Major
note,7564,440,37:26,C#2,Db2,0.051,M6,117,4/4,C Major
note,8521,711,58:52,A#3,Bb3,0.2552,P4,117,4/4,C Major
note,8555,973,53:28,F3,F3,0.2041,P1,117,4/4,C Major
note,8559,425,41:24,F2,F2,0.1531,P4,117,4/4,C Major
note,8572,627,46:25,A#2,Bb2,0.1021,P1,117,4/4,C Major
note,8587,321,34:24,A#1,Bb1,0.051,P1,117,4/4,C Major
note,9538,476,58:52,A#3,Bb3,0.2552,M3,117,4/4,C Major
note,9552,910,54:39,F#3,Gb3,0.2041,P4,117,4/4,C Major
note,9574,307,49:34,C#3,Db3,0.1531,P5,117,4/4,C Major
note,9578,406,42:31,F#2,Gb2,0.1021,P4,117,4/4,C Major
note,9612,401,37:23,C#2,Db2,0.051,M6,117,4/4,C Major
note,10375,129,58:51,A#3,Bb3,0.3062,P1,117,4/4,C Major
note,10559,702,58:44,A#3,Bb3,0.2552,P4,117,4/4,C Major
note,10599,949,53:39,F3,F3,0.2041,P5,117,4/4,C Major
note,10611,541,46:26,A#2,Bb2,0.1531,P4,117,4/4,C Major
note,10621,371,41:27,F2,F2,0.1021,P5,117,4/4,C Major
note,10623,308,34:28,A#1,Bb1,0.051,m3,117,4/4,C Major
