type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,389,33,55:31,G3,G3,0.3062,m2,117,4/4,C Major
note,476,51,56:46,G#3,Ab3,0.4082,m2,117,4/4,C Major
note,549,57,57:60,A3,A3,0.4082,m3,117,4/4,C Major
note,621,54,60:56,C4,C4,0.4593,M2,117,4/4,C Major
note,689,62,58:69,A#3,Bb3,0.4593,M6,117,4/4,C Major
note,763,51,67:69,G4,G4,0.5103,M7,117,4/4,C Major
note,794,88,56:51,G#3,Ab3,0.4593,m7,117,4/4,C Major
note,818,284,46:52,A#2,Bb2,0.4593,M3,117,4/4,C Major
note,828,58,62:59,D4,D4,0.4082,m3,117,4/4,C Major
note,908,61,65:62,F4,F4,0.4082,m7,117,4/4,C Major
note,958,35,55:52,G3,G3,0.4082,m6,117,4/4,C Major
note,968,64,63:70,D#4,Eb4,0.3572,m6,117,4/4,C Major
note,1065,34,55:59,G3,G3,0.3572,M3,117,4/4,C Major
note,1113,39,39:48,D#2,Eb2,0.3572,P5,117,4/4,C Major
note,1128,33,58:58,A#3,Bb3,0.3062,P4,117,4/4,C Major
note,1191,26,63:71,D#4,Eb4,0.3062,M3,117,4/4,C Major
note,1261,35,67:74,G4,G4,0.3572,m2,117,4/4,C Major
note,1321,50,68:68,G#4,Ab4,0.4082,m2,117,4/4,C Major
note,1385,50,69:72,A4,A4,0.4082,m3,117,4/4,C Major
note,1453,47,72:62,C5,C5,0.4593,M2,117,4/4,C Major
note,1517,50,70:71,A#4,Bb4,0.4593,M6,117,4/4,C Major
note,1581,51,79:69,G5,G5,0.5103,M7,117,4/4,C Major
note,1644,80,68:66,G#4,Ab4,0.5103,d5,117,4/4,C Major
note,1650,49,74:69,D5,D5,0.4593,M3,117,4/4,C Major
note,1669,241,58:50,A#3,Bb3,0.4082,P5,117,4/4,C Major
note,1721,73,77:71,F5,F5,0.4082,m7,117,4/4,C Major
note,1783,27,67:55,G4,G4,0.4082,m6,117,4/4,C Major
note,1789,60,75:75,D#5,Eb5,0.3572,m6,117,4/4,C Major
note,1874,39,67:65,G4,G4,0.3572,M3,117,4/4,C Major
note,1917,48,51:59,D#3,Eb3,0.3572,P5,117,4/4,C Major
note,1937,45,70:74,A#4,Bb4,0.3062,P4,117,4/4,C Major
note,1997,23,75:79,D#5,Eb5,0.3062,M3,117,4/4,C Major
note,2066,46,79:80,G5,G5,0.3062,m2,117,4/4,C Major
note,2130,55,80:79,G#5,Ab5,0.4082,m2,117,4/4,C Major
note,2202,54,81:76,A5,A5,0.4082,m3,117,4/4,C Major
note,2259,59,84:77,C6,C6,0.4593,M2,117,4/4,C Major
note,2328,56,82:79,A#5,Bb5,0.5103,M6,117,4/4,C Major
note,2393,55,91:73,G6,G6,0.5103,P4,117,4/4,C Major
note,2458,70,86:72,D6,D6,0.5103,P5,117,4/4,C Major
note,2475,70,79:54,G5,G5,0.4593,M6,117,4/4,C Major
note,2514,106,70:37,A#4,Bb4,0.4082,P5,117,4/4,C Major
note,2549,72,89:73,F6,F6,0.4082,M2,117,4/4,C Major
note,2613,62,75:61,D#5,Eb5,0.4082,P1,117,4/4,C Major
note,2617,83,87:72,D#6,Eb6,0.3572,m6,117,4/4,C Major
note,2650,35,67:44,G4,G4,0.3062,m3,117,4/4,C Major
note,2696,36,82:66,A#5,Bb5,0.3572,m3,117,4/4,C Major
note,2750,25,79:68,G5,G5,0.3062,M3,117,4/4,C Major
note,2833,68,75:77,D#5,Eb5,0.4593,P4,117,4/4,C Major
note,2900,30,70:65,A#4,Bb4,0.4593,m3,117,4/4,C Major
note,2970,25,67:45,G4,G4,0.4593,P5,117,4/4,C Major
note,3069,435,48:63,C3,C3,0.4593,M3,117,4/4,C Major
note,3075,39,64:26,E4,E4,0.4082,M6,117,4/4,C Major
note,3169,30,55:27,G3,G3,0.4593,M2,117,4/4,C Major
note,3170,36,57:27,A3,A3,0.4082,M3,117,4/4,C Major
note,3214,1,61:28,C#4,Db4,0.4082,m2,117,4/4,C Major
note,3217,60,60:66,C4,C4,0.3572,m3,117,4/4,C Major
note,3282,57,63:74,D#4,Eb4,0.3572,M3,117,4/4,C Major
