type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,960,960,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,5289,137,55:38,G3,G3,0.1614,m2,120,4/4,C Major
note,5526,128,56:47,G#3,Ab3,0.2582,m2,120,4/4,C Major
note,5751,90,57:51,A3,A3,0.2582,m3,120,4/4,C Major
note,5894,97,60:56,C4,C4,0.2905,M2,120,4/4,C Major
note,6074,77,58:57,A#3,Bb3,0.2905,M6,120,4/4,C Major
note,6251,145,67:62,G4,G4,0.3227,M7,120,4/4,C Major
note,6314,220,56:47,G#3,Ab3,0.3227,m7,120,4/4,C Major
note,6371,460,46:44,A#2,Bb2,0.2905,M3,120,4/4,C Major
note,6444,77,62:58,D4,D4,0.2582,m3,120,4/4,C Major
note,6604,165,65:59,F4,F4,0.2582,m7,120,4/4,C Major
note,6719,72,55:55,G3,G3,0.2582,m6,120,4/4,C Major
note,6779,77,63:65,D#4,Eb4,0.2259,m6,120,4/4,C Major
note,6954,80,55:61,G3,G3,0.2582,M3,120,4/4,C Major
note,7101,98,39:61,D#2,Eb2,0.2259,P5,120,4/4,C Major
note,7124,75,58:67,A#3,Bb3,0.1936,P4,120,4/4,C Major
note,7229,67,63:54,D#4,Eb4,0.1936,M3,120,4/4,C Major
note,7456,108,67:58,G4,G4,0.2582,m2,120,4/4,C Major
note,7601,113,68:64,G#4,Ab4,0.2582,m2,120,4/4,C Major
note,7781,103,69:63,A4,A4,0.3227,m3,120,4/4,C Major
note,7911,128,72:63,C5,C5,0.2905,M2,120,4/4,C Major
note,8091,65,70:69,A#4,Bb4,0.2905,M6,120,4/4,C Major
note,8251,163,79:68,G5,G5,0.355,M7,120,4/4,C Major
note,8381,128,68:53,G#4,Ab4,0.3227,m7,120,4/4,C Major
note,8406,423,58:50,A#3,Bb3,0.2905,M3,120,4/4,C Major
note,8419,67,74:69,D5,D5,0.2582,m3,120,4/4,C Major
note,8581,115,77:63,F5,F5,0.2582,M2,120,4/4,C Major
note,8731,108,75:70,D#5,Eb5,0.2582,m6,120,4/4,C Major
note,8739,70,67:61,G4,G4,0.2259,P1,120,4/4,C Major
note,8929,70,67:62,G4,G4,0.2259,M3,120,4/4,C Major
note,9101,80,51:65,D#3,Eb3,0.2259,P5,120,4/4,C Major
