type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,960,960,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,2642,84,55:33,G3,G3,0.1936,m2,120,4/4,C Major
note,2800,104,56:52,G#3,Ab3,0.2582,m2,120,4/4,C Major
note,3018,78,57:43,A3,A3,0.2582,m3,120,4/4,C Major
note,3186,94,60:51,C4,C4,0.2905,M2,120,4/4,C Major
note,3342,84,58:51,A#3,Bb3,0.2905,M6,120,4/4,C Major
note,3502,104,67:51,G4,G4,0.3227,M7,120,4/4,C Major
note,3642,104,56:30,G#3,Ab3,0.3227,m7,120,4/4,C Major
note,3646,696,46:31,A#2,Bb2,0.2905,M3,120,4/4,C Major
note,3662,86,62:49,D4,D4,0.2582,m3,120,4/4,C Major
note,3824,120,65:54,F4,F4,0.2582,m7,120,4/4,C Major
note,3990,110,55:42,G3,G3,0.2582,m6,120,4/4,C Major
note,4006,90,63:57,D#4,Eb4,0.2582,m6,120,4/4,C Major
note,4174,108,55:52,G3,G3,0.2582,M3,120,4/4,C Major
note,4326,94,39:54,D#2,Eb2,0.2259,P5,120,4/4,C Major
note,4342,88,58:57,A#3,Bb3,0.1936,P4,120,4/4,C Major
note,4464,82,63:63,D#4,Eb4,0.2259,M3,120,4/4,C Major
note,4652,72,67:65,G4,G4,0.2582,m2,120,4/4,C Major
note,4812,92,68:57,G#4,Ab4,0.2905,m2,120,4/4,C Major
note,4954,82,69:62,A4,A4,0.3227,m3,120,4/4,C Major
note,5100,140,72:65,C5,C5,0.2905,M2,120,4/4,C Major
note,5312,76,70:42,A#4,Bb4,0.355,M6,120,4/4,C Major
note,5420,110,79:61,G5,G5,0.355,M6,120,4/4,C Major
note,5538,682,58:36,A#3,Bb3,0.3227,M3,120,4/4,C Major
note,5546,74,74:66,D5,D5,0.2905,m3,120,4/4,C Major
note,5744,90,77:46,F5,F5,0.3227,m2,120,4/4,C Major
note,5770,88,78:36,F#5,Gb5,0.2905,m3,120,4/4,C Major
note,5870,94,75:68,D#5,Eb5,0.2905,m6,120,4/4,C Major
note,5872,76,67:63,G4,G4,0.2582,P1,120,4/4,C Major
note,6064,84,67:58,G4,G4,0.2582,M3,120,4/4,C Major
note,6210,80,51:58,D#3,Eb3,0.2582,P5,120,4/4,C Major
