type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,382,62,39:77,D#2,Eb2,0.3062,P1,117,4/4,C Major
note,392,102,63:90,D#4,Eb4,0.2552,P1,117,4/4,C Major
note,394,45,51:86,D#3,Eb3,0.2041,M2,117,4/4,C Major
note,468,1197,49:92,C#3,Db3,0.1531,P1,117,4/4,C Major
note,472,1371,37:87,C#2,Db2,0.1021,P1,117,4/4,C Major
note,472,926,61:90,C#4,Db4,0.1021,m7,117,4/4,C Major
note,1852,111,39:80,D#2,Eb2,0.3062,P1,117,4/4,C Major
note,1852,114,63:90,D#4,Eb4,0.3062,P1,117,4/4,C Major
note,1857,57,51:83,D#3,Eb3,0.2041,m6,117,4/4,C Major
note,1942,763,59:93,B3,B3,0.1531,P1,117,4/4,C Major
note,1945,1196,47:95,B2,B2,0.1021,P1,117,4/4,C Major
note,1951,1147,35:85,B1,B1,0.051,M3,117,4/4,C Major
note,3401,118,39:85,D#2,Eb2,0.3062,P1,117,4/4,C Major
note,3405,114,63:89,D#4,Eb4,0.2552,P1,117,4/4,C Major
note,3408,117,51:91,D#3,Eb3,0.2041,P4,117,4/4,C Major
note,3495,620,46:94,A#2,Bb2,0.1531,P1,117,4/4,C Major
note,3497,1298,34:89,A#1,Bb1,0.1021,P1,117,4/4,C Major
note,3497,574,58:93,A#3,Bb3,0.1021,m2,117,4/4,C Major
note,4848,81,59:94,B3,B3,0.3062,P1,117,4/4,C Major
note,4849,67,47:87,B2,B2,0.2552,P1,117,4/4,C Major
note,4855,142,35:83,B1,B1,0.2041,M6,117,4/4,C Major
note,4954,1767,44:71,G#2,Ab2,0.1531,P1,117,4/4,C Major
note,4956,908,56:93,G#3,Ab3,0.1021,P1,117,4/4,C Major
note,4965,692,32:84,G#1,Ab1,0.051,m6,117,4/4,C Major
note,6677,174,64:92,E4,E4,0.3062,P1,117,4/4,C Major
note,6681,176,52:77,E3,E3,0.2552,P1,117,4/4,C Major
note,6682,194,40:71,E2,E2,0.2041,P1,117,4/4,C Major
note,6934,1546,64:90,E4,E4,0.1531,P1,117,4/4,C Major
note,6947,1453,52:86,E3,E3,0.1021,P1,117,4/4,C Major
note,6949,2693,40:77,E2,E2,0.051,M6,117,4/4,C Major
note,11579,2002,31:31,G1,G1,0.2041,P1,117,4/4,C Major
note,11582,934,55:32,G3,G3,0.1531,P1,117,4/4,C Major
note,11584,2068,43:24,G2,G2,0.1021,P4,117,4/4,C Major
note,11592,1424,60:33,C4,C4,0.051,M2,117,4/4,C Major
note,12927,1156,62:46,D4,D4,0.1531,M6,117,4/4,C Major
note,12948,514,53:29,F3,F3,0.1021,M2,117,4/4,C Major
note,12952,517,55:37,G3,G3,0.051,P4,117,4/4,C Major
note,14033,174,60:37,C4,C4,0.1531,m6,117,4/4,C Major
note,14044,69,52:32,E3,E3,0.1021,m3,117,4/4,C Major
note,14052,76,55:31,G3,G3,0.051,m7,117,4/4,C Major
note,14481,812,65:57,F4,F4,0.2041,m7,117,4/4,C Major
note,14517,1049,43:32,G2,G2,0.1531,P5,117,4/4,C Major
note,14523,510,50:31,D3,D3,0.1021,M6,117,4/4,C Major
note,14523,776,59:24,B3,B3,0.1021,P5,117,4/4,C Major
note,15768,584,66:46,F#4,Gb4,0.2041,P5,117,4/4,C Major
note,15780,468,59:35,B3,B3,0.1531,m6,117,4/4,C Major
note,15791,641,51:37,D#3,Eb3,0.1021,M6,117,4/4,C Major
note,15813,819,42:28,F#2,Gb2,0.051,M3,117,4/4,C Major
note,16951,107,70:60,A#4,Bb4,0.3572,P1,117,4/4,C Major
note,16968,61,58:42,A#3,Bb3,0.3572,d5,117,4/4,C Major
note,16989,185,52:29,E3,E3,0.3062,m7,117,4/4,C Major
note,17012,80,42:30,F#2,Gb2,0.2552,P5,117,4/4,C Major
note,17307,1711,73:62,C#5,Db5,0.2041,m3,117,4/4,C Major
note,17320,1588,58:52,A#3,Bb3,0.1531,d5,117,4/4,C Major
note,17327,1645,64:48,E4,E4,0.1021,m7,117,4/4,C Major
note,17338,1511,42:36,F#2,Gb2,0.051,P1,117,4/4,C Major
note,18531,775,30:37,F#1,Gb1,0.051,P4,117,4/4,C Major
