type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,383,134,39:60,D#2,Eb2,0.3062,P1,117,4/4,C Major
note,433,111,63:90,D#4,Eb4,0.2552,P1,117,4/4,C Major
note,437,106,51:80,D#3,Eb3,0.2041,M2,117,4/4,C Major
note,503,270,49:83,C#3,Db3,0.1531,P1,117,4/4,C Major
note,506,303,37:78,C#2,Db2,0.1021,P1,117,4/4,C Major
note,510,394,61:90,C#4,Db4,0.051,M2,117,4/4,C Major
note,1255,109,63:85,D#4,Eb4,0.3062,P1,117,4/4,C Major
note,1262,106,51:81,D#3,Eb3,0.2552,P1,117,4/4,C Major
note,1267,103,39:72,D#2,Eb2,0.2041,m6,117,4/4,C Major
note,1346,311,59:93,B3,B3,0.1531,P1,117,4/4,C Major
note,1359,284,47:83,B2,B2,0.1021,P1,117,4/4,C Major
note,1366,323,35:78,B1,B1,0.051,M3,117,4/4,C Major
note,2073,161,39:66,D#2,Eb2,0.3062,P1,117,4/4,C Major
note,2098,121,63:93,D#4,Eb4,0.2552,P1,117,4/4,C Major
note,2102,72,51:88,D#3,Eb3,0.2041,P5,117,4/4,C Major
note,2191,304,58:96,A#3,Bb3,0.1531,P1,117,4/4,C Major
note,2195,236,46:85,A#2,Bb2,0.1021,P1,117,4/4,C Major
note,2202,296,34:75,A#1,Bb1,0.051,m2,117,4/4,C Major
note,2887,209,35:65,B1,B1,0.3062,P1,117,4/4,C Major
note,2932,172,59:93,B3,B3,0.2552,P1,117,4/4,C Major
note,2936,186,47:86,B2,B2,0.2041,M6,117,4/4,C Major
note,3081,339,56:88,G#3,Ab3,0.1531,P1,117,4/4,C Major
note,3084,439,44:84,G#2,Ab2,0.1021,P1,117,4/4,C Major
note,3091,352,32:79,G#1,Ab1,0.051,m6,117,4/4,C Major
note,3836,171,40:73,E2,E2,0.3062,P1,117,4/4,C Major
note,3913,130,64:103,E4,E4,0.2552,P1,117,4/4,C Major
note,3918,120,52:89,E3,E3,0.2041,P1,117,4/4,C Major
note,4176,4047,64:99,E4,E4,0.1531,P1,117,4/4,C Major
note,4180,1661,52:87,E3,E3,0.1021,P1,117,4/4,C Major
note,4204,1822,40:67,E2,E2,0.051,m6,117,4/4,C Major
note,7722,1085,60:32,C4,C4,0.2041,P4,117,4/4,C Major
note,7725,653,55:23,G3,G3,0.1531,P1,117,4/4,C Major
note,7764,1313,43:13,G2,G2,0.1021,P1,117,4/4,C Major
note,7794,1280,31:22,G1,G1,0.051,P5,117,4/4,C Major
note,8751,818,62:58,D4,D4,0.1531,P5,117,4/4,C Major
note,8805,439,55:20,G3,G3,0.1021,M2,117,4/4,C Major
note,8819,327,53:30,F3,F3,0.051,P5,117,4/4,C Major
note,9546,139,60:64,C4,C4,0.3572,m6,117,4/4,C Major
note,9558,36,52:52,E3,E3,0.3062,m3,117,4/4,C Major
note,9579,40,55:16,G3,G3,0.2552,m7,117,4/4,C Major
note,9777,941,65:66,F4,F4,0.2041,d5,117,4/4,C Major
note,9811,492,59:44,B3,B3,0.1531,M6,117,4/4,C Major
note,9840,873,50:32,D3,D3,0.1021,P5,117,4/4,C Major
note,9871,423,43:28,G2,G2,0.051,M7,117,4/4,C Major
note,10702,635,66:68,F#4,Gb4,0.2041,P5,117,4/4,C Major
note,10752,297,59:49,B3,B3,0.1531,m6,117,4/4,C Major
note,10782,500,51:27,D#3,Eb3,0.1021,M6,117,4/4,C Major
note,10783,257,42:41,F#2,Gb2,0.051,M3,117,4/4,C Major
note,11513,163,70:84,A#4,Bb4,0.3572,P1,117,4/4,C Major
note,11543,119,58:54,A#3,Bb3,0.3572,d5,117,4/4,C Major
note,11561,144,52:39,E3,E3,0.3062,m7,117,4/4,C Major
note,11568,80,42:35,F#2,Gb2,0.2552,P5,117,4/4,C Major
note,11843,1742,73:87,C#5,Db5,0.2041,M6,117,4/4,C Major
note,11869,1424,64:57,E4,E4,0.1531,d5,117,4/4,C Major
note,11880,1158,58:49,A#3,Bb3,0.1021,M3,117,4/4,C Major
note,11915,1520,42:39,F#2,Gb2,0.051,P1,117,4/4,C Major
note,12881,484,30:42,F#1,Gb1,0.051,P4,117,4/4,C Major
