type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1130,831,83:64,B5,B5,0.1531,m3,117,4/4,C Major
note,1164,822,80:44,G#5,Ab5,0.1021,M3,117,4/4,C Major
note,1375,41,64:55,E4,E4,0.1021,P5,117,4/4,C Major
note,1645,851,71:48,B4,B4,0.1531,m7,117,4/4,C Major
note,1906,189,81:63,A5,A5,0.2041,m3,117,4/4,C Major
note,1945,68,78:43,F#5,Gb5,0.1531,M2,117,4/4,C Major
note,2187,615,80:72,G#5,Ab5,0.1531,M3,117,4/4,C Major
note,2212,713,76:50,E5,E5,0.1021,m3,117,4/4,C Major
note,2441,314,73:51,C#5,Db5,0.1531,P4,117,4/4,C Major
note,2693,587,78:67,F#5,Gb5,0.2041,m6,117,4/4,C Major
note,2714,195,70:45,A#4,Bb4,0.1531,P4,117,4/4,C Major
note,2940,86,75:44,D#5,Eb5,0.2041,M3,117,4/4,C Major
note,2949,860,71:37,B4,B4,0.1531,P4,117,4/4,C Major
note,3184,376,76:62,E5,E5,0.1531,m6,117,4/4,C Major
note,3198,284,68:46,G#4,Ab4,0.1531,M3,117,4/4,C Major
note,3448,211,64:43,E4,E4,0.2552,M2,117,4/4,C Major
note,3569,35,78:56,F#5,Gb5,0.3062,M2,117,4/4,C Major
note,3613,48,80:61,G#5,Ab5,0.2552,m2,117,4/4,C Major
note,3676,21,81:72,A5,A5,0.2041,d5,117,4/4,C Major
note,3693,37,63:43,D#4,Eb4,0.1531,P4,117,4/4,C Major
note,3913,25,80:73,G#5,Ab5,0.4082,M3,117,4/4,C Major
note,3917,28,64:57,E4,E4,0.3572,P4,117,4/4,C Major
note,4171,255,69:56,A4,A4,0.5103,M6,117,4/4,C Major
note,4171,27,78:45,F#5,Gb5,0.5103,P4,117,4/4,C Major
note,4180,218,73:45,C#5,Db5,0.4082,P5,117,4/4,C Major
note,4209,28,80:61,G#5,Ab5,0.3572,M2,117,4/4,C Major
note,4252,19,78:68,F#5,Gb5,0.3062,M2,117,4/4,C Major
note,4295,20,80:57,G#5,Ab5,0.2552,M2,117,4/4,C Major
note,4333,25,78:71,F#5,Gb5,0.2041,M2,117,4/4,C Major
note,4433,126,76:59,E5,E5,0.1531,P4,117,4/4,C Major
note,4447,199,71:44,B4,B4,0.1021,m3,117,4/4,C Major
note,4463,135,68:37,G#4,Ab4,0.051,m3,117,4/4,C Major
note,5404,776,71:49,B4,B4,0.1531,m3,117,4/4,C Major
note,5414,787,68:42,G#4,Ab4,0.1021,M3,117,4/4,C Major
note,5652,40,52:56,E3,E3,0.1021,P5,117,4/4,C Major
note,5912,832,59:47,B3,B3,0.1531,m7,117,4/4,C Major
note,6138,162,69:60,A4,A4,0.2041,m3,117,4/4,C Major
note,6173,62,66:47,F#4,Gb4,0.1531,M2,117,4/4,C Major
note,6412,572,68:69,G#4,Ab4,0.1531,M3,117,4/4,C Major
note,6448,666,64:42,E4,E4,0.1021,m3,117,4/4,C Major
note,6660,313,61:53,C#4,Db4,0.1531,P4,117,4/4,C Major
note,6894,480,66:68,F#4,Gb4,0.2041,m6,117,4/4,C Major
note,6912,218,58:40,A#3,Bb3,0.1531,P4,117,4/4,C Major
note,7147,64,63:49,D#4,Eb4,0.2041,M3,117,4/4,C Major
note,7153,765,59:45,B3,B3,0.1531,P4,117,4/4,C Major
note,7385,347,64:59,E4,E4,0.2041,m6,117,4/4,C Major
note,7398,339,56:40,G#3,Ab3,0.1531,M3,117,4/4,C Major
note,7621,238,52:46,E3,E3,0.2552,M2,117,4/4,C Major
note,7733,66,66:56,F#4,Gb4,0.3062,M2,117,4/4,C Major
note,7789,59,68:66,G#4,Ab4,0.2552,m2,117,4/4,C Major
note,7853,27,69:76,A4,A4,0.2041,d5,117,4/4,C Major
note,7868,34,51:56,D#3,Eb3,0.1531,P4,117,4/4,C Major
note,8091,47,68:81,G#4,Ab4,0.3062,M3,117,4/4,C Major
note,8095,27,52:65,E3,E3,0.2552,M6,117,4/4,C Major
note,8343,88,73:70,C#5,Db5,0.4082,M3,117,4/4,C Major
note,8356,45,45:52,A2,A2,0.3572,P1,117,4/4,C Major
note,8364,39,69:59,A4,A4,0.3062,P4,117,4/4,C Major
