type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512821,117,,,,,,
note,1879,1030,83:68,B5,B5,0.1369,m3,117,4/4,C Major
note,1901,959,80:52,G#5,Ab5,0.0913,M3,117,4/4,C Major
note,2169,42,64:37,E4,E4,0.0913,P5,117,4/4,C Major
note,2526,919,71:45,B4,B4,0.1369,m7,117,4/4,C Major
note,2795,336,81:61,A5,A5,0.1826,m3,117,4/4,C Major
note,2816,157,78:52,F#5,Gb5,0.1369,M2,117,4/4,C Major
note,3124,711,80:75,G#5,Ab5,0.1369,M3,117,4/4,C Major
note,3155,800,76:58,E5,E5,0.0913,m3,117,4/4,C Major
note,3438,55,73:47,C#5,Db5,0.1369,P4,117,4/4,C Major
note,3736,743,78:68,F#5,Gb5,0.1826,m6,117,4/4,C Major
note,3749,49,70:40,A#4,Bb4,0.1369,P4,117,4/4,C Major
note,4051,178,75:48,D#5,Eb5,0.1826,M3,117,4/4,C Major
note,4063,1263,71:37,B4,B4,0.1369,P4,117,4/4,C Major
note,4379,531,76:58,E5,E5,0.2282,m6,117,4/4,C Major
note,4413,321,68:39,G#4,Ab4,0.1826,M3,117,4/4,C Major
note,4698,215,64:40,E4,E4,0.2282,M2,117,4/4,C Major
note,4806,43,78:51,F#5,Gb5,0.2739,M2,117,4/4,C Major
note,4854,57,80:61,G#5,Ab5,0.2282,m2,117,4/4,C Major
note,4921,38,81:68,A5,A5,0.1826,d5,117,4/4,C Major
note,4943,36,63:37,D#4,Eb4,0.1369,P4,117,4/4,C Major
note,5251,37,80:76,G#5,Ab5,0.2739,M3,117,4/4,C Major
note,5271,49,64:48,E4,E4,0.2282,M2,117,4/4,C Major
note,5598,41,78:68,F#5,Gb5,0.5021,P4,117,4/4,C Major
note,5616,158,73:47,C#5,Db5,0.4564,M3,117,4/4,C Major
note,5633,362,69:34,A4,A4,0.4108,M7,117,4/4,C Major
note,5673,55,80:69,G#5,Ab5,0.3651,M2,117,4/4,C Major
note,5754,42,78:59,F#5,Gb5,0.3195,M2,117,4/4,C Major
note,5810,23,80:63,G#5,Ab5,0.2739,P1,117,4/4,C Major
note,5910,36,80:75,G#5,Ab5,0.2282,M2,117,4/4,C Major
note,5966,65,78:74,F#5,Gb5,0.1826,P5,117,4/4,C Major
note,6065,185,71:35,B4,B4,0.1369,P4,117,4/4,C Major
note,6071,188,76:59,E5,E5,0.0913,m6,117,4/4,C Major
note,6075,206,68:37,G#4,Ab4,0.0456,m3,117,4/4,C Major
note,7140,1096,71:65,B4,B4,0.1369,m3,117,4/4,C Major
note,7181,960,68:46,G#4,Ab4,0.0913,M3,117,4/4,C Major
note,7450,178,52:53,E3,E3,0.0913,P5,117,4/4,C Major
note,7804,860,59:61,B3,B3,0.1369,m7,117,4/4,C Major
note,8091,209,69:66,A4,A4,0.1826,m3,117,4/4,C Major
note,8096,169,66:63,F#4,Gb4,0.1369,M2,117,4/4,C Major
