type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,1:0,G Major,,,,,,
time_signature,0,0,1:4,1/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,0,359,71:80,B4,B4,0.2739,m2,120,1/4,G Major
note,360,59,72:80,C5,C5,0.3651,M2,120,1/4,G Major
note,420,59,74:80,D5,D5,0.3195,P5,120,1/4,G Major
time_signature,480,0,2:4,2/4,,,,,,
note,480,239,55:80,G3,G3,0.4108,M3,120,2/4,G Major
note,480,239,59:80,B3,B3,0.4108,m6,120,2/4,G Major
note,480,239,67:80,G4,G4,0.4108,P1,120,2/4,G Major
note,720,239,55:80,G3,G3,0.5477,M3,120,2/4,G Major
note,720,239,59:80,B3,B3,0.5477,m6,120,2/4,G Major
note,720,239,67:80,G4,G4,0.5477,P4,120,2/4,G Major
note,960,239,50:80,D3,D3,0.5934,m7,120,2/4,G Major
note,960,239,60:80,C4,C4,0.5934,M6,120,2/4,G Major
note,960,58,69:80,A4,A4,0.5934,M2,120,2/4,G Major
note,1019,58,71:80,B4,B4,0.4564,M2,120,2/4,G Major
note,1079,58,69:80,A4,A4,0.4108,M2,120,2/4,G Major
note,1140,59,67:80,G4,G4,0.3651,P4,120,2/4,G Major
note,1200,239,50:80,D3,D3,0.3195,m7,120,2/4,G Major
note,1200,239,60:80,C4,C4,0.3195,M6,120,2/4,G Major
note,1200,179,69:80,A4,A4,0.3195,M2,120,2/4,G Major
note,1380,59,71:80,B4,B4,0.1826,M3,120,2/4,G Major
note,1440,239,55:80,G3,G3,0.2282,M3,120,2/4,G Major
note,1440,239,59:80,B3,B3,0.2282,m6,120,2/4,G Major
note,1440,239,67:80,G4,G4,0.2282,P4,120,2/4,G Major
note,1920,239,72:80,C5,C5,0.3651,M3,120,2/4,G Major
note,1920,119,76:80,E5,E5,0.3651,M2,120,2/4,G Major
note,2040,59,78:80,F#5,Gb5,0.3195,m2,120,2/4,G Major
note,2100,59,79:80,G5,G5,0.3195,m6,120,2/4,G Major
note,2160,239,71:80,B4,B4,0.3651,m3,120,2/4,G Major
note,2160,78,74:80,D5,D5,0.3651,P4,120,2/4,G Major
note,2400,239,69:80,A4,A4,0.4108,m3,120,2/4,G Major
note,2400,119,72:80,C5,C5,0.4108,M2,120,2/4,G Major
note,2520,59,74:80,D5,D5,0.4108,M2,120,2/4,G Major
note,2580,59,76:80,E5,E5,0.4108,M6,120,2/4,G Major
note,2640,239,67:80,G4,G4,0.4564,M3,120,2/4,G Major
note,2640,78,71:80,B4,B4,0.4564,M7,120,2/4,G Major
note,2880,239,60:80,C4,C4,0.5021,M3,120,2/4,G Major
note,2880,479,64:80,E4,E4,0.5021,P4,120,2/4,G Major
note,2880,59,69:80,A4,A4,0.5021,M2,120,2/4,G Major
note,2940,59,71:80,B4,B4,0.3651,M2,120,2/4,G Major
note,3000,59,69:80,A4,A4,0.3195,M2,120,2/4,G Major
note,3060,59,71:80,B4,B4,0.2739,m7,120,2/4,G Major
note,3120,239,61:80,C#4,Db4,0.2739,d5,120,2/4,G Major
note,3120,239,67:80,G4,G4,0.2739,P4,120,2/4,G Major
note,3360,239,62:80,D4,D4,0.3195,M3,120,2/4,G Major
note,3360,239,66:80,F#4,Gb4,0.3195,m6,120,2/4,G Major
note,3360,239,74:80,D5,D5,0.3195,P1,120,2/4,G Major
