type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,0,119,72:49,C5,C5,0.0913,P4,120,4/4,C Major
note,480,119,67:49,G4,G4,0.0913,m3,120,4/4,C Major
note,960,119,64:49,E4,E4,0.1369,M3,120,4/4,C Major
note,1200,119,48:49,C3,C3,0.1369,P1,120,4/4,C Major
note,1440,119,36:49,C2,C2,0.1369,M6,120,4/4,C Major
note,1680,119,69:49,A4,A4,0.1369,P5,120,4/4,C Major
note,1920,119,62:49,D4,D4,0.1369,M2,120,4/4,C Major
note,2160,119,48:49,C3,C3,0.1369,P1,120,4/4,C Major
note,2400,119,36:49,C2,C2,0.1369,P5,120,4/4,C Major
note,2640,119,67:49,G4,G4,0.1369,P5,120,4/4,C Major
note,2880,119,60:49,C4,C4,0.1369,P1,120,4/4,C Major
note,3120,119,48:49,C3,C3,0.1369,P1,120,4/4,C Major
note,3360,119,36:49,C2,C2,0.1369,M3,120,4/4,C Major
note,3600,239,76:49,E5,E5,0.1369,M7,120,4/4,C Major
note,3840,119,65:49,F4,F4,0.1369,P4,120,4/4,C Major
note,4080,239,48:49,C3,C3,0.1369,P1,120,4/4,C Major
note,4320,119,36:49,C2,C2,0.1369,M2,120,4/4,C Major
note,4560,239,74:49,D5,D5,0.1369,m7,120,4/4,C Major
note,4800,119,64:49,E4,E4,0.1369,M3,120,4/4,C Major
note,5040,239,48:49,C3,C3,0.1369,P1,120,4/4,C Major
note,5280,119,36:49,C2,C2,0.1369,P1,120,4/4,C Major
note,5520,239,72:49,C5,C5,0.1826,m7,120,4/4,C Major
note,5760,239,62:49,D4,D4,0.2282,M2,120,4/4,C Major
note,6000,239,48:49,C3,C3,0.2282,M6,120,4/4,C Major
note,6000,239,69:49,A4,A4,0.2282,M6,120,4/4,C Major
note,6240,239,36:49,C2,C2,0.1826,M6,120,4/4,C Major
note,6240,239,57:49,A3,A3,0.1826,M2,120,4/4,C Major
note,6480,239,59:49,B3,B3,0.1826,m3,120,4/4,C Major
note,6720,239,62:49,D4,D4,0.1826,M2,120,4/4,C Major
note,6960,239,48:49,C3,C3,0.2282,P1,120,4/4,C Major
note,6960,239,60:49,C4,C4,0.2282,P1,120,4/4,C Major
note,7200,239,36:49,C2,C2,0.2282,M7,120,4/4,C Major
note,7440,239,59:49,B3,B3,0.3195,m3,120,4/4,C Major
note,7440,239,62:49,D4,D4,0.3195,P1,120,4/4,C Major
note,7680,239,62:49,D4,D4,0.2739,m3,120,4/4,C Major
note,7680,239,65:49,F4,F4,0.2739,P4,120,4/4,C Major
note,7920,239,48:49,C3,C3,0.2739,P1,120,4/4,C Major
note,7920,239,60:49,C4,C4,0.2739,M3,120,4/4,C Major
note,7920,239,64:49,E4,E4,0.2739,M3,120,4/4,C Major
note,8160,239,36:49,C2,C2,0.2282,M2,120,4/4,C Major
note,8400,239,62:49,D4,D4,0.3195,m3,120,4/4,C Major
