type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,545,354,30:51,F#1,Gb1,0.1021,P4,120,4/4,C Major
note,768,146,35:43,B1,B1,0.1531,m2,120,4/4,C Major
note,964,61,36:54,C2,C2,0.2552,m2,120,4/4,C Major
note,1092,45,37:42,C#2,Db2,0.3062,m2,120,4/4,C Major
note,1171,63,38:46,D2,D2,0.3062,m2,120,4/4,C Major
note,1262,39,39:37,D#2,Eb2,0.3062,m2,120,4/4,C Major
note,1316,40,40:53,E2,E2,0.3062,m2,120,4/4,C Major
note,1392,37,41:56,F2,F2,0.3062,m2,120,4/4,C Major
note,1469,34,42:57,F#2,Gb2,0.2552,m2,120,4/4,C Major
note,1533,42,43:57,G2,G2,0.2552,m2,120,4/4,C Major
note,1595,51,42:63,F#2,Gb2,0.2552,m2,120,4/4,C Major
note,1690,48,41:60,F2,F2,0.2552,m2,120,4/4,C Major
note,1771,53,40:54,E2,E2,0.3062,m2,120,4/4,C Major
note,1863,34,39:53,D#2,Eb2,0.3062,m2,120,4/4,C Major
note,1952,34,38:51,D2,D2,0.3062,m2,120,4/4,C Major
note,2015,33,37:49,C#2,Db2,0.2552,m2,120,4/4,C Major
note,2086,46,36:54,C2,C2,0.2552,m2,120,4/4,C Major
note,2154,49,35:59,B1,B1,0.2552,P4,120,4/4,C Major
note,2233,109,30:62,F#1,Gb1,0.2552,P4,120,4/4,C Major
note,2322,75,35:49,B1,B1,0.2552,m2,120,4/4,C Major
note,2427,61,36:59,C2,C2,0.3062,m2,120,4/4,C Major
note,2529,45,37:59,C#2,Db2,0.3062,m2,120,4/4,C Major
note,2611,55,38:56,D2,D2,0.3062,m2,120,4/4,C Major
note,2680,52,39:60,D#2,Eb2,0.3062,m2,120,4/4,C Major
note,2743,49,40:66,E2,E2,0.3062,m2,120,4/4,C Major
note,2810,66,41:73,F2,F2,0.2552,m2,120,4/4,C Major
note,2891,59,42:76,F#2,Gb2,0.2552,m2,120,4/4,C Major
note,2959,49,43:72,G2,G2,0.2552,m2,120,4/4,C Major
note,3045,50,42:63,F#2,Gb2,0.2041,m2,120,4/4,C Major
note,3125,60,41:64,F2,F2,0.2041,m2,120,4/4,C Major
note,3220,82,40:59,E2,E2,0.2552,m2,120,4/4,C Major
note,3331,41,39:49,D#2,Eb2,0.2552,m2,120,4/4,C Major
note,3431,36,38:50,D2,D2,0.2552,m2,120,4/4,C Major
note,3514,33,37:47,C#2,Db2,0.2041,m2,120,4/4,C Major
note,3588,40,36:49,C2,C2,0.2041,m2,120,4/4,C Major
note,3675,94,35:34,B1,B1,0.2041,P4,120,4/4,C Major
note,3777,529,30:56,F#1,Gb1,0.1531,P4,120,4/4,C Major
note,3911,368,35:64,B1,B1,0.1021,P5,120,4/4,C Major
note,4045,1728,54:88,F#3,Gb3,0.1021,d5,120,4/4,C Major
note,4342,45,36:20,C2,C2,0.3572,m2,120,4/4,C Major
note,4472,46,37:10,C#2,Db2,0.4082,m2,120,4/4,C Major
note,4528,44,38:39,D2,D2,0.3572,P1,120,4/4,C Major
note,4598,576,50:63,D3,D3,0.4082,m3,120,4/4,C Major
note,4605,536,47:59,B2,B2,0.3572,m6,120,4/4,C Major
note,4612,32,39:42,D#2,Eb2,0.3062,m2,120,4/4,C Major
note,4669,32,40:49,E2,E2,0.2552,m2,120,4/4,C Major
note,4753,41,41:50,F2,F2,0.2552,m2,120,4/4,C Major
note,4846,31,42:47,F#2,Gb2,0.2552,m2,120,4/4,C Major
note,4913,34,43:56,G2,G2,0.2552,m2,120,4/4,C Major
note,4974,53,42:54,F#2,Gb2,0.2552,m2,120,4/4,C Major
note,5081,33,41:38,F2,F2,0.3572,m2,120,4/4,C Major
note,5170,42,40:22,E2,E2,0.4082,m2,120,4/4,C Major
note,5242,31,39:45,D#2,Eb2,0.3572,m2,120,4/4,C Major
note,5330,33,38:44,D2,D2,0.4082,M6,120,4/4,C Major
note,5391,656,47:57,B2,B2,0.4082,m7,120,4/4,C Major
note,5403,29,37:51,C#2,Db2,0.3572,m2,120,4/4,C Major
note,5405,607,50:60,D3,D3,0.3062,M2,120,4/4,C Major
note,5488,34,36:38,C2,C2,0.3062,m2,120,4/4,C Major
