type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,2714,92,75:46,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,2743,71,63:46,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,3109,54,75:60,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,3117,66,63:54,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,3445,40,75:61,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,3451,73,63:59,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,3751,32,87:69,D#6,Eb6,0.1826,P1,117,4/4,C Major
note,3751,66,99:73,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,4041,70,99:78,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,4048,35,87:72,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,4364,69,99:77,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,4374,37,87:69,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,4638,63,75:61,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,4648,74,63:55,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,4957,39,75:64,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,4968,47,63:57,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,5260,39,75:61,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,5265,58,63:56,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,5548,70,99:69,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,5556,38,87:62,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,5863,70,99:71,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,5873,35,87:63,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,6228,56,99:69,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,6241,38,87:57,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,6568,60,75:42,D#5,Eb5,0.1826,P1,117,4/4,C Major
note,6575,74,63:41,D#4,Eb4,0.1369,P1,117,4/4,C Major
note,6883,57,99:51,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,6897,36,87:47,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,7256,45,99:57,D#7,Eb7,0.1826,P1,117,4/4,C Major
note,7268,30,87:51,D#6,Eb6,0.1369,P1,117,4/4,C Major
note,7617,63,63:39,D#4,Eb4,0.1826,P1,117,4/4,C Major
note,7620,50,75:35,D#5,Eb5,0.1369,P1,117,4/4,C Major
note,8010,46,99:56,D#7,Eb7,0.0913,P1,117,4/4,C Major
note,8027,30,87:45,D#6,Eb6,0.0456,P1,117,4/4,C Major
note,8566,45,99:55,D#7,Eb7,0.0913,P1,117,4/4,C Major
note,8578,30,87:45,D#6,Eb6,0.0456,P1,117,4/4,C Major
note,10042,47,75:57,D#5,Eb5,0.1369,P1,117,4/4,C Major
