type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,985,92,75:29,D#5,Eb5,0.1826,P1,120,4/4,C Major
note,1013,105,63:18,D#4,Eb4,0.1369,P1,120,4/4,C Major
note,1364,44,75:35,D#5,Eb5,0.1826,P1,120,4/4,C Major
note,1393,62,63:16,D#4,Eb4,0.1369,P1,120,4/4,C Major
note,1691,49,75:44,D#5,Eb5,0.1826,P1,120,4/4,C Major
note,1705,76,63:26,D#4,Eb4,0.1369,P1,120,4/4,C Major
note,1997,90,99:48,D#7,Eb7,0.1826,P1,120,4/4,C Major
note,2009,52,87:43,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,2289,50,99:51,D#7,Eb7,0.1826,P1,120,4/4,C Major
note,2309,35,87:42,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,2569,83,99:58,D#7,Eb7,0.1826,P1,120,4/4,C Major
note,2610,47,87:29,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,2889,41,63:32,D#4,Eb4,0.1826,P1,120,4/4,C Major
note,2893,48,75:31,D#5,Eb5,0.1369,P1,120,4/4,C Major
note,3211,46,75:41,D#5,Eb5,0.1826,P1,120,4/4,C Major
note,3224,47,63:35,D#4,Eb4,0.1369,P1,120,4/4,C Major
note,3508,40,75:44,D#5,Eb5,0.1826,P1,120,4/4,C Major
note,3523,54,63:26,D#4,Eb4,0.1369,P1,120,4/4,C Major
note,3800,91,99:46,D#7,Eb7,0.1826,P1,120,4/4,C Major
note,3823,62,87:33,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,4091,54,99:49,D#7,Eb7,0.1826,P1,120,4/4,C Major
note,4111,52,87:36,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,4381,43,87:46,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,4383,80,99:47,D#7,Eb7,0.0913,P1,120,4/4,C Major
note,4690,50,75:42,D#5,Eb5,0.1369,P1,120,4/4,C Major
note,5001,60,87:47,D#6,Eb6,0.1826,P1,120,4/4,C Major
note,5006,81,99:48,D#7,Eb7,0.1369,P1,120,4/4,C Major
note,5312,65,99:49,D#7,Eb7,0.1826,P1,120,4/4,C Major
note,5316,35,87:45,D#6,Eb6,0.1369,P1,120,4/4,C Major
note,5661,235,75:36,D#5,Eb5,0.1826,P1,120,4/4,C Major
note,5677,833,63:28,D#4,Eb4,0.1369,P1,120,4/4,C Major
note,6101,97,99:45,D#7,Eb7,0.0913,P1,120,4/4,C Major
note,6114,67,87:40,D#6,Eb6,0.0456,P1,120,4/4,C Major
note,6685,250,99:37,D#7,Eb7,0.0913,P1,120,4/4,C Major
note,6687,238,87:31,D#6,Eb6,0.0456,P1,120,4/4,C Major
note,8946,96,75:42,D#5,Eb5,0.1369,P1,120,4/4,C Major
note,9149,38,87:42,D#6,Eb6,0.1826,P1,120,4/4,C Major
