type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1134,30,75:34,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,1158,45,63:8,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,1337,37,75:42,D#5,Eb5,0.1531,P1,117,4/4,C Major
note,1352,27,63:48,D#4,Eb4,0.1021,P1,117,4/4,C Major
note,1556,27,75:62,D#5,Eb5,0.1531,P1,117,4/4,C Major
note,1754,36,99:60,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,1775,33,87:33,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,1957,37,99:66,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,1969,27,87:42,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,2160,21,99:76,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,2172,25,87:47,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,2354,38,75:52,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,2377,37,63:22,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,2557,50,75:52,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,2569,34,63:29,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,2767,25,75:62,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,2799,43,63:12,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,2975,41,99:68,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,2985,22,87:55,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,3191,48,99:74,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,3219,23,87:47,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,3428,28,99:78,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,3459,28,87:35,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,3661,21,75:52,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,3676,34,63:30,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,3886,36,99:68,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,3905,25,87:44,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,4170,25,99:67,D#7,Eb7,0.2041,P1,117,4/4,C Major
note,4181,24,87:44,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,4428,33,75:45,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,4443,35,63:24,D#4,Eb4,0.1531,P1,117,4/4,C Major
note,4685,53,99:62,D#7,Eb7,0.1531,P1,117,4/4,C Major
note,4720,29,87:33,D#6,Eb6,0.1531,P1,117,4/4,C Major
note,5067,52,99:57,D#7,Eb7,0.1021,P1,117,4/4,C Major
note,5090,30,87:26,D#6,Eb6,0.051,P1,117,4/4,C Major
note,6127,222,75:42,D#5,Eb5,0.2041,P1,117,4/4,C Major
note,6275,21,87:46,D#6,Eb6,0.2041,P1,117,4/4,C Major
note,6385,49,87:58,D#6,Eb6,0.2041,P1,117,4/4,C Major
note,6494,42,99:54,D#7,Eb7,0.2552,P1,117,4/4,C Major
note,6594,30,87:63,D#6,Eb6,0.3062,P1,117,4/4,C Major
note,6685,41,99:55,D#7,Eb7,0.3572,M2,117,4/4,C Major
note,6782,28,85:69,C#6,Db6,0.3572,M2,117,4/4,C Major
note,6875,18,99:58,D#7,Eb7,0.3572,P5,117,4/4,C Major
note,6893,44,56:48,G#3,Ab3,0.3062,P5,117,4/4,C Major
note,6959,37,63:41,D#4,Eb4,0.3062,m6,117,4/4,C Major
note,6989,22,71:60,B4,B4,0.2552,P1,117,4/4,C Major
note,6991,16,83:63,B5,B5,0.2041,M3,117,4/4,C Major
note,7086,17,99:65,D#7,Eb7,0.2552,M3,117,4/4,C Major
note,7200,17,83:61,B5,B5,0.4082,M3,117,4/4,C Major
note,7280,22,99:75,D#7,Eb7,0.3572,P4,117,4/4,C Major
note,7388,21,82:73,A#5,Bb5,0.3572,M7,117,4/4,C Major
note,7467,26,59:47,B3,B3,0.3572,M3,117,4/4,C Major
note,7473,22,99:81,D#7,Eb7,0.3062,P5,117,4/4,C Major
note,7519,32,68:49,G#4,Ab4,0.3062,P5,117,4/4,C Major
note,7577,19,75:64,D#5,Eb5,0.2552,P4,117,4/4,C Major
