type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1134,111,37:59,C#2,Db2,0.1531,P5,117,4/4,C Major
note,1180,53,44:94,G#2,Ab2,0.2041,P4,117,4/4,C Major
note,1202,19,49:109,C#3,Db3,0.1531,P4,117,4/4,C Major
note,1526,296,44:99,G#2,Ab2,0.1531,P4,117,4/4,C Major
note,1527,22,49:112,C#3,Db3,0.1021,P1,117,4/4,C Major
note,1854,51,37:96,C#2,Db2,0.1531,P5,117,4/4,C Major
note,2208,323,44:101,G#2,Ab2,0.1531,P4,117,4/4,C Major
note,2214,35,49:105,C#3,Db3,0.1021,P1,117,4/4,C Major
note,2564,50,37:91,C#2,Db2,0.1531,P1,117,4/4,C Major
note,2915,35,49:103,C#3,Db3,0.1531,P4,117,4/4,C Major
note,2918,313,44:96,G#2,Ab2,0.1021,P5,117,4/4,C Major
note,3256,58,37:94,C#2,Db2,0.1531,P5,117,4/4,C Major
note,3596,201,44:93,G#2,Ab2,0.3062,P4,117,4/4,C Major
note,3600,20,49:107,C#3,Db3,0.2552,P1,117,4/4,C Major
note,3804,152,37:75,C#2,Db2,0.2041,P5,117,4/4,C Major
note,3857,131,44:72,G#2,Ab2,0.1531,P4,117,4/4,C Major
note,3913,78,49:96,C#3,Db3,0.2552,P5,117,4/4,C Major
note,3930,22,56:119,G#3,Ab3,0.2041,P5,117,4/4,C Major
note,4271,134,49:95,C#3,Db3,0.2041,P4,117,4/4,C Major
note,4273,281,44:84,G#2,Ab2,0.1531,P1,117,4/4,C Major
note,4276,24,56:111,G#3,Ab3,0.1021,P5,117,4/4,C Major
note,4587,51,37:94,C#2,Db2,0.2041,P1,117,4/4,C Major
note,4934,131,49:86,C#3,Db3,0.2041,P5,117,4/4,C Major
note,4937,39,56:107,G#3,Ab3,0.1531,P1,117,4/4,C Major
note,4939,323,44:76,G#2,Ab2,0.1021,P5,117,4/4,C Major
note,5274,110,37:87,C#2,Db2,0.2041,P5,117,4/4,C Major
note,5620,41,56:104,G#3,Ab3,0.2041,P1,117,4/4,C Major
note,5627,340,44:74,G#2,Ab2,0.1531,P4,117,4/4,C Major
note,5627,135,49:86,C#3,Db3,0.1531,P1,117,4/4,C Major
note,5977,319,37:89,C#2,Db2,0.2041,P5,117,4/4,C Major
note,6277,36,44:80,G#2,Ab2,0.5103,P4,117,4/4,C Major
note,6281,48,49:87,C#3,Db3,0.4593,P5,117,4/4,C Major
note,6286,30,56:104,G#3,Ab3,0.4082,P5,117,4/4,C Major
note,6545,357,49:74,C#3,Db3,0.6634,P5,117,4/4,C Major
note,6588,146,56:69,G#3,Ab3,0.6124,P4,117,4/4,C Major
note,6608,106,61:99,C#4,Db4,0.5613,M3,117,4/4,C Major
note,6615,20,65:99,F4,F4,0.5103,m3,117,4/4,C Major
note,6616,38,68:89,G#4,Ab4,0.4593,M6,117,4/4,C Major
note,6619,17,77:94,F5,F5,0.4082,m7,117,4/4,C Major
note,6632,14,67:80,G4,G4,0.3572,d5,117,4/4,C Major
note,6914,31,61:97,C#4,Db4,0.4082,m6,117,4/4,C Major
note,6919,44,53:77,F3,F3,0.3572,P1,117,4/4,C Major
note,6920,21,65:105,F4,F4,0.3062,M6,117,4/4,C Major
note,6921,41,56:91,G#3,Ab3,0.2552,P4,117,4/4,C Major
note,6924,15,73:98,C#5,Db5,0.2041,M3,117,4/4,C Major
note,6926,16,77:95,F5,F5,0.1531,M3,117,4/4,C Major
note,7245,52,49:98,C#3,Db3,0.4082,P1,117,4/4,C Major
note,7248,34,37:82,C#2,Db2,0.3572,P1,117,4/4,C Major
note,7578,31,61:91,C#4,Db4,0.4082,M3,117,4/4,C Major
note,7581,23,65:104,F4,F4,0.3572,m6,117,4/4,C Major
note,7583,22,73:104,C#5,Db5,0.3062,P4,117,4/4,C Major
note,7584,38,56:84,G#3,Ab3,0.2552,M6,117,4/4,C Major
note,7584,18,77:93,F5,F5,0.2552,P1,117,4/4,C Major
note,7587,38,53:75,F3,F3,0.1531,M3,117,4/4,C Major
note,7906,50,49:101,C#3,Db3,0.4082,P1,117,4/4,C Major
note,7912,23,37:85,C#2,Db2,0.3572,P1,117,4/4,C Major
