type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512819,117,,,,,,
note,1918,54,39:61,D#2,Eb2,0.2282,m2,117,4/4,C Major
note,1945,58,40:77,E2,E2,0.1826,P1,117,4/4,C Major
note,2099,43,40:61,E2,E2,0.1826,P1,117,4/4,C Major
note,2228,38,40:65,E2,E2,0.1826,P1,117,4/4,C Major
note,2354,38,40:68,E2,E2,0.2282,P1,117,4/4,C Major
note,2487,49,40:65,E2,E2,0.2282,P1,117,4/4,C Major
note,2642,37,40:58,E2,E2,0.2282,m2,117,4/4,C Major
note,2776,43,39:70,D#2,Eb2,0.2739,m2,117,4/4,C Major
note,2778,46,40:68,E2,E2,0.2282,P1,117,4/4,C Major
note,2928,36,40:52,E2,E2,0.2282,P1,117,4/4,C Major
note,3076,43,40:63,E2,E2,0.2282,P1,117,4/4,C Major
note,3221,40,40:75,E2,E2,0.3195,m2,117,4/4,C Major
note,3233,37,39:70,D#2,Eb2,0.2739,m2,117,4/4,C Major
note,3370,42,40:55,E2,E2,0.3195,P1,117,4/4,C Major
note,3511,26,40:65,E2,E2,0.3651,d5,117,4/4,C Major
note,3647,40,46:80,A#2,Bb2,0.4108,m2,117,4/4,C Major
note,3651,53,47:81,B2,B2,0.3651,P5,117,4/4,C Major
note,3665,43,40:52,E2,E2,0.3195,P1,117,4/4,C Major
note,3814,26,40:58,E2,E2,0.3651,P5,117,4/4,C Major
note,3819,22,47:49,B2,B2,0.3195,P1,117,4/4,C Major
note,3926,62,47:62,B2,B2,0.3651,P5,117,4/4,C Major
note,3932,52,40:66,E2,E2,0.3195,P1,117,4/4,C Major
note,4087,34,40:61,E2,E2,0.4108,P5,117,4/4,C Major
note,4089,21,47:61,B2,B2,0.3651,P5,117,4/4,C Major
note,4211,36,40:63,E2,E2,0.4108,P5,117,4/4,C Major
note,4211,30,47:64,B2,B2,0.4108,P1,117,4/4,C Major
note,4335,29,47:52,B2,B2,0.4108,P5,117,4/4,C Major
note,4345,31,40:56,E2,E2,0.3651,P5,117,4/4,C Major
note,4466,47,47:65,B2,B2,0.4564,P5,117,4/4,C Major
note,4479,31,40:54,E2,E2,0.4108,d5,117,4/4,C Major
note,4480,40,46:64,A#2,Bb2,0.3651,d5,117,4/4,C Major
note,4612,28,40:57,E2,E2,0.4108,P5,117,4/4,C Major
note,4631,38,47:33,B2,B2,0.3651,P5,117,4/4,C Major
note,4746,40,40:60,E2,E2,0.4108,P5,117,4/4,C Major
note,4796,44,47:27,B2,B2,0.3651,P1,117,4/4,C Major
note,4897,49,47:73,B2,B2,0.5021,P5,117,4/4,C Major
note,4906,40,40:60,E2,E2,0.4564,d5,117,4/4,C Major
note,4915,40,46:69,A#2,Bb2,0.4108,m2,117,4/4,C Major
note,5046,41,47:56,B2,B2,0.5021,P5,117,4/4,C Major
note,5048,41,40:60,E2,E2,0.4564,P5,117,4/4,C Major
