type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1919,605,53:73,F3,F3,0.4108,P4,117,4/4,C Major
note,1924,652,48:71,C3,C3,0.3651,P5,117,4/4,C Major
note,1928,624,41:73,F2,F2,0.3195,M3,117,4/4,C Major
note,1940,634,45:69,A2,A2,0.2739,m3,117,4/4,C Major
note,2017,95,84:72,C6,C6,0.2739,m2,117,4/4,C Major
note,2111,87,83:76,B5,B5,0.3195,m2,117,4/4,C Major
note,2181,85,84:78,C6,C6,0.3195,P4,117,4/4,C Major
note,2257,122,89:80,F6,F6,0.3195,P4,117,4/4,C Major
note,2327,111,84:75,C6,C6,0.2739,M2,117,4/4,C Major
note,2423,72,82:80,A#5,Bb5,0.3195,m2,117,4/4,C Major
note,2500,104,81:74,A5,A5,0.2739,m2,117,4/4,C Major
note,2575,98,80:82,G#5,Ab5,0.2739,m2,117,4/4,C Major
note,2650,88,81:71,A5,A5,0.2739,m3,117,4/4,C Major
note,2726,123,84:85,C6,C6,0.2739,m3,117,4/4,C Major
note,2809,126,81:80,A5,A5,0.2739,M2,117,4/4,C Major
note,2895,93,79:87,G5,G5,0.2739,M2,117,4/4,C Major
note,2995,96,77:78,F5,F5,0.2739,m2,117,4/4,C Major
note,3077,88,76:81,E5,E5,0.2739,m2,117,4/4,C Major
note,3154,83,77:77,F5,F5,0.2739,M3,117,4/4,C Major
note,3233,118,81:82,A5,A5,0.2739,M3,117,4/4,C Major
note,3312,98,77:84,F5,F5,0.2739,m3,117,4/4,C Major
note,3395,83,74:88,D5,D5,0.2739,M2,117,4/4,C Major
note,3485,97,72:79,C5,C5,0.2739,m2,117,4/4,C Major
note,3565,86,71:81,B4,B4,0.2739,m2,117,4/4,C Major
note,3642,87,72:77,C5,C5,0.2739,P4,117,4/4,C Major
note,3725,126,77:86,F5,F5,0.2739,P4,117,4/4,C Major
note,3801,110,72:80,C5,C5,0.2739,M2,117,4/4,C Major
note,3906,75,70:85,A#4,Bb4,0.2739,m2,117,4/4,C Major
note,3991,90,69:76,A4,A4,0.3651,m2,117,4/4,C Major
note,4067,88,68:79,G#4,Ab4,0.3195,m2,117,4/4,C Major
note,4150,82,69:77,A4,A4,0.3651,m3,117,4/4,C Major
note,4225,105,72:80,C5,C5,0.3651,m3,117,4/4,C Major
note,4315,68,69:79,A4,A4,0.4108,M3,117,4/4,C Major
note,4402,41,65:75,F4,F4,0.4108,m6,117,4/4,C Major
note,4424,42,57:63,A3,A3,0.4564,m6,117,4/4,C Major
note,4471,49,77:80,F5,F5,0.4108,m7,117,4/4,C Major
note,4566,38,55:62,G3,G3,0.4564,M6,117,4/4,C Major
note,4567,26,64:61,E4,E4,0.4108,m2,117,4/4,C Major
note,4637,45,77:77,F5,F5,0.4108,m6,117,4/4,C Major
note,4710,41,57:69,A3,A3,0.4108,m6,117,4/4,C Major
