type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1919,58,75:68,D#5,Eb5,0.4108,m2,117,4/4,C Major
note,1982,308,76:74,E5,E5,0.5021,P1,117,4/4,C Major
note,1987,58,64:53,E4,E4,0.4564,M3,117,4/4,C Major
note,1998,46,60:41,C4,C4,0.4108,m3,117,4/4,C Major
note,2005,47,57:37,A3,A3,0.3651,m3,117,4/4,C Major
note,2199,69,60:46,C4,C4,0.4564,M3,117,4/4,C Major
note,2201,74,64:55,E4,E4,0.4108,P5,117,4/4,C Major
note,2205,59,57:41,A3,A3,0.3651,P5,117,4/4,C Major
note,2398,174,76:85,E5,E5,0.5477,P5,117,4/4,C Major
note,2423,49,57:44,A3,A3,0.5021,P5,117,4/4,C Major
note,2431,39,64:50,E4,E4,0.4564,M3,117,4/4,C Major
note,2436,44,60:43,C4,C4,0.4108,M3,117,4/4,C Major
note,2596,73,64:54,E4,E4,0.5021,M3,117,4/4,C Major
note,2599,71,60:52,C4,C4,0.4564,m3,117,4/4,C Major
note,2607,59,57:48,A3,A3,0.4108,P5,117,4/4,C Major
note,2692,28,76:77,E5,E5,0.3651,P1,117,4/4,C Major
note,2775,421,76:80,E5,E5,0.5021,P5,117,4/4,C Major
note,2806,43,57:41,A3,A3,0.4564,P5,117,4/4,C Major
note,2814,33,64:44,E4,E4,0.4108,M3,117,4/4,C Major
note,2830,47,60:32,C4,C4,0.3651,M3,117,4/4,C Major
note,2983,62,64:48,E4,E4,0.5021,M3,117,4/4,C Major
note,2985,58,60:55,C4,C4,0.4564,m3,117,4/4,C Major
note,2997,54,57:44,A3,A3,0.4108,m3,117,4/4,C Major
note,3186,266,72:80,C5,C5,0.639,m6,117,4/4,C Major
note,3193,45,64:60,E4,E4,0.5934,P5,117,4/4,C Major
note,3200,46,57:50,A3,A3,0.5477,m3,117,4/4,C Major
note,3200,49,60:53,C4,C4,0.5477,m3,117,4/4,C Major
note,3396,67,57:45,A3,A3,0.639,m3,117,4/4,C Major
note,3396,76,60:51,C4,C4,0.639,M3,117,4/4,C Major
note,3396,67,64:55,E4,E4,0.639,P4,117,4/4,C Major
note,3461,30,69:77,A4,A4,0.5021,P1,117,4/4,C Major
note,3574,78,69:78,A4,A4,0.6847,P4,117,4/4,C Major
note,3603,35,64:56,E4,E4,0.639,P4,117,4/4,C Major
note,3605,50,59:51,B3,B3,0.5934,m3,117,4/4,C Major
note,3613,34,62:45,D4,D4,0.5477,P4,117,4/4,C Major
note,3617,40,57:32,A3,A3,0.5021,M7,117,4/4,C Major
note,3662,166,68:68,G#4,Ab4,0.4564,d5,117,4/4,C Major
note,3786,56,62:49,D4,D4,0.5934,M2,117,4/4,C Major
note,3788,54,64:53,E4,E4,0.5477,P4,117,4/4,C Major
note,3792,59,59:43,B3,B3,0.5021,M2,117,4/4,C Major
note,3794,48,57:40,A3,A3,0.4564,M7,117,4/4,C Major
