type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,380,32,50:70,D3,D3,0.3062,P1,117,4/4,C Major
note,478,33,50:64,D3,D3,0.3062,P1,117,4/4,C Major
note,495,32,38:51,D2,D2,0.2552,P1,117,4/4,C Major
note,583,34,50:67,D3,D3,0.3062,P1,117,4/4,C Major
note,685,41,38:54,D2,D2,0.3062,P1,117,4/4,C Major
note,692,31,50:61,D3,D3,0.2552,P1,117,4/4,C Major
note,788,33,50:68,D3,D3,0.3062,P1,117,4/4,C Major
note,886,28,50:64,D3,D3,0.3062,P1,117,4/4,C Major
note,894,32,38:52,D2,D2,0.2552,P1,117,4/4,C Major
note,981,36,50:69,D3,D3,0.3062,P1,117,4/4,C Major
note,1079,32,50:56,D3,D3,0.3062,P1,117,4/4,C Major
note,1082,35,38:52,D2,D2,0.2552,P1,117,4/4,C Major
note,1176,34,50:70,D3,D3,0.3062,P1,117,4/4,C Major
note,1288,31,50:58,D3,D3,0.3062,P1,117,4/4,C Major
note,1295,32,38:47,D2,D2,0.2552,P1,117,4/4,C Major
note,1387,22,50:63,D3,D3,0.3062,P1,117,4/4,C Major
note,1491,34,38:45,D2,D2,0.3062,P1,117,4/4,C Major
note,1495,24,50:55,D3,D3,0.3062,P1,117,4/4,C Major
note,1584,34,50:69,D3,D3,0.3062,P1,117,4/4,C Major
note,1680,36,38:51,D2,D2,0.3062,P1,117,4/4,C Major
note,1692,26,50:52,D3,D3,0.2552,P1,117,4/4,C Major
note,1781,36,50:67,D3,D3,0.3062,P1,117,4/4,C Major
note,1879,39,38:49,D2,D2,0.3062,P1,117,4/4,C Major
note,1888,24,50:51,D3,D3,0.2552,P1,117,4/4,C Major
note,1981,37,50:68,D3,D3,0.3062,P1,117,4/4,C Major
note,2083,35,50:56,D3,D3,0.3062,P1,117,4/4,C Major
note,2089,40,38:56,D2,D2,0.2552,P1,117,4/4,C Major
note,2188,41,50:68,D3,D3,0.3062,P1,117,4/4,C Major
note,2297,36,38:54,D2,D2,0.3062,P1,117,4/4,C Major
note,2303,24,50:56,D3,D3,0.3062,P1,117,4/4,C Major
note,2395,31,50:65,D3,D3,0.3062,P1,117,4/4,C Major
note,2491,41,38:49,D2,D2,0.3062,P1,117,4/4,C Major
note,2499,28,50:52,D3,D3,0.3062,P1,117,4/4,C Major
note,2597,28,50:59,D3,D3,0.3062,P1,117,4/4,C Major
note,2686,40,38:53,D2,D2,0.3062,P1,117,4/4,C Major
note,2698,26,50:49,D3,D3,0.3572,P1,117,4/4,C Major
note,2794,24,50:60,D3,D3,0.3062,P1,117,4/4,C Major
note,2876,39,38:57,D2,D2,0.3062,P1,117,4/4,C Major
note,2887,25,50:52,D3,D3,0.3572,P1,117,4/4,C Major
note,2982,36,50:71,D3,D3,0.3062,P1,117,4/4,C Major
note,3074,38,38:55,D2,D2,0.3062,P1,117,4/4,C Major
note,3075,33,50:54,D3,D3,0.2552,P1,117,4/4,C Major
note,3180,36,50:69,D3,D3,0.3062,P1,117,4/4,C Major
note,3268,35,50:49,D3,D3,0.3572,P1,117,4/4,C Major
note,3269,42,38:52,D2,D2,0.3062,P1,117,4/4,C Major
note,3376,30,50:68,D3,D3,0.3572,P1,117,4/4,C Major
note,3474,38,38:46,D2,D2,0.4082,P1,117,4/4,C Major
note,3480,27,50:49,D3,D3,0.3572,M2,117,4/4,C Major
note,3579,35,52:77,E3,E3,0.4082,M3,117,4/4,C Major
note,3581,26,48:74,C3,C3,0.3572,M2,117,4/4,C Major
note,3669,41,50:62,D3,D3,0.4082,P1,117,4/4,C Major
note,3680,43,38:47,D2,D2,0.3572,M2,117,4/4,C Major
note,3793,33,52:65,E3,E3,0.4082,M3,117,4/4,C Major
note,3801,27,48:49,C3,C3,0.4082,M2,117,4/4,C Major
note,3877,46,50:59,D3,D3,0.4082,P1,117,4/4,C Major
note,3886,45,38:44,D2,D2,0.3572,m7,117,4/4,C Major
note,3994,26,48:53,C3,C3,0.4082,M3,117,4/4,C Major
note,4003,25,52:56,E3,E3,0.4593,M2,117,4/4,C Major
note,4085,44,50:56,D3,D3,0.4082,P1,117,4/4,C Major
note,4088,46,38:51,D2,D2,0.3572,m7,117,4/4,C Major
