type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,2:0,D Major,,,,,,
time_signature,0,0,3:4,3/4,,,,,,
tempo,0,0,1200000,50,,,,,,
note,0,159,38:33,D2,D2,0.1826,P5,50,3/4,D Major
note,160,159,57:33,A3,A3,0.1826,P4,50,3/4,D Major
note,320,159,62:33,D4,D4,0.1826,P5,50,3/4,D Major
note,480,159,69:33,A4,A4,0.1826,P5,50,3/4,D Major
note,640,159,62:33,D4,D4,0.1826,P4,50,3/4,D Major
note,800,159,57:33,A3,A3,0.1826,m3,50,3/4,D Major
note,960,159,54:33,F#3,Gb3,0.1826,M6,50,3/4,D Major
note,1120,159,45:33,A2,A2,0.1826,P4,50,3/4,D Major
note,1280,151,62:33,D4,D4,0.1826,P1,50,3/4,D Major
note,1440,159,38:33,D2,D2,0.1826,P5,50,3/4,D Major
note,1600,159,57:33,A3,A3,0.1826,P4,50,3/4,D Major
note,1760,159,62:33,D4,D4,0.1826,P5,50,3/4,D Major
note,1920,159,69:33,A4,A4,0.1826,P5,50,3/4,D Major
note,2080,159,62:33,D4,D4,0.1826,P4,50,3/4,D Major
note,2240,159,57:33,A3,A3,0.1826,m3,50,3/4,D Major
note,2400,159,54:33,F#3,Gb3,0.1826,M6,50,3/4,D Major
note,2560,159,45:33,A2,A2,0.1826,P4,50,3/4,D Major
note,2720,151,62:33,D4,D4,0.1826,M3,50,3/4,D Major
note,2880,959,66:59,F#4,Gb4,0.1826,M3,50,3/4,D Major
note,3040,159,38:33,D2,D2,0.1826,P5,50,3/4,D Major
note,3200,159,57:33,A3,A3,0.1826,P1,50,3/4,D Major
note,3360,159,69:33,A4,A4,0.1826,P5,50,3/4,D Major
note,3520,159,62:33,D4,D4,0.2739,P4,50,3/4,D Major
note,3680,151,57:33,A3,A3,0.2739,P5,50,3/4,D Major
note,3840,479,64:59,E4,E4,0.2739,m3,50,3/4,D Major
note,4000,159,61:33,C#4,Db4,0.2739,d5,50,3/4,D Major
note,4000,159,67:33,G4,G4,0.2739,M2,50,3/4,D Major
note,4000,159,69:33,A4,A4,0.2739,P1,50,3/4,D Major
note,4160,151,57:33,A3,A3,0.1826,M6,50,3/4,D Major
note,4320,911,66:59,F#4,Gb4,0.1826,M3,50,3/4,D Major
note,4480,159,50:33,D3,D3,0.1826,P5,50,3/4,D Major
note,4640,159,57:33,A3,A3,0.1826,P1,50,3/4,D Major
note,4800,159,69:33,A4,A4,0.1826,P5,50,3/4,D Major
note,4960,159,62:33,D4,D4,0.2282,P4,50,3/4,D Major
note,5120,151,57:33,A3,A3,0.2282,M2,50,3/4,D Major
note,5280,479,59:59,B3,B3,0.2282,m3,50,3/4,D Major
note,5440,159,62:33,D4,D4,0.2282,P5,50,3/4,D Major
note,5440,159,69:33,A4,A4,0.2282,P1,50,3/4,D Major
note,5600,151,57:33,A3,A3,0.1826,M3,50,3/4,D Major
note,5760,959,61:59,C#4,Db4,0.2282,M7,50,3/4,D Major
note,5920,159,38:33,D2,D2,0.2282,P5,50,3/4,D Major
note,6080,159,57:33,A3,A3,0.2282,m7,50,3/4,D Major
note,6240,159,67:33,G4,G4,0.2282,M2,50,3/4,D Major
note,6240,159,69:33,A4,A4,0.2282,P5,50,3/4,D Major
note,6400,159,62:33,D4,D4,0.2282,P4,50,3/4,D Major
note,6560,151,57:33,A3,A3,0.2739,P4,50,3/4,D Major
note,6720,239,62:59,D4,D4,0.3195,m3,50,3/4,D Major
note,6880,159,59:33,B3,B3,0.3195,m7,50,3/4,D Major
note,6880,159,69:33,A4,A4,0.3195,m6,50,3/4,D Major
note,6960,119,61:59,C#4,Db4,0.2282,M3,50,3/4,D Major
note,7040,151,57:33,A3,A3,0.2282,P4,50,3/4,D Major
note,7080,119,62:59,D4,D4,0.1826,M2,50,3/4,D Major
note,7200,959,64:59,E4,E4,0.2282,M2,50,3/4,D Major
note,7360,159,50:33,D3,D3,0.2282,P5,50,3/4,D Major
note,7520,159,57:33,A3,A3,0.2282,m7,50,3/4,D Major
note,7680,159,67:33,G4,G4,0.2282,M2,50,3/4,D Major
note,7680,159,69:33,A4,A4,0.2282,P5,50,3/4,D Major
note,7840,159,62:33,D4,D4,0.1826,P4,50,3/4,D Major
note,8000,151,57:33,A3,A3,0.2739,M6,50,3/4,D Major
note,8160,479,66:59,F#4,Gb4,0.3195,d5,50,3/4,D Major
note,8320,159,60:54,C4,C4,0.3195,M6,50,3/4,D Major
note,8361,117,69:54,A4,A4,0.2739,P4,50,3/4,D Major
note,8404,75,74:54,D5,D5,0.2282,P1,50,3/4,D Major
note,8480,151,50:75,D3,D3,0.2282,M6,50,3/4,D Major
note,8640,239,59:96,B3,B3,0.2282,m6,50,3/4,D Major
note,8640,959,67:127,G4,G4,0.2282,P4,50,3/4,D Major
note,8800,151,38:96,D2,D2,0.1826,M6,50,3/4,D Major
