type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,397,302,80:37,G#5,Ab5,0.2041,m3,117,4/4,C Major
note,411,273,77:33,F5,F5,0.1531,M3,117,4/4,C Major
note,415,288,73:22,C#5,Db5,0.1021,m6,117,4/4,C Major
note,656,100,81:40,A5,A5,0.3572,m2,117,4/4,C Major
note,810,47,80:41,G#5,Ab5,0.4082,P5,117,4/4,C Major
note,811,57,73:28,C#5,Db5,0.3572,M3,117,4/4,C Major
note,814,42,77:33,F5,F5,0.3062,M3,117,4/4,C Major
note,939,62,73:15,C#5,Db5,0.4082,M3,117,4/4,C Major
note,950,42,77:21,F5,F5,0.3572,M3,117,4/4,C Major
note,1031,47,81:50,A5,A5,0.4082,M3,117,4/4,C Major
note,1126,81,77:19,F5,F5,0.4593,M3,117,4/4,C Major
note,1132,80,73:30,C#5,Db5,0.4082,M3,117,4/4,C Major
note,1222,54,77:34,F5,F5,0.5103,M3,117,4/4,C Major
note,1231,43,73:27,C#5,Db5,0.4593,m6,117,4/4,C Major
note,1321,41,81:51,A5,A5,0.5103,m6,117,4/4,C Major
note,1407,39,73:26,C#5,Db5,0.5103,P5,117,4/4,C Major
note,1412,72,80:52,G#5,Ab5,0.4593,m3,117,4/4,C Major
note,1422,34,77:29,F5,F5,0.4082,M3,117,4/4,C Major
note,1482,50,81:46,A5,A5,0.5103,m6,117,4/4,C Major
note,1555,36,73:42,C#5,Db5,0.4593,M3,117,4/4,C Major
note,1558,31,77:45,F5,F5,0.4082,m3,117,4/4,C Major
note,1570,48,80:38,G#5,Ab5,0.4593,m3,117,4/4,C Major
note,1688,38,77:29,F5,F5,0.5103,M3,117,4/4,C Major
note,1689,49,73:13,C#5,Db5,0.4593,m6,117,4/4,C Major
note,1762,47,81:53,A5,A5,0.5613,M3,117,4/4,C Major
note,1830,37,77:36,F5,F5,0.5103,M3,117,4/4,C Major
note,1831,27,73:48,C#5,Db5,0.4593,P5,117,4/4,C Major
note,1857,75,80:26,G#5,Ab5,0.4593,P1,117,4/4,C Major
note,1947,93,80:42,G#5,Ab5,0.5613,P5,117,4/4,C Major
note,1951,44,73:33,C#5,Db5,0.5103,M3,117,4/4,C Major
note,1956,40,77:28,F5,F5,0.4593,M3,117,4/4,C Major
note,2032,37,81:55,A5,A5,0.4593,m6,117,4/4,C Major
note,2118,31,73:46,C#5,Db5,0.4593,M3,117,4/4,C Major
note,2125,37,77:38,F5,F5,0.4082,m3,117,4/4,C Major
note,2126,75,80:46,G#5,Ab5,0.3572,m2,117,4/4,C Major
note,2218,41,81:36,A5,A5,0.4593,M3,117,4/4,C Major
note,2266,38,77:45,F5,F5,0.4082,M3,117,4/4,C Major
note,2269,40,73:40,C#5,Db5,0.4082,P5,117,4/4,C Major
note,2277,40,80:47,G#5,Ab5,0.4082,m3,117,4/4,C Major
note,2378,31,77:52,F5,F5,0.4082,M3,117,4/4,C Major
note,2489,37,81:34,A5,A5,0.5103,M3,117,4/4,C Major
note,2527,37,77:48,F5,F5,0.5103,M3,117,4/4,C Major
note,2529,31,73:43,C#5,Db5,0.4593,P5,117,4/4,C Major
note,2539,31,80:47,G#5,Ab5,0.4082,P1,117,4/4,C Major
note,2652,59,80:47,G#5,Ab5,0.5103,m3,117,4/4,C Major
note,2656,39,77:39,F5,F5,0.4593,M3,117,4/4,C Major
note,2727,49,81:51,A5,A5,0.5103,m6,117,4/4,C Major
note,2820,36,73:37,C#5,Db5,0.5103,M3,117,4/4,C Major
note,2830,34,77:34,F5,F5,0.4593,m3,117,4/4,C Major
note,2832,55,80:39,G#5,Ab5,0.4082,m2,117,4/4,C Major
note,2903,41,81:46,A5,A5,0.5103,m6,117,4/4,C Major
note,2966,31,73:49,C#5,Db5,0.5103,M3,117,4/4,C Major
note,2970,38,77:43,F5,F5,0.5103,m3,117,4/4,C Major
note,2990,36,80:32,G#5,Ab5,0.4593,P5,117,4/4,C Major
note,3074,24,73:46,C#5,Db5,0.4593,P5,117,4/4,C Major
note,3077,56,80:47,G#5,Ab5,0.4082,m2,117,4/4,C Major
note,3197,35,81:37,A5,A5,0.5103,M3,117,4/4,C Major
