type,tick_offset,tick_length,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1140,181,80:26,G#5,Ab5,0.2041,m3,117,4/4,C Major
note,1146,177,77:24,F5,F5,0.1531,M3,117,4/4,C Major
note,1285,83,81:43,A5,A5,0.1531,m6,117,4/4,C Major
note,1464,152,73:12,C#5,Db5,0.3572,m6,117,4/4,C Major
note,1643,35,81:25,A5,A5,0.4593,m6,117,4/4,C Major
note,1711,48,73:21,C#5,Db5,0.4593,M3,117,4/4,C Major
note,1711,31,77:34,F5,F5,0.4593,M3,117,4/4,C Major
note,1759,141,73:8,C#5,Db5,0.3572,P5,117,4/4,C Major
note,1789,58,80:35,G#5,Ab5,0.4593,m3,117,4/4,C Major
note,1803,42,77:37,F5,F5,0.4082,M3,117,4/4,C Major
note,1909,47,81:23,A5,A5,0.4593,M3,117,4/4,C Major
note,1965,40,77:49,F5,F5,0.4593,M3,117,4/4,C Major
note,1978,71,73:22,C#5,Db5,0.4082,m6,117,4/4,C Major
note,2063,52,81:46,A5,A5,0.4082,m2,117,4/4,C Major
note,2146,31,80:41,G#5,Ab5,0.4082,m3,117,4/4,C Major
note,2148,31,77:42,F5,F5,0.3572,M3,117,4/4,C Major
note,2168,215,73:30,C#5,Db5,0.3062,M3,117,4/4,C Major
note,2270,34,77:32,F5,F5,0.3062,m3,117,4/4,C Major
note,2272,41,80:30,G#5,Ab5,0.2552,m2,117,4/4,C Major
note,2323,43,81:56,A5,A5,0.3572,M3,117,4/4,C Major
note,2400,23,77:49,F5,F5,0.3572,P1,117,4/4,C Major
note,2507,33,77:51,F5,F5,0.4593,M3,117,4/4,C Major
note,2578,43,81:52,A5,A5,0.5103,M3,117,4/4,C Major
note,2674,40,77:34,F5,F5,0.5103,M3,117,4/4,C Major
note,2681,66,73:28,C#5,Db5,0.4593,P5,117,4/4,C Major
note,2696,47,80:27,G#5,Ab5,0.4082,m2,117,4/4,C Major
note,2761,35,81:44,A5,A5,0.5103,M3,117,4/4,C Major
note,2841,31,77:38,F5,F5,0.6124,m3,117,4/4,C Major
note,2844,27,80:46,G#5,Ab5,0.5613,P5,117,4/4,C Major
note,2849,191,73:16,C#5,Db5,0.5103,M3,117,4/4,C Major
note,2948,33,77:48,F5,F5,0.5103,m3,117,4/4,C Major
note,2955,43,80:39,G#5,Ab5,0.4593,m2,117,4/4,C Major
note,3014,42,81:51,A5,A5,0.5613,M3,117,4/4,C Major
note,3090,29,77:43,F5,F5,0.5613,M3,117,4/4,C Major
note,3094,57,73:26,C#5,Db5,0.5103,P5,117,4/4,C Major
note,3111,85,80:20,G#5,Ab5,0.4593,P5,117,4/4,C Major
note,3151,138,73:8,C#5,Db5,0.4593,M3,117,4/4,C Major
note,3193,41,77:48,F5,F5,0.4082,m3,117,4/4,C Major
note,3196,80,80:5,G#5,Ab5,0.3572,m2,117,4/4,C Major
note,3272,34,81:44,A5,A5,0.3572,m6,117,4/4,C Major
note,3360,45,73:19,C#5,Db5,0.3572,M3,117,4/4,C Major
note,3366,34,77:30,F5,F5,0.4082,m3,117,4/4,C Major
note,3372,58,80:9,G#5,Ab5,0.3572,m2,117,4/4,C Major
note,3425,45,81:43,A5,A5,0.3572,M3,117,4/4,C Major
note,3510,30,77:43,F5,F5,0.4082,P1,117,4/4,C Major
note,3607,35,77:44,F5,F5,0.4082,M3,117,4/4,C Major
note,3680,35,81:52,A5,A5,0.5103,M3,117,4/4,C Major
note,3747,24,77:48,F5,F5,0.5103,M3,117,4/4,C Major
note,3750,200,73:12,C#5,Db5,0.4593,P5,117,4/4,C Major
note,3759,46,80:29,G#5,Ab5,0.4082,m3,117,4/4,C Major
note,3865,28,77:52,F5,F5,0.5103,m3,117,4/4,C Major
note,3866,67,80:25,G#5,Ab5,0.4593,m2,117,4/4,C Major
note,3947,33,81:38,A5,A5,0.5103,M3,117,4/4,C Major
note,4013,32,77:46,F5,F5,0.5103,M3,117,4/4,C Major
note,4015,81,73:30,C#5,Db5,0.4593,P5,117,4/4,C Major
note,4021,51,80:29,G#5,Ab5,0.4082,m2,117,4/4,C Major
note,4108,49,81:32,A5,A5,0.5103,m6,117,4/4,C Major
