type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,390,200,54:28,F#3,Gb3,0.2041,m7,117,4/4,C Major
note,426,916,88:45,E6,E6,0.1531,P5,117,4/4,C Major
note,431,181,81:33,A5,A5,0.1021,m6,117,4/4,C Major
note,730,79,61:26,C#4,Db4,0.2041,m3,117,4/4,C Major
note,855,41,64:36,E4,E4,0.2041,P4,117,4/4,C Major
note,959,27,69:41,A4,A4,0.3572,M3,117,4/4,C Major
note,1082,41,73:39,C#5,Db5,0.3572,m3,117,4/4,C Major
note,1144,59,76:46,E5,E5,0.3572,P4,117,4/4,C Major
note,1243,47,81:54,A5,A5,0.3572,M3,117,4/4,C Major
note,1299,942,85:64,C#6,Db6,0.3062,P4,117,4/4,C Major
note,1332,110,80:38,G#5,Ab5,0.3062,M3,117,4/4,C Major
note,1338,67,76:34,E5,E5,0.2552,m3,117,4/4,C Major
note,1424,26,73:51,C#5,Db5,0.2552,M3,117,4/4,C Major
note,1525,27,69:50,A4,A4,0.2552,P4,117,4/4,C Major
note,1615,32,64:35,E4,E4,0.2552,m3,117,4/4,C Major
note,1693,47,61:43,C#4,Db4,0.2552,P5,117,4/4,C Major
note,1797,40,54:25,F#3,Gb3,0.3572,P5,117,4/4,C Major
note,1871,40,61:37,C#4,Db4,0.3572,m3,117,4/4,C Major
note,1960,43,64:14,E4,E4,0.3572,P4,117,4/4,C Major
note,2020,39,69:38,A4,A4,0.3572,P4,117,4/4,C Major
note,2092,43,64:43,E4,E4,0.3572,M3,117,4/4,C Major
note,2112,412,80:51,G#5,Ab5,0.3572,P5,117,4/4,C Major
note,2146,113,73:33,C#5,Db5,0.3572,P1,117,4/4,C Major
note,2197,48,61:45,C#4,Db4,0.3572,P5,117,4/4,C Major
note,2290,40,54:28,F#3,Gb3,0.3572,P5,117,4/4,C Major
note,2375,49,61:22,C#4,Db4,0.3572,m3,117,4/4,C Major
note,2444,45,64:13,E4,E4,0.4082,M2,117,4/4,C Major
note,2488,51,78:55,F#5,Gb5,0.4082,M2,117,4/4,C Major
note,2501,36,76:32,E5,E5,0.3572,P5,117,4/4,C Major
note,2533,43,69:14,A4,A4,0.3572,P4,117,4/4,C Major
note,2586,42,64:41,E4,E4,0.3572,m3,117,4/4,C Major
note,2685,45,61:47,C#4,Db4,0.3572,P5,117,4/4,C Major
note,2783,39,54:32,F#3,Gb3,0.3572,m7,117,4/4,C Major
note,2828,641,88:63,E6,E6,0.3062,P5,117,4/4,C Major
note,2847,44,81:52,A5,A5,0.2552,m6,117,4/4,C Major
note,2909,46,61:16,C#4,Db4,0.2552,m3,117,4/4,C Major
note,2969,35,64:31,E4,E4,0.2552,P4,117,4/4,C Major
note,3052,30,69:36,A4,A4,0.3062,M3,117,4/4,C Major
note,3148,47,73:45,C#5,Db5,0.3572,m3,117,4/4,C Major
note,3236,34,76:25,E5,E5,0.3572,P4,117,4/4,C Major
note,3301,31,81:51,A5,A5,0.3062,P4,117,4/4,C Major
note,3378,58,76:29,E5,E5,0.3062,M6,117,4/4,C Major
note,3428,839,85:67,C#6,Db6,0.2552,P4,117,4/4,C Major
note,3448,209,80:43,G#5,Ab5,0.2552,P5,117,4/4,C Major
note,3475,27,73:50,C#5,Db5,0.2041,M3,117,4/4,C Major
note,3584,26,69:43,A4,A4,0.2041,m6,117,4/4,C Major
note,3743,44,61:44,C#4,Db4,0.2552,P5,117,4/4,C Major
note,3825,38,54:35,F#3,Gb3,0.3572,P5,117,4/4,C Major
note,3910,36,61:26,C#4,Db4,0.3572,m3,117,4/4,C Major
note,3991,42,64:26,E4,E4,0.3572,P4,117,4/4,C Major
note,4068,33,69:36,A4,A4,0.3572,P4,117,4/4,C Major
note,4132,57,64:44,E4,E4,0.4593,M3,117,4/4,C Major
note,4170,377,80:50,G#5,Ab5,0.4082,P5,117,4/4,C Major
note,4193,76,73:33,C#5,Db5,0.4082,P1,117,4/4,C Major
note,4243,46,61:41,C#4,Db4,0.4082,P5,117,4/4,C Major
note,4337,41,54:24,F#3,Gb3,0.4082,P5,117,4/4,C Major
note,4414,45,61:18,C#4,Db4,0.4082,m3,117,4/4,C Major
