type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1128,5868,79:86,G5,G5,0.2041,P1,117,4/4,C Major
note,1131,6086,67:85,G4,G4,0.1531,P1,117,4/4,C Major
note,1134,6026,31:80,G1,G1,0.1021,P1,117,4/4,C Major
note,1136,6075,43:84,G2,G2,0.051,M3,117,4/4,C Major
note,8842,437,71:40,B4,B4,0.051,m2,117,4/4,C Major
note,9246,162,72:48,C5,C5,0.1021,M2,117,4/4,C Major
note,9405,195,74:50,D5,D5,0.051,P1,117,4/4,C Major
note,9965,167,74:56,D5,D5,0.051,P1,117,4/4,C Major
note,10522,623,74:58,D5,D5,0.051,M2,117,4/4,C Major
note,11092,519,72:60,C5,C5,0.051,M2,117,4/4,C Major
note,11551,247,74:64,D5,D5,0.1021,m2,117,4/4,C Major
note,11730,1023,75:69,D#5,Eb5,0.051,m2,117,4/4,C Major
note,12681,361,74:53,D5,D5,0.1021,M2,117,4/4,C Major
note,12986,577,72:46,C5,C5,0.051,M2,117,4/4,C Major
note,13531,497,74:53,D5,D5,0.051,M2,117,4/4,C Major
note,13966,173,72:50,C5,C5,0.1021,m2,117,4/4,C Major
note,14110,597,71:50,B4,B4,0.051,M2,117,4/4,C Major
note,14684,537,69:48,A4,A4,0.051,M2,117,4/4,C Major
note,15165,149,71:48,B4,B4,0.1021,m2,117,4/4,C Major
note,15301,561,72:52,C5,C5,0.051,M2,117,4/4,C Major
note,15864,476,74:58,D5,D5,0.051,m2,117,4/4,C Major
note,16309,135,75:46,D#5,Eb5,0.1021,m2,117,4/4,C Major
note,16463,1142,74:53,D5,D5,0.051,P5,117,4/4,C Major
note,18169,202,67:44,G4,G4,0.2041,M3,117,4/4,C Major
note,18170,184,71:47,B4,B4,0.1531,M6,117,4/4,C Major
note,18177,180,62:32,D4,D4,0.1021,P5,117,4/4,C Major
note,18184,176,55:26,G3,G3,0.051,P1,117,4/4,C Major
note,18571,43,67:44,G4,G4,0.4082,P4,117,4/4,C Major
note,18572,67,72:63,C5,C5,0.3572,P4,117,4/4,C Major
note,18584,47,55:44,G3,G3,0.3062,m6,117,4/4,C Major
note,18585,26,63:44,D#4,Eb4,0.2552,M7,117,4/4,C Major
note,18731,92,74:68,D5,D5,0.2041,M6,117,4/4,C Major
note,18739,66,65:55,F4,F4,0.1531,M2,117,4/4,C Major
note,18741,90,67:53,G4,G4,0.1021,P1,117,4/4,C Major
note,18745,114,55:39,G3,G3,0.051,P5,117,4/4,C Major
note,19284,137,74:68,D5,D5,0.2041,P5,117,4/4,C Major
note,19295,114,67:52,G4,G4,0.1531,M2,117,4/4,C Major
note,19298,108,65:51,F4,F4,0.1021,m7,117,4/4,C Major
note,19302,86,55:42,G3,G3,0.051,P5,117,4/4,C Major
note,19841,132,74:70,D5,D5,0.2041,P5,117,4/4,C Major
note,19847,151,67:60,G4,G4,0.1531,P1,117,4/4,C Major
note,19849,94,55:44,G3,G3,0.1021,m7,117,4/4,C Major
note,19853,88,65:55,F4,F4,0.051,P5,117,4/4,C Major
note,20396,163,72:69,C5,C5,0.2041,P4,117,4/4,C Major
note,20401,126,55:48,G3,G3,0.1531,P1,117,4/4,C Major
note,20402,134,67:66,G4,G4,0.1021,M3,117,4/4,C Major
note,20411,104,63:51,D#4,Eb4,0.051,m6,117,4/4,C Major
note,20822,45,55:49,G3,G3,0.3572,P5,117,4/4,C Major
note,20824,67,74:74,D5,D5,0.3062,P5,117,4/4,C Major
note,20828,55,67:64,G4,G4,0.2552,M2,117,4/4,C Major
note,20829,30,65:58,F4,F4,0.2041,M2,117,4/4,C Major
note,21002,914,67:65,G4,G4,0.1531,P1,117,4/4,C Major
note,21004,623,55:48,G3,G3,0.1021,m6,117,4/4,C Major
note,21004,871,75:73,D#5,Eb5,0.1021,d5,117,4/4,C Major
note,21589,481,57:51,A3,A3,0.051,P4,117,4/4,C Major
note,22008,84,74:71,D5,D5,0.4082,P5,117,4/4,C Major
note,22010,74,67:55,G4,G4,0.3572,M2,117,4/4,C Major
note,22015,40,65:55,F4,F4,0.3062,d5,117,4/4,C Major
note,22023,208,59:44,B3,B3,0.2552,m2,117,4/4,C Major
