type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,-4:0,Ab Major,,,,,,
time_signature,0,0,2:4,2/4,,,,,,
tempo,0,0,625000,96,,,,,,
note,0,119,53:49,F3,F3,0.1826,P5,96,2/4,Ab Major
note,240,119,60:49,C4,C4,0.2282,P4,96,2/4,Ab Major
note,240,119,65:49,F4,F4,0.2282,P1,96,2/4,Ab Major
note,480,119,53:49,F3,F3,0.1826,P5,96,2/4,Ab Major
note,720,119,60:49,C4,C4,0.2282,P4,96,2/4,Ab Major
note,720,119,65:49,F4,F4,0.2282,P1,96,2/4,Ab Major
note,960,119,53:49,F3,F3,0.1826,P5,96,2/4,Ab Major
note,1200,119,60:49,C4,C4,0.2282,P4,96,2/4,Ab Major
note,1200,119,65:49,F4,F4,0.2282,P1,96,2/4,Ab Major
note,1440,119,53:49,F3,F3,0.2739,P5,96,2/4,Ab Major
note,1680,119,60:49,C4,C4,0.3651,P4,96,2/4,Ab Major
note,1680,119,65:49,F4,F4,0.3651,P4,96,2/4,Ab Major
note,1860,59,70:49,Bb4,Bb4,0.3195,P4,96,2/4,Ab Major
note,1920,119,53:49,F3,F3,0.3651,m3,96,2/4,Ab Major
note,1920,119,68:49,Ab4,Ab4,0.3651,m6,96,2/4,Ab Major
note,2160,119,60:49,C4,C4,0.4108,P4,96,2/4,Ab Major
note,2160,119,65:49,F4,F4,0.4108,m3,96,2/4,Ab Major
note,2160,119,68:49,Ab4,Ab4,0.4108,M2,96,2/4,Ab Major
note,2280,119,70:49,Bb4,Bb4,0.3195,P4,96,2/4,Ab Major
note,2400,119,53:49,F3,F3,0.4564,m3,96,2/4,Ab Major
note,2400,119,68:49,Ab4,Ab4,0.4564,m6,96,2/4,Ab Major
note,2640,119,60:49,C4,C4,0.4564,M3,96,2/4,Ab Major
note,2640,119,64:49,E4,E4,0.4564,m3,96,2/4,Ab Major
note,2640,119,67:49,G4,G4,0.4564,m2,96,2/4,Ab Major
note,2760,59,68:49,Ab4,Ab4,0.3651,M2,96,2/4,Ab Major
note,2820,59,70:49,Bb4,Bb4,0.3651,P4,96,2/4,Ab Major
note,2880,119,53:49,F3,F3,0.4564,m3,96,2/4,Ab Major
note,2880,360,68:58,Ab4,Ab4,0.4564,M3,96,2/4,Ab Major
note,2880,479,72:58,C5,C5,0.4564,P1,96,2/4,Ab Major
note,3120,119,60:49,C4,C4,0.4108,P4,96,2/4,Ab Major
note,3120,119,65:49,F4,F4,0.4108,m3,96,2/4,Ab Major
note,3240,119,68:49,Ab4,Ab4,0.3195,M2,96,2/4,Ab Major
note,3300,59,70:49,Bb4,Bb4,0.3195,P4,96,2/4,Ab Major
note,3360,119,53:49,F3,F3,0.3651,m3,96,2/4,Ab Major
note,3360,479,68:58,Ab4,Ab4,0.3651,M3,96,2/4,Ab Major
note,3360,479,72:58,C5,C5,0.3651,P1,96,2/4,Ab Major
note,3600,119,60:49,C4,C4,0.3651,P4,96,2/4,Ab Major
note,3600,119,65:49,F4,F4,0.3651,P4,96,2/4,Ab Major
note,3780,59,70:49,Bb4,Bb4,0.3195,P4,96,2/4,Ab Major
note,3840,119,53:49,F3,F3,0.3651,m3,96,2/4,Ab Major
note,3840,119,68:49,Ab4,Ab4,0.3651,m6,96,2/4,Ab Major
note,4080,119,60:49,C4,C4,0.4564,P4,96,2/4,Ab Major
note,4080,119,65:49,F4,F4,0.4564,m3,96,2/4,Ab Major
note,4080,119,68:49,Ab4,Ab4,0.4564,M2,96,2/4,Ab Major
note,4200,119,70:49,Bb4,Bb4,0.3195,P4,96,2/4,Ab Major
note,4320,119,53:49,F3,F3,0.4564,m3,96,2/4,Ab Major
note,4320,119,68:49,Ab4,Ab4,0.4564,m6,96,2/4,Ab Major
note,4560,119,60:49,C4,C4,0.4564,M3,96,2/4,Ab Major
note,4560,119,64:49,E4,E4,0.4564,m3,96,2/4,Ab Major
note,4560,119,67:49,G4,G4,0.4564,P4,96,2/4,Ab Major
note,4560,119,72:49,C5,C5,0.4564,P1,96,2/4,Ab Major
note,4740,59,72:49,C5,C5,0.3195,P5,96,2/4,Ab Major
note,4800,119,53:49,F3,F3,0.4108,m3,96,2/4,Ab Major
note,4800,479,68:58,Ab4,Ab4,0.4108,M6,96,2/4,Ab Major
note,4800,479,77:58,F5,F5,0.4108,P4,96,2/4,Ab Major
note,5040,119,60:49,C4,C4,0.3651,P4,96,2/4,Ab Major
note,5040,119,65:49,F4,F4,0.3651,P5,96,2/4,Ab Major
note,5220,59,72:49,C5,C5,0.3195,P5,96,2/4,Ab Major
note,5280,119,53:49,F3,F3,0.4108,m3,96,2/4,Ab Major
note,5280,479,68:58,Ab4,Ab4,0.4108,M6,96,2/4,Ab Major
note,5280,479,77:58,F5,F5,0.4108,P4,96,2/4,Ab Major
note,5520,119,60:49,C4,C4,0.4564,P4,96,2/4,Ab Major
note,5520,119,65:49,F4,F4,0.4564,m2,96,2/4,Ab Major
note,5700,59,78:49,Gb5,Gb5,0.4108,P4,96,2/4,Ab Major
note,5760,119,49:49,Db3,Db3,0.5021,P5,96,2/4,Ab Major
note,5760,239,68:49,Ab4,Ab4,0.5021,M6,96,2/4,Ab Major
note,5760,119,77:49,F5,F5,0.5021,M3,96,2/4,Ab Major
note,6000,119,61:49,Db4,Db4,0.5934,M3,96,2/4,Ab Major
note,6000,119,65:49,F4,F4,0.5934,m3,96,2/4,Ab Major
note,6000,239,68:49,Ab4,Ab4,0.5934,M6,96,2/4,Ab Major
note,6000,119,77:49,F5,F5,0.5934,m2,96,2/4,Ab Major
note,6120,119,78:49,Gb5,Gb5,0.4108,d5,96,2/4,Ab Major
note,6240,119,48:49,C3,C3,0.5021,M6,96,2/4,Ab Major
note,6240,239,69:49,A4,A4,0.5021,m6,96,2/4,Ab Major
note,6240,119,77:49,F5,F5,0.5021,P4,96,2/4,Ab Major
note,6480,119,60:49,C4,C4,0.5477,m3,96,2/4,Ab Major
note,6480,119,63:49,Eb4,Eb4,0.5477,M2,96,2/4,Ab Major
note,6480,119,65:49,F4,F4,0.5477,M3,96,2/4,Ab Major
note,6480,239,69:49,A4,A4,0.5477,m6,96,2/4,Ab Major
note,6480,119,77:49,F5,F5,0.5477,P5,96,2/4,Ab Major
note,6720,119,46:49,Bb2,Bb2,0.4564,P1,96,2/4,Ab Major
note,6720,359,70:49,Bb4,Bb4,0.4564,P5,96,2/4,Ab Major
note,6720,239,77:49,F5,F5,0.4564,P5,96,2/4,Ab Major
note,6960,119,58:49,Bb3,Bb3,0.4108,m3,96,2/4,Ab Major
note,6960,119,61:49,Db4,Db4,0.4108,M3,96,2/4,Ab Major
note,6960,119,65:49,F4,F4,0.4108,P4,96,2/4,Ab Major
note,6960,119,82:49,Bb5,Bb5,0.4108,P4,96,2/4,Ab Major
note,7200,119,53:49,F3,F3,0.3651,m3,96,2/4,Ab Major
note,7200,479,68:49,Ab4,Ab4,0.3651,M6,96,2/4,Ab Major
note,7200,479,77:49,F5,F5,0.3651,P4,96,2/4,Ab Major
note,7440,119,60:49,C4,C4,0.5021,P4,96,2/4,Ab Major
note,7440,119,65:49,F4,F4,0.5021,P4,96,2/4,Ab Major
note,7680,119,48:49,C3,C3,0.639,m6,96,2/4,Ab Major
note,7680,119,68:49,Ab4,Ab4,0.639,M3,96,2/4,Ab Major
note,7680,119,72:49,C5,C5,0.639,P4,96,2/4,Ab Major
note,7800,119,67:49,G4,G4,0.5477,m3,96,2/4,Ab Major
note,7800,119,70:49,Bb4,Bb4,0.5477,m7,96,2/4,Ab Major
note,7920,119,60:49,C4,C4,0.6847,P4,96,2/4,Ab Major
