type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density
ticksPerQuarter,0,0,480,480,,
keySignature,0,0,3:0,A Major,,
timeSignature,0,0,1:4,1/4,,
setTempo,0,0,705882,85.00004250002125,,
noteOn,0,359,73:70,C#5,Db5,0.3195
noteOn,360,119,74:70,D5,D5,0.3195
timeSignature,480,0,4:4,4/4,,
noteOn,480,959,76:70,E5,E5,0.3195
noteOn,480,959,61:70,C#4,Db4,0.3195
noteOn,480,959,69:70,A4,A4,0.3195
noteOn,480,0,45:70,A2,A2,0.3195
noteOn,480,959,45:70,A2,A2,0.3195
noteOn,720,239,49:70,C#3,Db3,0.1369
noteOn,960,239,52:70,E3,E3,0.3651
noteOn,1200,239,57:70,A3,A3,0.3651
noteOn,1440,359,74:70,D5,D5,0.4564
noteOn,1440,959,62:70,D4,D4,0.4564
noteOn,1440,959,64:70,E4,E4,0.4564
noteOn,1440,959,68:70,G#4,Ab4,0.4564
noteOn,1440,0,47:70,B2,B2,0.4564
noteOn,1440,959,47:70,B2,B2,0.4564
noteOn,1680,239,50:70,D3,D3,0.2739
noteOn,1800,119,73:70,C#5,Db5,0.2282
noteOn,1920,239,71:70,B4,B4,0.3195
noteOn,1920,239,52:70,E3,E3,0.3195
noteOn,2160,239,73:70,C#5,Db5,0.2739
noteOn,2160,239,56:70,G#3,Ab3,0.2739
noteOn,2400,1919,61:70,C#4,Db4,0.2282
noteOn,2400,1199,64:70,E4,E4,0.2282
noteOn,2400,239,49:70,C#3,Db3,0.2282
noteOn,2640,239,57:70,A3,A3,0.1369
noteOn,2880,239,52:70,E3,E3,0.1369
noteOn,3120,239,49:70,C#3,Db3,0.1826
noteOn,3360,239,45:70,A2,A2,0.2282
noteOn,3600,239,66:70,F#4,Gb4,0.2739
noteOn,3600,239,40:70,E2,E2,0.2739
noteOn,3840,239,68:70,G#4,Ab4,0.3651
noteOn,3840,239,37:70,C#2,Db2,0.3651
noteOn,4080,239,69:70,A4,A4,0.3195
noteOn,4080,239,33:70,A1,A1,0.3195
noteOn,4320,719,71:70,B4,B4,0.2739
noteOn,4320,959,62:70,D4,D4,0.2739
noteOn,4320,959,64:70,E4,E4,0.2739
noteOn,4320,119,32:70,G#1,Ab1,0.2739
noteOn,4560,239,47:70,B2,B2,0.1826
noteOn,4800,239,52:70,E3,E3,0.3195
noteOn,5040,239,73:70,C#5,Db5,0.3195
noteOn,5040,239,56:70,G#3,Ab3,0.3195
noteOn,5280,359,74:70,D5,D5,0.3651
noteOn,5280,959,62:70,D4,D4,0.3651
noteOn,5280,959,64:70,E4,E4,0.3651
noteOn,5280,119,40:70,E2,E2,0.3651
noteOn,5520,239,47:70,B2,B2,0.2739
noteOn,5640,119,78:70,F#5,Gb5,0.2282
noteOn,5760,239,71:70,B4,B4,0.3195
noteOn,5760,239,52:70,E3,E3,0.3195
noteOn,6000,239,76:70,E5,E5,0.2739
noteOn,6000,239,56:70,G#3,Ab3,0.2739
noteOn,6240,959,73:70,C#5,Db5,0.2282
noteOn,6240,959,64:70,E4,E4,0.2282
noteOn,6240,239,45:70,A2,A2,0.2282
noteOn,6480,239,49:70,C#3,Db3,0.1369
noteOn,6720,239,52:70,E3,E3,0.1369
noteOn,6960,239,57:70,A3,A3,0.1369
noteOn,7200,239,61:70,C#4,Db4,0.1826
noteOn,7440,239,57:70,A3,A3,0.1826
noteOn,7680,359,73:70,C#5,Db5,0.4108
noteOn,7680,239,52:70,E3,E3,0.4108
noteOn,7920,239,49:70,C#3,Db3,0.3651
noteOn,8040,119,74:70,D5,D5,0.3195
noteOn,8160,959,76:70,E5,E5,0.3195
noteOn,8160,959,64:70,E4,E4,0.3195
noteOn,8160,959,67:70,G4,G4,0.3195
noteOn,8160,0,46:70,A#2,Bb2,0.3195
noteOn,8160,959,46:70,A#2,Bb2,0.3195
noteOn,8400,239,52:73,E3,E3,0.1369
noteOn,8640,239,55:76,G3,G3,0.3195
noteOn,8880,239,61:80,C#4,Db4,0.3195
noteOn,9120,359,74:83,D5,D5,0.4108
noteOn,9120,959,62:83,D4,D4,0.4108
