type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,384,384,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,385,364,69:48,A4,A4,0.2041,P1,117,4/4,C Major
note,403,399,57:29,A3,A3,0.1531,M2,117,4/4,C Major
note,686,495,71:59,B4,B4,0.2041,P1,117,4/4,C Major
note,713,337,59:34,B3,B3,0.1531,M2,117,4/4,C Major
note,1005,627,73:66,C#5,Db5,0.1021,P1,117,4/4,C Major
note,1010,122,61:33,C#4,Db4,0.051,m2,117,4/4,C Major
note,1473,1440,74:64,D5,D5,0.2041,P1,117,4/4,C Major
note,1476,830,50:39,D3,D3,0.1531,P1,117,4/4,C Major
note,1479,885,62:36,D4,D4,0.1021,m6,117,4/4,C Major
note,1500,2085,54:34,F#3,Gb3,0.051,P5,117,4/4,C Major
note,2918,283,73:45,C#5,Db5,0.1021,M2,117,4/4,C Major
note,3068,449,71:49,B4,B4,0.2552,M2,117,4/4,C Major
note,3309,564,69:51,A4,A4,0.2041,P1,117,4/4,C Major
note,3333,1948,57:34,A3,A3,0.1531,P4,117,4/4,C Major
note,3341,721,52:27,E3,E3,0.1021,m3,117,4/4,C Major
note,3344,594,49:24,C#3,Db3,0.051,m6,117,4/4,C Major
note,4260,347,69:45,A4,A4,0.1021,M2,117,4/4,C Major
note,4538,324,71:50,B4,B4,0.1021,M3,117,4/4,C Major
note,4800,489,67:59,G4,G4,0.2041,P4,117,4/4,C Major
note,5104,547,50:27,D3,D3,0.1531,M3,117,4/4,C Major
note,5112,429,54:25,F#3,Gb3,0.1021,P1,117,4/4,C Major
note,5160,388,66:50,F#4,Gb4,0.1021,m2,117,4/4,C Major
note,5544,167,67:55,G4,G4,0.2552,m3,117,4/4,C Major
note,5546,226,52:36,E3,E3,0.2041,P4,117,4/4,C Major
note,5687,613,69:54,A4,A4,0.1531,P1,117,4/4,C Major
note,5703,295,57:39,A3,A3,0.1021,m3,117,4/4,C Major
note,5716,231,54:40,F#3,Gb3,0.051,m2,117,4/4,C Major
note,6233,195,55:31,G3,G3,0.3062,M3,117,4/4,C Major
note,6234,392,71:59,B4,B4,0.2552,P5,117,4/4,C Major
note,6246,152,52:40,E3,E3,0.2041,P5,117,4/4,C Major
note,6254,226,59:27,B3,B3,0.1531,M2,117,4/4,C Major
note,6511,125,61:36,C#4,Db4,0.3572,P1,117,4/4,C Major
note,6514,173,73:73,C#5,Db5,0.3062,P1,117,4/4,C Major
note,6862,353,61:27,C#4,Db4,0.2552,P1,117,4/4,C Major
note,6866,735,73:69,C#5,Db5,0.2041,M7,117,4/4,C Major
note,6875,702,50:17,D3,D3,0.1531,P4,117,4/4,C Major
note,6877,540,55:34,G3,G3,0.1021,m3,117,4/4,C Major
note,6892,580,52:30,E3,E3,0.051,m7,117,4/4,C Major
note,7477,262,62:43,D4,D4,0.2041,P1,117,4/4,C Major
note,7481,251,74:59,D5,D5,0.2041,m6,117,4/4,C Major
note,7486,170,54:45,F#3,Gb3,0.1531,m6,117,4/4,C Major
note,7830,365,74:66,D5,D5,0.2041,P1,117,4/4,C Major
note,7863,335,62:43,D4,D4,0.1531,M3,117,4/4,C Major
note,8115,211,66:46,F#4,Gb4,0.2041,P1,117,4/4,C Major
note,8118,366,78:78,F#5,Gb5,0.1531,m3,117,4/4,C Major
note,8394,624,81:79,A5,A5,0.1021,P1,117,4/4,C Major
note,8398,86,69:44,A4,A4,0.051,M6,117,4/4,C Major
note,8827,510,78:69,F#5,Gb5,0.2041,P1,117,4/4,C Major
note,8837,577,66:37,F#4,Gb4,0.1531,M7,117,4/4,C Major
note,8839,1288,55:31,G3,G3,0.1021,M2,117,4/4,C Major
note,8848,1263,57:32,A3,A3,0.051,P5,117,4/4,C Major
note,9732,329,76:50,E5,E5,0.2041,P1,117,4/4,C Major
note,9751,366,64:34,E4,E4,0.1531,P5,117,4/4,C Major
note,10001,389,71:58,B4,B4,0.2041,P1,117,4/4,C Major
note,10017,378,59:36,B3,B3,0.1531,M2,117,4/4,C Major
note,10252,551,73:68,C#5,Db5,0.3062,P1,117,4/4,C Major
note,10266,540,61:40,C#4,Db4,0.2552,m3,117,4/4,C Major
note,10601,881,76:55,E5,E5,0.2041,m7,117,4/4,C Major
