type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,480,480,,,,,,
key_signature,0,0,-2:0,Bb Major,,,,,,
time_signature,0,0,1:4,1/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,0,239,50:70,D3,D3,0.4564,m6,120,1/4,Bb Major
note,0,239,58:70,Bb3,Bb3,0.4564,P1,120,1/4,Bb Major
note,0,239,70:70,Bb4,Bb4,0.4564,P4,120,1/4,Bb Major
note,240,239,53:70,F3,F3,0.4564,P5,120,1/4,Bb Major
note,240,239,60:70,C4,C4,0.4564,P1,120,1/4,Bb Major
note,240,239,72:70,C5,C5,0.4564,M2,120,1/4,Bb Major
time_signature,480,0,3:4,3/4,,,,,,
note,480,959,46:70,Bb2,Bb2,0.4564,P1,120,3/4,Bb Major
note,480,239,58:70,Bb3,Bb3,0.4564,M3,120,3/4,Bb Major
note,480,239,62:70,D4,D4,0.4564,P1,120,3/4,Bb Major
note,480,239,74:70,D5,D5,0.4564,P1,120,3/4,Bb Major
note,720,239,62:70,D4,D4,0.4108,m3,120,3/4,Bb Major
note,720,239,65:70,F4,F4,0.4108,P1,120,3/4,Bb Major
note,720,239,77:70,F5,F5,0.4108,M2,120,3/4,Bb Major
note,960,239,63:85,Eb4,Eb4,0.4108,M3,120,3/4,Bb Major
note,960,239,67:85,G4,G4,0.4108,P1,120,3/4,Bb Major
note,960,239,79:85,G5,G5,0.4108,P4,120,3/4,Bb Major
note,1200,239,62:100,D4,D4,0.4108,m3,120,3/4,Bb Major
note,1200,239,65:100,F4,F4,0.4108,P1,120,3/4,Bb Major
note,1200,239,77:100,F5,F5,0.4108,P5,120,3/4,Bb Major
note,1440,239,58:100,Bb3,Bb3,0.4564,M3,120,3/4,Bb Major
note,1440,239,62:100,D4,D4,0.4564,P1,120,3/4,Bb Major
note,1440,239,74:100,D5,D5,0.4564,M6,120,3/4,Bb Major
note,1680,239,53:100,F3,F3,0.4564,P4,120,3/4,Bb Major
note,1680,239,58:100,Bb3,Bb3,0.4564,P1,120,3/4,Bb Major
note,1680,239,70:100,Bb4,Bb4,0.4564,P4,120,3/4,Bb Major
note,1920,61,41:100,F2,F2,0.3195,M3,120,3/4,Bb Major
note,1920,959,57:100,A3,A3,0.3195,m3,120,3/4,Bb Major
note,1920,959,60:100,C4,C4,0.3195,P4,120,3/4,Bb Major
note,1920,959,65:100,F4,F4,0.3195,P1,120,3/4,Bb Major
note,1982,896,41:100,F2,F2,0.1369,m7,120,3/4,Bb Major
note,1982,896,51:100,Eb3,Eb3,0.1369,M2,120,3/4,Bb Major
note,1982,896,53:100,F3,F3,0.1369,m3,120,3/4,Bb Major
note,2880,239,50:100,D3,D3,0.4564,m6,120,3/4,Bb Major
note,2880,239,58:100,Bb3,Bb3,0.4564,P1,120,3/4,Bb Major
note,2880,239,70:100,Bb4,Bb4,0.4564,P4,120,3/4,Bb Major
note,3120,239,53:100,F3,F3,0.4564,P5,120,3/4,Bb Major
note,3120,239,60:100,C4,C4,0.4564,P1,120,3/4,Bb Major
note,3120,239,72:100,C5,C5,0.4564,M2,120,3/4,Bb Major
note,3360,959,46:100,Bb2,Bb2,0.4564,P1,120,3/4,Bb Major
note,3360,239,58:100,Bb3,Bb3,0.4564,M3,120,3/4,Bb Major
note,3360,239,62:100,D4,D4,0.4564,P1,120,3/4,Bb Major
note,3360,239,74:100,D5,D5,0.4564,P1,120,3/4,Bb Major
note,3600,239,62:100,D4,D4,0.4108,m3,120,3/4,Bb Major
note,3600,239,65:100,F4,F4,0.4108,P1,120,3/4,Bb Major
note,3600,239,77:100,F5,F5,0.4108,M2,120,3/4,Bb Major
note,3840,239,63:100,Eb4,Eb4,0.4108,M3,120,3/4,Bb Major
note,3840,239,67:100,G4,G4,0.4108,P1,120,3/4,Bb Major
note,3840,239,79:100,G5,G5,0.4108,P4,120,3/4,Bb Major
note,4080,239,62:100,D4,D4,0.4108,m3,120,3/4,Bb Major
note,4080,239,65:100,F4,F4,0.4108,P1,120,3/4,Bb Major
note,4080,239,77:100,F5,F5,0.4108,P5,120,3/4,Bb Major
note,4320,239,58:100,Bb3,Bb3,0.4564,M3,120,3/4,Bb Major
note,4320,239,62:100,D4,D4,0.4564,P1,120,3/4,Bb Major
note,4320,239,74:100,D5,D5,0.4564,M6,120,3/4,Bb Major
note,4560,239,53:100,F3,F3,0.4564,P4,120,3/4,Bb Major
