type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512821,117,,,,,,
note,2216,1249,69:46,A4,A4,0.2282,P1,117,4/4,C Major
note,2219,291,57:38,A3,A3,0.1826,d5,117,4/4,C Major
note,2220,879,63:31,D#4,Eb4,0.1369,m3,117,4/4,C Major
note,2225,1706,48:36,C3,C3,0.0913,P4,117,4/4,C Major
note,2246,1358,53:33,F3,F3,0.0456,P4,117,4/4,C Major
note,4355,1710,70:63,A#4,Bb4,0.2282,P1,117,4/4,C Major
note,4368,458,58:42,A#3,Bb3,0.1826,P1,117,4/4,C Major
note,4381,2553,46:37,A#2,Bb2,0.1369,P4,117,4/4,C Major
note,4384,461,63:36,D#4,Eb4,0.0913,m7,117,4/4,C Major
note,4395,1948,53:27,F3,F3,0.0456,M6,117,4/4,C Major
note,5229,351,74:62,D5,D5,0.0456,M2,117,4/4,C Major
note,6210,154,72:53,C5,C5,0.0456,P1,117,4/4,C Major
note,6700,960,72:51,C5,C5,0.2282,m3,117,4/4,C Major
note,6710,1100,45:30,A2,A2,0.1826,m3,117,4/4,C Major
note,6718,1131,60:26,C4,C4,0.1369,m3,117,4/4,C Major
note,6718,1177,63:34,D#4,Eb4,0.1369,m7,117,4/4,C Major
note,6719,1109,53:22,F3,F3,0.0456,P4,117,4/4,C Major
note,8703,392,70:57,A#4,Bb4,0.2282,P5,117,4/4,C Major
note,8704,457,63:36,D#4,Eb4,0.1826,P4,117,4/4,C Major
note,8708,410,58:42,A#3,Bb3,0.1369,P1,117,4/4,C Major
note,8711,388,46:34,A#2,Bb2,0.0913,P5,117,4/4,C Major
note,8721,1080,53:31,F3,F3,0.0456,M3,117,4/4,C Major
note,9478,972,69:66,A4,A4,0.1826,M6,117,4/4,C Major
note,9480,349,48:49,C3,C3,0.1369,M6,117,4/4,C Major
note,9486,320,57:39,A3,A3,0.0913,d5,117,4/4,C Major
note,9488,440,63:42,D#4,Eb4,0.0456,M3,117,4/4,C Major
note,10315,1113,67:58,G4,G4,0.2282,M6,117,4/4,C Major
note,10324,427,58:40,A#3,Bb3,0.1826,P4,117,4/4,C Major
note,10324,1179,63:43,D#4,Eb4,0.1826,P4,117,4/4,C Major
note,10331,437,46:35,A#2,Bb2,0.0913,P5,117,4/4,C Major
note,10338,1585,53:24,F3,F3,0.0456,P1,117,4/4,C Major
note,11293,306,65:44,F4,F4,0.1826,m6,117,4/4,C Major
note,11296,414,45:31,A2,A2,0.1369,m3,117,4/4,C Major
note,11296,3042,60:36,C4,C4,0.1369,P5,117,4/4,C Major
note,11629,484,67:46,G4,G4,0.1826,M2,117,4/4,C Major
note,11808,107,65:50,F4,F4,0.1826,m2,117,4/4,C Major
note,11950,255,64:53,E4,E4,0.1369,M7,117,4/4,C Major
note,12044,2326,41:35,F2,F2,0.1826,P1,117,4/4,C Major
note,12119,446,65:51,F4,F4,0.1369,M2,117,4/4,C Major
