type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1503,33,31:85,G1,G1,0.4593,P1,117,4/4,C Major
note,1503,48,43:99,G2,G2,0.4593,P1,117,4/4,C Major
note,1506,39,55:95,G3,G3,0.3572,P1,117,4/4,C Major
note,1806,329,55:82,G3,G3,0.5613,P5,117,4/4,C Major
note,1808,204,62:103,D4,D4,0.5103,M6,117,4/4,C Major
note,1808,169,83:98,B5,B5,0.5103,M6,117,4/4,C Major
note,1810,196,50:99,D3,D3,0.4082,m3,117,4/4,C Major
note,1812,133,77:94,F5,F5,0.3572,d5,117,4/4,C Major
note,1814,209,71:97,B4,B4,0.3062,M7,117,4/4,C Major
note,2121,56,48:98,C3,C3,0.5613,P1,117,4/4,C Major
note,2121,45,60:88,C4,C4,0.5613,P1,117,4/4,C Major
note,2125,46,72:84,C5,C5,0.4593,P1,117,4/4,C Major
note,2125,44,84:89,C6,C6,0.4593,m6,117,4/4,C Major
note,2135,27,76:66,E5,E5,0.3572,P5,117,4/4,C Major
note,2320,53,57:95,A3,A3,0.6124,M6,117,4/4,C Major
note,2323,56,66:90,F#4,Gb4,0.5613,M3,117,4/4,C Major
note,2325,81,50:77,D3,D3,0.5103,M3,117,4/4,C Major
note,2325,61,78:89,F#5,Gb5,0.5103,M6,117,4/4,C Major
note,2327,54,45:89,A2,A2,0.4082,m3,117,4/4,C Major
note,2329,39,72:74,C5,C5,0.3572,d5,117,4/4,C Major
note,2576,345,54:102,F#3,Gb3,0.3062,M3,117,4/4,C Major
note,2577,423,50:78,D3,D3,0.2552,P5,117,4/4,C Major
note,2577,285,81:97,A5,A5,0.2552,P1,117,4/4,C Major
note,2578,331,69:96,A4,A4,0.1531,m3,117,4/4,C Major
note,2579,199,72:89,C5,C5,0.1021,d5,117,4/4,C Major
note,2590,317,42:93,F#2,Gb2,0.051,m2,117,4/4,C Major
note,2992,54,43:83,G2,G2,0.4593,P1,117,4/4,C Major
note,2994,56,55:85,G3,G3,0.4082,P1,117,4/4,C Major
note,2996,49,79:81,G5,G5,0.3572,P1,117,4/4,C Major
note,2998,49,67:82,G4,G4,0.3572,M3,117,4/4,C Major
note,3003,30,71:74,B4,B4,0.4082,M7,117,4/4,C Major
note,3278,73,48:68,C3,C3,0.8165,M3,117,4/4,C Major
note,3280,66,64:77,E4,E4,0.7655,M3,117,4/4,C Major
note,3282,64,60:63,C4,C4,0.7655,P1,117,4/4,C Major
note,3283,73,72:79,C5,C5,0.7144,m2,117,4/4,C Major
note,3382,88,71:68,B4,B4,0.8165,M3,117,4/4,C Major
note,3387,66,55:58,G3,G3,0.7655,m7,117,4/4,C Major
note,3387,46,65:61,F4,F4,0.7655,P4,117,4/4,C Major
note,3470,296,48:62,C3,C3,0.8675,P1,117,4/4,C Major
note,3473,59,60:62,C4,C4,0.8165,P1,117,4/4,C Major
note,3476,56,72:71,C5,C5,0.7655,m6,117,4/4,C Major
note,3479,48,64:69,E4,E4,0.7144,M6,117,4/4,C Major
note,3567,74,55:62,G3,G3,0.8165,M3,117,4/4,C Major
note,3576,76,71:61,B4,B4,0.7655,d5,117,4/4,C Major
note,3577,58,65:52,F4,F4,0.7144,P5,117,4/4,C Major
note,3653,73,72:68,C5,C5,0.8675,P1,117,4/4,C Major
note,3658,52,60:57,C4,C4,0.8165,M3,117,4/4,C Major
note,3665,46,64:65,E4,E4,0.7655,M6,117,4/4,C Major
note,3755,62,55:55,G3,G3,0.8675,M3,117,4/4,C Major
note,3758,70,71:58,B4,B4,0.8165,d5,117,4/4,C Major
note,3763,51,65:55,F4,F4,0.7655,P5,117,4/4,C Major
note,3837,66,72:71,C5,C5,0.9186,m6,117,4/4,C Major
note,3839,47,64:66,E4,E4,0.8675,M3,117,4/4,C Major
note,3846,54,48:54,C3,C3,0.8165,P1,117,4/4,C Major
note,3850,46,60:54,C4,C4,0.7655,m2,117,4/4,C Major
note,3924,81,73:63,C#5,Db5,0.8675,d5,117,4/4,C Major
note,3927,39,67:57,G4,G4,0.8165,P1,117,4/4,C Major
note,3930,69,55:65,G3,G3,0.7655,P5,117,4/4,C Major
note,4010,66,74:74,D5,D5,0.8675,M6,117,4/4,C Major
