type,tickOffset,tickLength,valueRaw,valuePretty,canonical,density,interval,tempo,timeSignature,keySignature
ticksPerQuarter,0,0,480,480,,,,,,
keySignature,0,0,0:0,C Major,,,,,,
timeSignature,0,0,4:4,4/4,,,,,,
tempo,0,0,512820,117,,,,,,
note,1964,229,27:75,D#1,Eb1,0.3195,m2,117,4/4,C Major
note,2009,65,40:93,E2,E2,0.3651,M2,117,4/4,C Major
note,2209,60,42:49,F#2,Gb2,0.4564,M6,117,4/4,C Major
note,2262,52,33:19,A1,A1,0.4564,P5,117,4/4,C Major
note,2304,50,40:42,E2,E2,0.4564,m2,117,4/4,C Major
note,2348,84,27:43,D#1,Eb1,0.4108,m3,117,4/4,C Major
note,2397,47,42:49,F#2,Gb2,0.4564,M6,117,4/4,C Major
note,2445,117,33:46,A1,A1,0.4108,P5,117,4/4,C Major
note,2483,63,40:53,E2,E2,0.4108,M2,117,4/4,C Major
note,2572,56,42:49,F#2,Gb2,0.4564,m3,117,4/4,C Major
note,2600,124,27:48,D#1,Eb1,0.4108,m2,117,4/4,C Major
note,2683,56,40:41,E2,E2,0.4564,P5,117,4/4,C Major
note,2738,117,33:46,A1,A1,0.4564,M6,117,4/4,C Major
note,2757,44,42:47,F#2,Gb2,0.4108,M2,117,4/4,C Major
note,2840,59,40:42,E2,E2,0.4564,m2,117,4/4,C Major
note,2860,178,27:46,D#1,Eb1,0.4108,m3,117,4/4,C Major
note,2931,44,42:47,F#2,Gb2,0.4108,M6,117,4/4,C Major
note,3010,199,33:49,A1,A1,0.4564,P5,117,4/4,C Major
note,3013,55,40:46,E2,E2,0.4108,M2,117,4/4,C Major
note,3101,49,42:51,F#2,Gb2,0.5021,m3,117,4/4,C Major
note,3149,152,27:55,D#1,Eb1,0.4564,m2,117,4/4,C Major
note,3202,49,40:42,E2,E2,0.4564,M2,117,4/4,C Major
note,3270,47,42:53,F#2,Gb2,0.4108,M6,117,4/4,C Major
note,3294,207,33:54,A1,A1,0.4564,P5,117,4/4,C Major
note,3367,44,40:45,E2,E2,0.6847,M2,117,4/4,C Major
note,3423,58,42:59,F#2,Gb2,0.6847,m3,117,4/4,C Major
note,3444,122,27:70,D#1,Eb1,0.639,m2,117,4/4,C Major
note,3532,148,40:40,E2,E2,0.639,M2,117,4/4,C Major
note,3568,41,42:67,F#2,Gb2,0.5934,M6,117,4/4,C Major
note,3572,71,33:59,A1,A1,0.5477,d5,117,4/4,C Major
note,3670,127,27:77,D#1,Eb1,0.5021,m2,117,4/4,C Major
note,3756,60,40:80,E2,E2,0.5021,P5,117,4/4,C Major
note,3760,144,33:77,A1,A1,0.4564,P4,117,4/4,C Major
note,3775,47,28:43,E1,E1,0.4108,P5,117,4/4,C Major
note,3799,65,47:73,B2,B2,0.3651,M2,117,4/4,C Major
note,3800,69,49:67,C#3,Db3,0.3195,M3,117,4/4,C Major
note,3806,50,45:69,A2,A2,0.2739,M2,117,4/4,C Major
note,3832,80,31:6,G1,G1,0.2739,m6,117,4/4,C Major
note,3847,48,51:99,D#3,Eb3,0.2282,M7,117,4/4,C Major
