type,tick_offset,tick_duration,value_raw,value_pretty,canonical,density,interval,tempo,time_signature,key_signature
ticks_per_quarter,0,0,384,384,,,,,,
key_signature,0,0,0:0,C Major,,,,,,
time_signature,0,0,4:4,4/4,,,,,,
tempo,0,0,500000,120,,,,,,
note,770,53,27:102,D#1,Eb1,0.6634,m2,120,4/4,C Major
note,774,107,40:109,E2,E2,0.6124,m2,120,4/4,C Major
note,778,23,41:88,F2,F2,0.6124,M3,120,4/4,C Major
note,795,1,45:71,A2,A2,0.5613,m2,120,4/4,C Major
note,804,1,44:53,G#2,Ab2,0.5103,M3,120,4/4,C Major
note,820,62,28:49,E1,E1,0.5103,M2,120,4/4,C Major
note,869,67,42:58,F#2,Gb2,0.5613,M2,120,4/4,C Major
note,887,31,44:48,G#2,Ab2,0.5103,M7,120,4/4,C Major
note,945,92,33:61,A1,A1,0.5613,P5,120,4/4,C Major
note,967,36,40:61,E2,E2,0.5103,M2,120,4/4,C Major
note,1011,38,42:40,F#2,Gb2,0.5103,m3,120,4/4,C Major
note,1027,71,27:67,D#1,Eb1,0.4593,m2,120,4/4,C Major
note,1080,24,40:42,E2,E2,0.5103,P5,120,4/4,C Major
note,1159,40,33:23,A1,A1,0.5613,P5,120,4/4,C Major
note,1190,26,40:50,E2,E2,0.5613,m2,120,4/4,C Major
note,1242,47,27:39,D#1,Eb1,0.6124,m3,120,4/4,C Major
note,1246,39,42:30,F#2,Gb2,0.5613,M2,120,4/4,C Major
note,1309,31,40:45,E2,E2,0.6124,P5,120,4/4,C Major
note,1321,53,33:45,A1,A1,0.5613,M6,120,4/4,C Major
note,1360,28,42:42,F#2,Gb2,0.5613,m3,120,4/4,C Major
note,1420,53,27:44,D#1,Eb1,0.6124,m2,120,4/4,C Major
note,1430,35,40:53,E2,E2,0.5613,M2,120,4/4,C Major
note,1480,33,42:59,F#2,Gb2,0.6124,M6,120,4/4,C Major
note,1504,43,33:50,A1,A1,0.6124,P5,120,4/4,C Major
note,1554,24,40:55,E2,E2,0.6124,m2,120,4/4,C Major
note,1587,56,27:50,D#1,Eb1,0.6634,m3,120,4/4,C Major
note,1597,34,42:58,F#2,Gb2,0.6124,M2,120,4/4,C Major
note,1662,27,40:60,E2,E2,0.6124,P5,120,4/4,C Major
note,1666,70,33:52,A1,A1,0.5613,M6,120,4/4,C Major
note,1709,36,42:53,F#2,Gb2,0.5103,m3,120,4/4,C Major
note,1763,68,27:51,D#1,Eb1,0.5103,m2,120,4/4,C Major
note,1766,33,40:66,E2,E2,0.4593,M2,120,4/4,C Major
note,1822,27,42:48,F#2,Gb2,0.5103,M6,120,4/4,C Major
note,1864,38,33:58,A1,A1,0.7655,P5,120,4/4,C Major
note,1869,33,40:64,E2,E2,0.7144,M2,120,4/4,C Major
note,1920,22,42:59,F#2,Gb2,0.7144,m3,120,4/4,C Major
note,1946,54,27:60,D#1,Eb1,0.6634,m2,120,4/4,C Major
note,1960,25,40:76,E2,E2,0.6124,P5,120,4/4,C Major
note,2020,58,33:59,A1,A1,0.5613,d5,120,4/4,C Major
note,2101,114,27:86,D#1,Eb1,0.5103,d5,120,4/4,C Major
note,2157,98,33:83,A1,A1,0.4593,P4,120,4/4,C Major
note,2177,67,28:4,E1,E1,0.4593,m3,120,4/4,C Major
note,2212,37,31:45,G1,G1,0.4593,M6,120,4/4,C Major
note,2220,47,40:115,E2,E2,0.4082,M7,120,4/4,C Major
note,2220,85,51:113,D#3,Eb3,0.4082,d5,120,4/4,C Major
note,2222,59,45:102,A2,A2,0.3062,M2,120,4/4,C Major
note,2230,48,47:86,B2,B2,0.2552,d5,120,4/4,C Major
note,2241,40,41:64,F2,F2,0.2552,m6,120,4/4,C Major
note,2256,29,49:56,C#3,Db3,0.2041,M6,120,4/4,C Major
note,2549,46,40:62,E2,E2,0.6124,m2,120,4/4,C Major
note,2576,44,27:38,D#1,Eb1,0.5613,m3,120,4/4,C Major
note,2618,45,42:53,F#2,Gb2,0.6124,M6,120,4/4,C Major
note,2665,44,33:41,A1,A1,0.6124,P5,120,4/4,C Major
note,2702,32,40:55,E2,E2,0.6124,m2,120,4/4,C Major
note,2732,76,27:57,D#1,Eb1,0.6634,m3,120,4/4,C Major
note,2765,23,42:44,F#2,Gb2,0.6124,M2,120,4/4,C Major
note,2808,38,40:58,E2,E2,0.6124,P5,120,4/4,C Major
